k,seed,Mxx,Maa,actual_cond,orig_pred,orig_residual,refined_pred,refined_residual
-2.7,0,39.94095504278168,25.080915486317608,99.35945409940719,13.201691839569847,7.526266732086108,109.44202535003407,0.9078729471756459
-2.7,1,65.69619708689397,36.09001606555797,169.3809687985206,15.090640936846338,11.224239547370614,125.10141336645619,1.3539492819506165
-2.7,2,41.85322124432642,21.58101576944844,332.9695147037232,16.077241582235942,20.710612140805775,133.28033271673596,2.498264431942796
-2.7,3,50.66962644093694,28.893466024496398,162.1136316643519,14.537930577080656,11.151080327754993,120.51944448399867,1.3451242856158012
-2.7,4,59.59624899137944,36.888055260134315,104.05050625040796,13.393303080210597,7.7688457901134775,111.03048253494586,0.9371345947060888
-2.7,5,63.85858503658245,36.92628762123181,129.91386860092936,14.336336091605434,9.061859862297714,118.84822619940907,1.0931073416523176
-2.7,6,78.1604414213663,44.872363428321705,146.06940272216738,14.439846932024214,10.115716836181933,119.70633106648074,1.2202312226998713
-2.7,7,82.32587785619204,45.72978373091928,170.8768543798888,14.924223815350908,11.44963091508495,123.72181542925905,1.381137625462599
-2.7,8,95.14061411303028,50.252163593083566,266.08010515111744,15.695158866862714,16.953004898401762,130.1128670062919,2.0449945595177033
-2.7,9,85.73163063968038,47.85003654966586,165.5335244776185,14.85297126712254,11.144808772641438,123.13113180444587,1.3443677650954688
