seed,gamma_init,beta_init,gamma_final,beta_final,gamma_shrink_factor
0,2.8284270763397217,0.0,3.033371925354004,0.1545642912387848,0.9324366236460224
1,2.8284270763397217,0.0,3.2201473712921143,0.2213411182165146,0.8783533019499008
2,2.8284270763397217,0.0,2.86871337890625,0.41592875123023987,0.9859566651507414
3,2.8284270763397217,0.0,2.952087163925171,0.2508086860179901,0.9581109632884187
4,2.8284270763397217,0.0,2.982318639755249,0.7253835201263428,0.9483986850485712
5,2.8284270763397217,0.0,3.2857003211975098,0.3224073052406311,0.8608292905145014
6,2.8284270763397217,0.0,2.844294548034668,0.4024430215358734,0.9944212979960496
7,2.8284270763397217,0.0,2.8764731884002686,0.18435707688331604,0.9832968677565643
