target_cond,achieved_cond,seed,teacher_mse_train_final,jx_err_mean
76.39915670949482,76.39915670949482,0,6.055387167758627e-07,0.0015610409741875903
76.39915670949482,76.39915670949482,1,1.458078065974325e-05,0.02887709403814469
76.39915670949482,76.39915670949482,2,1.2546561190415659e-05,0.0061208835853191305
76.39915670949482,76.39915670949482,3,7.592803584328423e-05,0.19664060189455398
76.39915670949482,76.39915670949482,4,1.8592133351939906e-06,0.0007383843756040658
76.39915670949482,76.39915670949482,5,5.3022291241119995e-05,0.006833095437674005
76.39915670949482,76.39915670949482,6,1.857997170958167e-07,0.0009844320588018394
76.39915670949482,76.39915670949482,7,5.8132346899181146e-05,0.1695143797984528
82.06692624169561,82.06692624169561,0,2.473090414244384e-07,0.00038774067527365256
82.06692624169561,82.06692624169561,1,2.0231564414285664e-05,0.01406646798081736
82.06692624169561,82.06692624169561,2,2.704742877633328e-07,0.004380983291092624
82.06692624169561,82.06692624169561,3,0.00011641108746038806,0.17520503847684452
82.06692624169561,82.06692624169561,4,7.589819740245158e-06,0.028708778386263463
82.06692624169561,82.06692624169561,5,6.441955090736257e-07,0.0032212484192108643
82.06692624169561,82.06692624169561,6,3.405859950388417e-05,0.0006528160929709737
82.06692624169561,82.06692624169561,7,2.0925078501716975e-05,0.010747829413950562
130.28192099084416,130.28192099084416,0,9.269853055399312e-08,0.0004193215460283195
130.28192099084416,130.28192099084416,1,0.002550393498489777,0.9134425294361143
130.28192099084416,130.28192099084416,2,0.00016632237286720228,0.12642400002881657
130.28192099084416,130.28192099084416,3,5.3461714484181016e-05,0.3727131513322161
130.28192099084416,130.28192099084416,4,2.690498065102968e-05,0.07559314881100253
130.28192099084416,130.28192099084416,5,0.00013412348339416594,0.015256047525173401
130.28192099084416,130.28192099084416,6,2.7163382156657425e-07,0.0012531120816727552
130.28192099084416,130.28192099084416,7,2.5507427128540804e-05,0.11727716779904979
317.6879879661122,317.6879879661122,0,4.665446127079389e-07,0.0004254023398010887
317.6879879661122,317.6879879661122,1,0.0005879117061415945,0.42378670049305484
317.6879879661122,317.6879879661122,2,1.429258639384481e-05,0.12354570623206994
317.6879879661122,317.6879879661122,3,1.3034403047104239e-05,0.395814403717735
317.6879879661122,317.6879879661122,4,5.168539817078388e-05,0.24531364197252908
317.6879879661122,317.6879879661122,5,0.0015679713990679512,0.40723693283084555
317.6879879661122,317.6879879661122,6,2.4048985626760117e-05,0.06915301508510013
317.6879879661122,317.6879879661122,7,3.870747743667043e-05,0.10813329928219971
