seed,teacher_mse_train_final,jx_err_mean,jx_err_max,gamma_norm,beta_norm
0,1.3450427365633048e-14,1.725059737574715e-08,3.1141853392332074e-08,2.8284270763397217,0.0
1,1.2622374528876316e-14,2.2213645330578423e-08,3.844766978862898e-08,2.8284270763397217,0.0
2,4.678497344665901e-15,1.0717887308035283e-08,2.2043375125235798e-08,2.8284270763397217,0.0
3,1.3152970362329182e-14,1.2728166710237096e-08,2.7755950130862555e-08,2.8284270763397217,0.0
4,6.7873465138651e-16,1.9769503160442052e-09,5.5636920256082094e-09,2.8284270763397217,0.0
5,2.1935702045747804e-16,2.542346676885169e-09,5.423370197377153e-09,2.8284270763397217,0.0
6,0.012541226383560087,0.001682015518063674,0.002164253961690991,2.8284270763397217,0.0
7,2.6056976758868934e-18,2.8388364844052676e-10,3.909509752967703e-10,2.8284270763397217,0.0
