seed,train_mse,amplitude,r_star_measured
0,2.9566532423762983e-07,1518.935351201997,0.0015973122800602556
1,9.766664564453123e-07,680.0482560038471,0.0007912342618981327
2,8.149003375362304e-08,2467.6576375694635,0.0011242100350620874
3,3.408924876193863e-07,2866.077009488968,0.0005568813990945272
4,4.539360860288803e-07,1018.1023262532768,0.0005568813990945272
5,8.754725972113563e-07,645.1547163029284,0.0005568813990945272
6,1.1966850731544557e-06,1786.2354508201677,0.0011242100350620874
7,1.1999632401371077e-06,2656.6948400469996,0.0007912342618981327
