seed,slope,r2,se
0,-2.0875114551001035,0.9097340888141988,0.18237354587568635
1,-2.7929674187907896,0.9864229702269111,0.0908793035320705
2,-2.7611125718781664,0.9403336439116393,0.19290176779286491
3,-1.9847145796084709,0.9999788276400094,0.002532885840843319
4,-2.0657093191109372,0.9348723486688474,0.15121820678068953
5,-1.711361853474903,0.9761122137452966,0.0742520160398035
6,-2.6830402900890866,0.9623645683906585,0.14715809465258747
7,-2.5754921119376415,0.8961229775707776,0.24320051344531296
