radius,sigma_index,sigma_value,sigma_over_max,J_dtype
1.0,0,1.5502362308539848,1.0,float64
1.0,1,1.5114604617645973,0.9749871869089094,float64
1.0,2,1.3199680253543902,0.8514625055739112,float64
1.0,3,1.1895607620121793,0.7673416079024816,float64
1.0,4,1.1602012262447507,0.7484028583215515,float64
1.0,5,1.0660027395404303,0.6876389019454133,float64
1.0,6,1.5558116644374533e-06,1.0035965057921509e-06,float64
1.0,7,5.4835946934483185e-17,3.537263924239178e-17,float64
1000.0,0,0.0021090631296541078,1.0,float64
1000.0,1,0.0019644227908129828,0.9314196257061085,float64
1000.0,2,0.0015999775107095563,0.7586200186297681,float64
1000.0,3,0.0015581361138908114,0.7387811640073335,float64
1000.0,4,0.0014395216971085382,0.6825408290858623,float64
1000.0,5,0.0013662111250366752,0.6477810482897862,float64
1000.0,6,4.900027834333571e-15,2.3233196604869712e-12,float64
1000.0,7,1.8952860253981276e-19,8.986388310287135e-17,float64
