seed,train_mse,amplitude,r_star_measured,Pb_norm,sigma_max_PM,r_star_raw,r_star_floor,r_star_predicted
0,4.752070052823501e-07,3.04521657374225,0.31011689265747816,1.4661848667361377,1.724289604575639,0.8503124201673634,0.0016403434302686571,0.8503124201673634
1,1.9357630019531464e-06,2.6758194063304965,0.44062364277735727,1.9695148949581494,3.049645959253103,0.6458175543237512,0.0009274608143165928,0.6458175543237512
2,2.7027955435782624e-07,0.7448733460655528,0.053556669177069076,1.227737483718202,1.8882913437747273,0.6501843519887844,0.0014978764447927378,0.6501843519887844
3,2.2418656992686953e-07,2.933823895816726,0.6260516572014828,1.1035778970817036,3.45492961766307,0.3194212384066361,0.0008186641806785491,0.3194212384066361
4,2.591771695733406e-06,0.02691159402773883,10.397984184814922,1.1588316364716917,3.700434313944255,0.3131609800787154,0.0007643500423958069,0.3131609800787154
5,9.58475285072009e-07,8.853682629688386,0.07609496685459884,1.048037886049606,3.835353440706588,0.27325718535513266,0.0007374619232550073,0.27325718535513266
6,6.028770429198287e-07,4.460530510902542,0.21826447283974873,1.0965989982401543,2.268134830503277,0.4834805160136047,0.001247027772206377,0.4834805160136047
7,1.8632368716064157e-07,0.9983166974320495,0.6260516572014828,1.48160863278011,3.128156790429487,0.4736363079091983,0.0009041832984202353,0.4736363079091983
