arm,seed,branch_skip_ratio_median,branch_skip_ratio_mean,C_err_rel,R_norm_median,R_norm_max
arm_2,0,0.007164506005583744,0.018525047975380897,1.884864366154897e-08,5.951116646942843e-08,6.158471740944645e-08
arm_2,1,0.03592670133269328,0.06927793602639765,0.0,2.359918652324415e-09,1.8628301520556006e-08
arm_2,2,0.017405264869895305,0.03085532178913504,0.0,3.0623485107743426e-10,7.465842734120522e-10
arm_2,3,0.07467742995354945,0.13050601380846083,1.884864366154897e-08,6.697887161452094e-08,1.8620115132887407e-07
arm_2,4,0.057678574078185135,0.1086912350040606,1.884864366154897e-08,5.6419648766661e-08,7.97889199656003e-08
arm_2,5,0.09375350463781504,0.1406793368513644,0.0,4.939704476972324e-09,1.7416973097474554e-08
arm_2,6,0.054497876575513166,0.6758867321497878,8.429369702178806e-08,8.753780167704063e-08,4.1920797234316397e-07
arm_2,7,0.02138964933715582,0.03779095565871446,1.884864366154897e-08,7.775896842712186e-08,1.1537796994401567e-07
