target_cond,k_min,k_max,segment_length,achieved_cond,achieved_corr
76.39915670949482,-3.99,-2.01,6,76.39915670949482,-0.9422993846872525
82.06692624169561,-3.99,-2.01,10,82.06692624169561,-0.9459176537084436
130.28192099084416,-3.99,-2.01,20,130.28192099084416,-0.9708837556034223
317.6879879661122,-3.99,-2.01,50,317.6879879661122,-0.9892196864297531
