seed,radius_target,c_actual,Jx,dist_to_plateau,dist_to_truth
0,1e-06,1e-06,1.4917147829499335,1.1830735056062025e-06,0.4617147829499335
0,0.01,0.009249147277217335,1.497168817411142,0.0054552175347140075,0.4671688174111419
0,0.1,0.10811807510766078,1.5527782946839055,0.06106469480747756,0.5227782946839055
0,0.375,0.31011689265747816,1.6399559359368092,0.14824233606038129,0.6099559359368092
0,1.0,0.8895134973108236,1.5107061271643574,0.01899252728792944,0.48070612716435734
0,10.0,10.397984184814922,0.0035455013582124375,1.4881680985182155,1.0264544986417876
0,100.0,85.54672535565685,-0.0020693784987139544,1.493782978375142,1.032069378498714
0,1000.0,1000.0,-2.4202702872140157e-07,1.4917138419034566,1.0300002420270287
1,1e-06,1e-06,2.9978241706401523,1.102037923095267e-05,1.9678241706401522
1,0.01,0.009249147277217335,2.945054670815867,0.05278052020351609,1.915054670815867
1,0.1,0.10811807510766078,2.12965612174894,0.8681790692704432,1.09965612174894
1,0.375,0.31011689265747816,-0.7032552062221306,3.7010903972415137,1.7332552062221307
1,1.0,0.8895134973108236,-1.9240286927094334,4.9218638837288164,2.9540286927094335
1,10.0,10.397984184814922,0.04676206594834675,2.9510731250710367,0.9832379340516533
1,100.0,85.54672535565685,0.0005902420829809252,2.997244948936402,1.0294097579170192
1,1000.0,1000.0,-7.663489440207041e-07,2.997835957368327,1.030000766348944
2,1e-06,1e-06,3.0866042658774826,1.763981374303114e-05,2.056604265877483
2,0.01,0.009249147277217335,3.0056293460300743,0.08099255966115138,1.9756293460300742
2,0.1,0.10811807510766078,2.2237517248026983,0.8628701808885273,1.1937517248026983
2,0.375,0.31011689265747816,1.1423555314357783,1.9442663742554473,0.11235553143577826
2,1.0,0.8895134973108236,0.1672631359168874,2.9193587697743384,0.8627368640831126
2,10.0,10.397984184814922,0.009347767696079944,3.0772741379951456,1.02065223230392
2,100.0,85.54672535565685,0.00030944242805966724,3.086312463263166,1.0296905575719404
2,1000.0,1000.0,2.428199735669038e-06,3.08661947749149,1.0299975718002643
3,1e-06,1e-06,6.394565658648689,9.099437950865763e-05,5.364565658648689
3,0.01,0.009249147277217335,5.985327435397584,0.4093292176306145,4.955327435397583
3,0.1,0.10811807510766078,2.922220840554473,3.472435812473725,1.892220840554473
3,0.375,0.31011689265747816,0.7677565251196367,5.626900127908561,0.26224347488036337
3,1.0,0.8895134973108236,0.15391082329078384,6.240745829737414,0.8760891767092162
3,10.0,10.397984184814922,-0.023946458182800126,6.418603111210998,1.0539464581828002
3,100.0,85.54672535565685,-4.4495818969799054e-05,6.394701148847168,1.0300444958189698
3,1000.0,1000.0,7.374750908128461e-09,6.3946566456534475,1.0299999926252492
4,1e-06,1e-06,6.622159323917444,2.011585402073024e-05,5.592159323917444
4,0.01,0.009249147277217335,6.710334985432324,0.08819577736890061,5.6803349854323235
4,0.1,0.10811807510766078,6.530285848953517,0.09185335910990577,5.500285848953517
4,0.375,0.31011689265747816,-1.32821204876908,7.950351256832503,2.3582120487690803
4,1.0,0.8895134973108236,-0.8890187622461247,7.511157970309548,1.9190187622461248
4,10.0,10.397984184814922,0.021334122840117622,6.600805085223305,1.0086658771598824
4,100.0,85.54672535565685,-7.235942628454613e-05,6.622211567489708,1.0300723594262846
4,1000.0,1000.0,-5.304239744484331e-07,6.622139738487397,1.0300005304239745
5,1e-06,1e-06,1.8911854555195544,1.8309787027437352e-05,0.8611854555195544
5,0.01,0.009249147277217335,1.8066904418855492,0.08451332342103268,0.7766904418855491
5,0.1,0.10811807510766078,0.9569205174907514,0.9342832478158305,0.07307948250924867
5,0.375,0.31011689265747816,-0.15625401903384642,2.0474577843404282,1.1862540190338464
5,1.0,0.8895134973108236,-0.4119809606480557,2.3031847259546376,1.4419809606480558
5,10.0,10.397984184814922,-0.028998980012239856,1.9202027453188217,1.05899898001224
5,100.0,85.54672535565685,-0.00025234744181591045,1.8914561127483978,1.030252347441816
5,1000.0,1000.0,-1.8348032160328482e-06,1.8912056001097979,1.030001834803216
6,1e-06,1e-06,3.3909810210115685,1.1145395273359782e-07,2.3609810210115683
6,0.01,0.009249147277217335,3.3906180414378166,0.00036286811979913125,2.3606180414378164
6,0.1,0.10811807510766078,3.27399311819673,0.11698779136088566,2.2439931181967303
6,0.375,0.31011689265747816,2.4977737741008537,0.8932071354567621,1.4677737741008536
6,1.0,0.8895134973108236,0.5086019441014826,2.882378965456133,0.5213980558985174
6,10.0,10.397984184814922,0.006411474094837353,3.384569435462778,1.0235885259051627
6,100.0,85.54672535565685,8.833793665011456e-06,3.3909720757639508,1.029991166206335
6,1000.0,1000.0,5.7619328323327326e-08,3.3909808519382874,1.0299999423806716
7,1e-06,1e-06,-0.011176054260494051,0.022339100073693687,1.041176054260494
7,0.01,0.009249147277217335,-0.06907329209199231,0.08023633790519194,1.0990732920919923
7,0.1,0.10811807510766078,-0.46038358175952754,0.4715466275727272,1.4903835817595277
7,0.375,0.31011689265747816,-0.5730102805499138,0.5841733263631134,1.6030102805499138
7,1.0,0.8895134973108236,-0.12476847769690011,0.13593152351009974,1.1547684776969
7,10.0,10.397984184814922,-0.009936783726148824,0.021099829539348462,1.0399367837261488
7,100.0,85.54672535565685,-7.935588409710747e-05,0.011242401697296744,1.030079355884097
7,1000.0,1000.0,-1.7392561000070453e-07,0.011163219738809637,1.03000017392561
