seed,k,amplitude,r_star_measured,Pb_norm,sigma_max_PM,r_star_raw,r_star_floor,r_star_predicted
0,0.25,5.701969320137255,0.15361749466718297,0.7581466977925054,1.5918573922479191,0.47626546290173594,0.0017768093665426062,0.47626546290173594
0,0.5,4.430261224036643,0.21826447283974873,0.9716804917016535,1.6361269248648924,0.5938906553853655,0.0017287333163224822,0.5938906553853655
0,1.0,3.04521657374225,0.31011689265747816,1.4661848667361377,1.724289604575639,0.8503124201673634,0.0016403434302686571,0.8503124201673634
0,2.0,1.8644114051100897,0.44062364277735727,2.649575217666705,1.86745582752765,1.4188154700154345,0.0015145885022034406,1.4188154700154345
0,4.0,1.0633373523752745,0.6260516572014828,5.245035832699126,2.0633231134347687,2.5420331883782517,0.0013708115352024383,2.5420331883782517
1,0.25,2.0757699118200277,0.6260516572014828,0.7183791202292987,2.0695411033969164,0.34712000600044185,0.0013666928963641497,0.34712000600044185
1,0.5,2.4914386526917482,0.44062364277735727,1.0739974568491055,2.412959521037809,0.4450955134080249,0.0011721817544331158,0.4450955134080249
1,1.0,2.6758194063304965,0.44062364277735727,1.9695148949581494,3.049645959253103,0.6458175543237512,0.0009274608143165928,0.6458175543237512
1,2.0,2.121571155090286,0.44062364277735727,4.127505407980354,3.5259973383740917,1.170592320947023,0.0008021637152030394,1.170592320947023
1,4.0,1.2649167019657397,1.2638482029342997,8.813838604314498,3.9872384077757284,2.210512064472031,0.0007093699537078902,2.210512064472031
2,0.25,4.310342482950497,0.053556669177069076,0.5621906182869282,1.8720944001506072,0.30030035784611114,0.0015108357380475296,0.30030035784611114
2,0.5,2.2284903402507696,0.053556669177069076,0.7715948748866999,1.8350536560145594,0.42047537539718566,0.0015413321106310743,0.42047537539718566
2,1.0,0.7448733460655528,0.053556669177069076,1.227737483718202,1.8882913437747273,0.6501843519887844,0.0014978764447927378,0.6501843519887844
2,2.0,0.3396469841892805,0.8895134973108236,2.256690890439858,1.9007163474917355,1.1872844116997687,0.001488084809960571,1.1872844116997687
2,4.0,0.42031605260999,0.8895134973108236,4.313135585404493,1.8063302823039846,2.387789003848767,0.0015658416140477448,2.387789003848767
3,0.25,8.274606978921891,0.026529484644319,0.41072095773991124,3.411453390063113,0.12039471473837511,0.0008290973967238823,0.12039471473837511
3,0.5,5.202425195422961,0.037693909753883634,0.6405536899761645,3.375195312770219,0.18978270310834985,0.0008380039857381574,0.18978270310834985
3,1.0,2.933823895816726,0.6260516572014828,1.1035778970817036,3.45492961766307,0.3194212384066361,0.0008186641806785491,0.3194212384066361
3,2.0,1.7417233525143867,1.2638482029342997,2.109207228087825,3.7048073145323417,0.5693163095997803,0.0007634478353709531,0.5693163095997803
3,4.0,1.2468160958104446,1.795714494371641,4.133085644166513,4.126625918504495,1.001565377087623,0.0006854091406887743,1.001565377087623
4,0.25,6.827613894611838,0.31011689265747816,0.6886250143010123,3.3143191307693756,0.2077726939171235,0.0008533961314973335,0.2077726939171235
4,0.5,3.02991264191353,0.31011689265747816,0.8062482543452776,3.445994806576124,0.23396676420019066,0.0008207868216599149,0.23396676420019066
4,1.0,0.02691159402773883,10.397984184814922,1.1588316364716917,3.700434313944255,0.3131609800787154,0.0007643500423958069,0.3131609800787154
4,2.0,0.9209326050723575,0.8895134973108236,2.3194235493009763,3.9902317056395717,0.581275404639493,0.0007088378152949484,0.581275404639493
4,4.0,0.7829570059721562,1.2638482029342997,5.3821597594939075,3.93679858840783,1.3671412541505277,0.0007184586819032818,1.3671412541505277
5,0.25,10.862314471000863,0.026529484644319,0.5824085117604845,3.9394473103269734,0.14784015773830586,0.0007179756199128936,0.14784015773830586
5,0.5,10.499272553319944,0.037693909753883634,0.7206209909102358,3.882727918220924,0.18559657181449538,0.0007284639007211669,0.18559657181449538
5,1.0,8.853682629688386,0.07609496685459884,1.048037886049606,3.835353440706588,0.27325718535513266,0.0007374619232550073,0.27325718535513266
5,2.0,6.237868750740399,0.21826447283974873,1.8208250119648017,3.9663427137801657,0.45906900723398275,0.0007131070935750095,0.45906900723398275
5,4.0,3.9912660480379465,0.44062364277735727,3.36278576113524,4.498297081781306,0.7475686243033978,0.0006287773069061382,0.7475686243033978
6,0.25,5.15878443966936,0.31011689265747816,1.078069565588258,2.115918474366645,0.509504302102639,0.0013367372887997586,0.509504302102639
6,0.5,5.337745332365625,0.31011689265747816,1.0295529588304047,2.1615944975701487,0.4762932918212581,0.0013084910828213287,0.4762932918212581
6,1.0,4.460530510902542,0.21826447283974873,1.0965989982401543,2.268134830503277,0.4834805160136047,0.001247027772206377,0.4834805160136047
6,2.0,2.518784048173026,0.21826447283974873,1.6583630906795779,2.4894752798322655,0.6661496517415968,0.0011361539307740234,0.6661496517415968
6,4.0,1.403803501581888,0.44062364277735727,3.202524740790778,2.793452742322541,1.146439562864459,0.0010125201267570292,1.146439562864459
7,0.25,2.335227742172291,0.6260516572014828,0.7456170167494411,2.5473006045632633,0.2927086875470191,0.0011103625224597809,0.2927086875470191
7,0.5,0.10856702356940293,1.2638482029342997,0.9623960699548066,2.75074793680897,0.34986705145773656,0.0010282392969918328,0.34986705145773656
7,1.0,0.9983166974320495,0.6260516572014828,1.48160863278011,3.128156790429487,0.4736363079091983,0.0009041832984202353,0.4736363079091983
7,2.0,0.7711367753603311,0.44062364277735727,2.731099807954464,3.603661664942415,0.7578679859220652,0.0007848758811799794,0.7578679859220652
7,4.0,0.1601676501991764,0.31011689265747816,5.669150514336865,3.7798147089770917,1.4998487891146053,0.0007482978247660267,1.4998487891146053
