label,cond,eff_n,median_err,std_err,min_err,max_err
eff_n>=15,40.9771336185819,15.004481321672172,0.0186885364679621,0.07978774293128112,0.004230081245342338,0.22849578812616975
eff_n>=30,65.5827336402775,30.000308139229855,0.0587344602444633,0.1502837798046715,0.001307898823500575,0.4126912539682683
eff_n>=50,85.3329955044701,50.000017833807696,0.041672829699090454,0.04215559173910055,0.002397948054192202,0.1239363055657539
eff_n>=80,107.77649150842272,80.00003066867437,0.0565561474738382,0.10222921518003415,0.001280249687991839,0.293734035887734
native,156.02388494737758,100.0,0.06809763251606951,0.14860591120096145,0.004680134420319068,0.40270896555997315
