seed,train_mse,y_max,required_at_ref,target_max,max_pred,ratio_ymax_to_required,ratio_maxpred_to_ymax
0,0.0030544380352873837,119.55285482727434,51.5,100.93684861180876,100.79505731120818,2.3214146568402785,0.8431003798013292
1,0.013484729402421118,137.9184040570238,51.5,100.93684861180876,100.51518554494821,2.6780272632431803,0.7288018320121307
2,0.0034859942224870787,115.91745772891457,51.5,100.93684861180876,100.89065818073423,2.2508244219206714,0.8703663810215531
3,0.01125641289158637,132.70374317140744,51.5,100.93684861180876,100.76455107737497,2.5767717120661637,0.7593195841297555
4,0.00897528514196561,119.22716575757512,51.5,100.93684861180876,101.05745095360673,2.315090597234468,0.8476042377715083
5,0.005585513354736987,146.02551163107125,51.5,100.93684861180876,100.75029882970465,2.8354468277877913,0.6899499800024466
6,0.0007421892313692708,120.96873942689257,51.5,100.93684861180876,100.91098569194307,2.348907561687234,0.8341906030435954
7,0.00043202739560189275,116.82678115704232,51.5,100.93684861180876,100.91722636106662,2.268481187515385,0.8638192832293345
