arm,seed,c,r_star,angle_dx_zhat_deg,angle_du_zhat_deg,full_window_slope_x,full_window_slope_u
LN+linear,0,100.0,1.3141170977137786,7.48097360665443,89.31179506857573,-1.9633054460111297,-1.0016623436597285
LN+linear,3,100.0,0.9311644843179376,14.695782398157577,89.23912642879813,-1.9872259410888875,-1.001130305832966
LN+GELU+GLU,0,100.0,1.1358814213555617,24.33376673349302,63.31414537167491,-2.0166527091503608,-0.7077475348343178
