c,Jx,Ju,a_dx_dot_zhat,b_du_dot_zhat,d0,d1,ortho_directional_deriv
10.0,0.004135731016637003,0.06988572963088688,1.7410550789023014,-0.5447218507468368,-0.29859565573206187,-0.954379711843216,-0.06793243382192288
13.894954943731374,0.0005927051517338865,0.040747177584909124,1.7584901410913254,-0.5188652904315204,-0.28300069065950495,-0.9591197052955607,-0.03924915692416205
19.306977288832496,-0.0008147007342808468,0.013559895330158549,1.7674762242182978,-0.4527839224819697,-0.24816186640390261,-0.9687185804261894,-0.01293354490017914
26.826957952797258,-0.0024599860006272235,-0.0074422511469038185,1.774426284263727,-0.34223487888693493,-0.1893804908104496,-0.981903778229004,0.007773447875859616
37.2759372031494,-0.003611606158493344,-0.01962755392917163,1.788935404920893,-0.21337935530541444,-0.11843774781860951,-0.9929614795608415,0.01991715548909024
51.7947467923121,-0.0035805892573312088,-0.021469280053168987,1.8084013238134757,-0.11954255798069266,-0.06596004129325768,-0.9978222652118922,0.021658701470389334
71.96856730011521,-0.0026701531874326707,-0.014226459865685133,1.8241674320996377,-0.12651042443704555,-0.06918623426139142,-0.9976037615149252,0.014377107718988124
100.0,-0.0015682309937654112,-0.004914664286181508,1.830695894648289,-0.23630556464678454,-0.12801755871981663,-0.9917719015274724,0.005074987047805992
138.94954943731375,-0.0007401768853968261,0.001597577541125005,1.828990719873845,-0.40339223600620633,-0.21537829294925612,-0.9765306912362071,-0.0014006654664809755
193.06977288832496,-0.00024888933601442036,0.004657776595613475,1.821353489069761,-0.5816317401322543,-0.3042056931789854,-0.952606370038272,-0.004361314102209449
268.26957952797244,-5.4362082542500117e-05,0.004827505998683075,1.814912884238723,-0.6928674182101928,-0.3566569450276056,-0.9342354219165401,-0.004490638489199364
372.7593720314938,-7.745425641339443e-06,0.003824772617360746,1.8124671459473425,-0.7301827713140927,-0.37368185952558,-0.9275569351050666,-0.0035448000413764447
517.9474679231213,-1.2363798166548414e-06,0.0027948526082685545,1.812049655439321,-0.7361935899970604,-0.3763982948181234,-0.9264579448944291,-0.0025888480324845835
719.6856730011514,-4.716706534463009e-07,0.0020135823054694647,1.8120255688690796,-0.736564210114224,-0.37656521636132523,-0.9263901110367858,-0.0018651851207838982
1000.0,-2.4202702872140157e-07,0.0014491586665459437,1.812026998043169,-0.7365638696967652,-0.37656481211560583,-0.9263902753571729,-0.0013423953572751328
