arm,count,mean,std,min,25%,50%,75%,max
LN+GELU,8.0,-2.0767827153442884,0.31449510778221484,-2.8035696017415797,-2.0600114343597418,-1.9842191144843877,-1.9519206572159833,-1.7521929738150028
LN+GELU+GLU,8.0,-2.3327386999987625,0.4167263810095084,-2.7929674187907896,-2.7025583605363566,-2.3315017835188723,-2.0454606342353205,-1.711361853474903
LN+linear,8.0,-1.9207145629668283,0.3209502517380014,-2.6054426155700785,-1.9827824949001591,-1.9251872372592764,-1.7061957195698516,-1.5867528271379596
