c,Jx,rel_err
1e-15,6.247869406486249,11.495738812972498
1.584893192461111e-15,6.247869406486248,11.495738812972496
2.511886431509582e-15,6.247869406486246,11.495738812972492
3.9810717055349695e-15,6.247869406486243,11.495738812972485
6.309573444801943e-15,6.247869406486241,11.495738812972482
1e-14,6.247869406486234,11.495738812972467
1.584893192461111e-14,6.2478694064862275,11.495738812972455
2.5118864315095823e-14,6.247869406486213,11.495738812972427
3.9810717055349693e-14,6.247869406486192,11.495738812972384
6.309573444801943e-14,6.247869406486159,11.495738812972318
1e-13,6.247869406486106,11.495738812972212
1.584893192461111e-13,6.247869406486021,11.495738812972043
2.511886431509582e-13,6.247869406485889,11.495738812971778
3.981071705534969e-13,6.247869406485679,11.495738812971357
6.309573444801942e-13,6.247869406485345,11.49573881297069
1e-12,6.247869406484814,11.495738812969629
1.584893192461111e-12,6.2478694064839795,11.495738812967959
2.5118864315095823e-12,6.24786940648265,11.4957388129653
3.9810717055349695e-12,6.247869406480547,11.495738812961093
6.309573444801943e-12,6.247869406477212,11.495738812954423
1e-11,6.247869406471926,11.495738812943852
1.5848931924611107e-11,6.247869406463549,11.495738812927097
2.5118864315095823e-11,6.247869406450272,11.495738812900544
3.9810717055349857e-11,6.247869406429226,11.495738812858452
6.309573444801942e-11,6.247869406395874,11.495738812791748
1e-10,6.247869406343015,11.49573881268603
1.584893192461111e-10,6.247869406259237,11.495738812518473
2.511886431509582e-10,6.247869406126459,11.495738812252918
3.9810717055349854e-10,6.2478694059160205,11.495738811832041
6.309573444801942e-10,6.247869405582497,11.495738811164994
1e-09,6.247869405053898,11.495738810107795
1.584893192461111e-09,6.247869404216124,11.495738808432248
2.511886431509582e-09,6.247869402888343,11.495738805776686
3.9810717055349855e-09,6.247869400783952,11.495738801567905
6.309573444801943e-09,6.247869397448719,11.495738794897438
1e-08,6.24786939216273,11.49573878432546
1.5848931924611143e-08,6.247869383785001,11.495738767570002
2.511886431509582e-08,6.247869370507195,11.49573874101439
3.9810717055349776e-08,6.247869349463284,11.495738698926568
6.309573444801943e-08,6.247869316110934,11.495738632221869
1e-07,6.247869263251007,11.495738526502015
1.5848931924611173e-07,6.247869179473641,11.495738358947282
2.5118864315095823e-07,6.24786904669539,11.49573809339078
3.981071705534969e-07,6.2478688362558685,11.495737672511737
6.309573444801942e-07,6.2478685027312455,11.495737005462491
1e-06,6.247867974129203,11.495735948258407
1.5848931924611175e-06,6.247867136348558,11.495734272697115
2.5118864315095823e-06,6.24786580854852,11.49573161709704
3.981071705534985e-06,6.247863704109204,11.495727408218409
6.309573444801943e-06,6.247860368752264,11.495720737504527
1e-05,6.247855082453708,11.495710164907416
1.5848931924611175e-05,6.247846703948664,11.495693407897328
2.5118864315095822e-05,6.247833424193529,11.495666848387058
3.981071705534986e-05,6.247812375392699,11.495624750785398
6.309573444801943e-05,6.247779010751957,11.495558021503914
0.0001,6.247726119957791,11.495452239915583
0.00015848931924611174,6.247642265060185,11.49528453012037
0.0002511886431509582,6.24750929208045,11.4950185841609
0.00039810717055349854,6.247298363494494,11.494596726988988
0.0006309573444801943,6.246963610718822,11.493927221437644
0.001,6.246431924950994,11.492863849901989
0.0015848931924611173,6.245586403350131,11.491172806700263
0.002511886431509582,6.2442391788629825,11.488478357725965
0.0039810717055349856,6.242086027024096,11.484172054048193
0.006309573444801942,6.238628626573467,11.477257253146934
0.01,6.2330370321928426,11.466074064385685
0.015848931924611172,6.22389670311941,11.44779340623882
0.025118864315095822,6.208723496129973,11.417446992259945
0.03981071705534985,6.182999282487962,11.365998564975923
0.06309573444801943,6.138214130049472,11.276428260098944
0.1,6.057932791396472,11.115865582792944
0.15848931924611173,5.91043596311215,10.8208719262243
0.25118864315095824,5.637685336510094,10.275370673020188
0.39810717055349853,5.149506266479301,9.299012532958603
0.6309573444801942,4.358845876241325,7.717691752482651
1.0,3.3093980648983865,5.618796129796773
1.5848931924611174,2.3103126804808203,3.6206253609616406
2.5118864315095824,1.6611439525936444,2.322287905187289
3.9810717055349856,1.1010448544911875,1.202089708982375
6.309573444801943,0.5646204093214816,0.12924081864296322
10.0,0.2480907715898643,0.5038184568202714
15.84893192461111,0.10727226523867453,0.785455469522651
25.118864315095923,0.04395684939489301,0.912086301210214
39.810717055349855,0.01763520114095739,0.9647295977180852
63.09573444801943,0.0067426732552125414,0.9865146534895749
100.0,0.0023647383030799543,0.9952705233938401
158.48931924611108,0.0008598866894411481,0.9982802266211177
251.18864315095925,0.00036044427952810755,0.9992791114409438
398.1071705534986,0.00016351565789348937,0.9996729686842131
630.9573444801943,7.818488284941323e-05,0.9998436302343012
1000.0,4.081988125509474e-05,0.9999183602374898
