eps,seed,teacher_mse_train_final,kink_amplitude,kink_width
1e-08,0,7.243243452994708e-06,1.1790021828996329,0.0335292414924956
1e-08,1,2.564877493659961e-06,5.640399246799884,0.18671810912919207
1e-08,2,7.858333817352268e-06,4.864327191335831,0.05150678076168122
1e-08,3,2.2772877915322028e-05,1.6139432991377587,1.0397984184814921
1e-08,4,1.3536623896099864e-06,-0.45192656642601614,0.2868316813342009
1e-08,5,0.0036348973419269423,2.8758159808374186,1.0397984184814921
1e-08,6,1.910901935662439e-05,2.2096522424918286,0.0335292414924956
1e-08,7,2.9949646579864706e-05,-0.6554896483797601,1.0397984184814921
1e-06,0,6.838354530232223e-07,1.1250817722538735,0.0335292414924956
1e-06,1,2.1729816573970962e-05,2.22966499012381,0.2868316813342009
1e-06,2,2.1311782010190425e-05,-1.5259414476499442,0.6768750009458542
1e-06,3,7.0319168981209085e-06,3.623250570255256,0.6768750009458542
1e-06,4,8.241843940507906e-06,-1.2135416425056507,0.44062364277735727
1e-06,5,6.824808174819509e-05,12.772920426425491,0.021826447283974874
1e-06,6,1.7731742234896646e-05,2.832267427405439,0.05150678076168122
1e-06,7,0.0001038867418864683,-1.6040282300465143,1.0397984184814921
0.0001,0,2.2660953335657568e-05,1.1352041911165776,0.0335292414924956
0.0001,1,3.607123706987292e-05,-1.3213066738313988,0.07912342618981327
0.0001,2,0.0003668818338183082,-0.8094048144967756,1.5973122800602524
0.0001,3,3.095061417065522e-05,3.6993116312233827,0.6768750009458542
0.0001,4,2.4710824542800143e-06,0.24153772335477086,0.44062364277735727
0.0001,5,0.00010038570090605742,16.867522871039373,0.021826447283974874
0.0001,6,0.000572654513421875,2.55835579370752,0.05150678076168122
0.0001,7,1.338191921888228e-05,-0.774628749921918,1.0397984184814921
0.01,0,6.614958948784798e-07,0.6791910978313926,0.021826447283974874
0.01,1,4.811536402133268e-05,0.23041971886595958,3.7693909753883634
0.01,2,4.787910447176952e-05,-0.8825432186651772,2.453751106639817
0.01,3,9.967054729523425e-06,2.7832622291115405,0.44062364277735727
0.01,4,9.805665265743974e-06,1.9325380924953421,1.0397984184814921
0.01,5,6.606807834651915e-05,1.9567811897345924,1.0397984184814921
0.01,6,1.7789859364117622e-05,3.707726711819954,0.0335292414924956
0.01,7,3.428051511545118e-05,-1.2509590624087632,0.18671810912919207
0.1,0,6.82029249387419e-07,-0.547064067762363,0.44062364277735727
0.1,1,0.0001333682604105282,-1.3013228435167816,0.6768750009458542
0.1,2,6.901494014149399e-05,0.13329019456695468,0.006020894493336125
0.1,3,4.194894287778027e-06,-1.6928361121978555,0.0335292414924956
0.1,4,1.0536237278327937e-05,-1.313635849234944,0.07912342618981327
0.1,5,4.16803184973385e-05,6.565828231855185,0.6768750009458542
0.1,6,8.456046411528614e-06,3.8910201312731347,0.12154742500762859
0.1,7,7.391877041840857e-06,-0.49684491277760867,0.6768750009458542
