k,seed,Mxx,Maa,actual_cond,orig_pred,orig_residual,refined_pred,refined_residual
-3.99,42,175.60610742472875,40.82152483791881,1200.1101108051314,72.78691597226079,16.487992309806,1231.5618969422499,0.9744618713722731
-3.9400000000000004,42,62.82038236912756,40.82152483791881,390.33432255371594,25.428223816625003,15.350436010340403,420.165799056385,0.9290007026519886
-3.8900000000000006,42,36.778405102225946,40.82152483791881,205.3200425132531,14.534315200261588,14.126571474764615,234.46902624214002,0.8756808769326133
-3.8400000000000007,42,27.645860091541003,40.82152483791881,140.11310923345494,10.66350795041886,13.139494984664154,167.90333078411524,0.8344867762844319
-3.790000000000001,42,23.87910768247429,40.82152483791881,111.97841477934205,8.987439832318818,12.459434151277192,138.08392432772962,0.8109446144764214
-3.740000000000001,42,22.209941809530697,40.82152483791881,97.91174131052823,8.154367706404699,12.007275712330859,122.21440143651112,0.801147329280929
-3.6900000000000013,42,21.526026372721986,40.82152483791881,90.19097174143072,7.707368975450124,11.701914366460366,112.65167568207661,0.8006181106081895
-3.6400000000000015,42,21.383995214743596,40.82152483791881,85.77019689823472,7.464527095003678,11.49037250539881,106.36652529296447,0.8063645649982318
-3.5900000000000016,42,21.586261499949195,40.82152483791881,83.29236802320061,7.343972561724837,11.3415957539523,101.99382533449081,0.8166412795092409
-3.540000000000002,42,22.03850136744251,40.82152483791881,82.0926032150329,7.305366134355534,11.237301691008941,98.85329238364544,0.8304488523906213
-3.490000000000002,42,22.69481690114992,40.82152483791881,81.8191604001516,7.32750570750351,11.166031616511354,96.5772579754671,0.8471886872262991
-3.440000000000002,42,23.534452199013582,40.82152483791881,82.27442864933221,7.3988354658595705,11.11991596906985,94.9536948346555,0.8664689540791234
-3.3900000000000023,42,24.55120405998464,40.82152483791881,83.34290256733861,7.513097500778482,11.093014906129316,93.854365289475,0.8880024100134727
-3.3400000000000025,42,25.74842682865139,40.82152483791881,84.95644935572662,7.667219154626568,11.080477503302099,93.19964915597883,0.9115533172613515
-3.2900000000000027,42,27.136719393083737,40.82152483791881,87.07667860680228,7.860247382961812,11.078109169382275,92.94035108087888,0.9369092928326266
-3.240000000000003,42,28.733026360654154,40.82152483791881,89.68563226826572,8.092809986788833,11.082137405261422,93.04789210410343,0.9638652766891704
-3.190000000000003,42,30.560585237545514,40.82152483791881,92.78074171940112,8.36686424697373,11.089069809272887,93.50891151060328,0.9922128299919352
-3.1400000000000032,42,32.64947439707639,40.82152483791881,96.37208267515844,8.685619500257939,11.095591128795874,94.32235352500129,1.0217311069280501
-3.0900000000000034,42,35.037682640415696,40.82152483791881,100.48093336445247,9.053580965600494,11.098474045378783,95.49807738325077,1.0521775528653274
-3.0400000000000036,42,37.77272274083616,40.82152483791881,105.13912761315899,9.476694434089426,11.094493796798393,97.05651371617046,1.0832773977501924
-2.9900000000000038,42,40.91389171927335,40.82152483791881,110.38895508253425,9.96259146843482,11.08034545351853,99.02915545538916,1.114711668244636
-2.940000000000004,42,44.53536405001867,40.82152483791881,116.28351362500001,10.520950367680022,11.052567454573186,101.45983696575931,1.1461038880265835
-2.890000000000004,42,48.73040946424241,40.82152483791881,122.88752111493149,11.164003896474167,11.007477447561802,104.40688084021632,1.1770059609672454
-2.8400000000000043,42,53.61717563834584,40.82152483791881,130.27867916027435,11.907244263827227,10.94112762564595,107.94631359815241,1.206884003887875
-2.7900000000000045,42,59.34669760340657,40.82152483791881,138.5497716011773,12.770403077492261,10.849287274680485,112.17649767300011,1.2351051644084712
-2.7400000000000047,42,66.11413663357483,40.82152483791881,147.81179464219787,13.778824555356303,10.727460390279687,117.22472778714962,1.2609267467064338
-2.690000000000005,42,74.1747870893641,40.82152483791881,158.19856862363693,14.965412643754133,10.570945979873242,123.25663507522383,1.2834892703917153
-2.640000000000005,42,83.86724523730554,40.82152483791881,169.8734930542889,16.3734304462427,10.374948219435023,130.48969128437625,1.3018154260483574
-2.590000000000005,42,95.64751990360566,40.82152483791881,183.03941720012602,18.060585710510978,10.134744251046076,139.21280071519013,1.3148174324471713
-2.5400000000000054,42,110.14014039157222,40.82152483791881,197.95311840560228,20.105086064288358,9.845922458258777,149.81505931665168,1.3213165572841723
-2.4900000000000055,42,128.21610532252137,40.82152483791881,214.9469048625318,22.614754926429526,9.504719620522023,162.82849694578584,1.3200816128278756
-2.4400000000000057,42,151.11391244454057,40.82152483791881,234.46212745454486,25.740971356324607,9.10851903018559,178.99241842333953,1.3098997684919398
-2.390000000000006,42,180.6308729321935,40.82152483791881,257.104625894051,29.7003232246234,8.656627200639198,199.3515395159956,1.2897047422772545
-2.340000000000006,42,219.43107368570287,40.82152483791881,283.7442499849433,34.808789392385364,8.151511584801455,225.4077965893316,1.2588040621411793
-2.2900000000000063,42,271.55143635668145,40.82152483791881,315.70894125893136,41.53677086995382,7.6007097963241925,259.3597509890799,1.2172626633660826
-2.2400000000000064,42,343.2638391533037,40.82152483791881,355.1982447127633,50.601355208813445,7.019540153558911,304.4987151045573,1.1665016208386858
-2.1900000000000066,42,444.7216909929965,40.82152483791881,406.3065146803192,63.14441715244696,6.434559585836229,365.99135625729974,1.1101533075406214
-2.140000000000007,42,594.5178813158607,40.821524837918815,478.42844043040304,81.26036407901884,5.887599026324467,453.400327415296,1.0552009151775101
-2.090000000000007,42,844.279078832858,40.821524837918815,603.8399536612272,111.02413594488725,5.438816961034269,595.9886641657524,1.013173555081731
-2.040000000000007,42,1558.946520389226,40.821524837918815,1015.6799732364982,197.11802514948175,5.152648888736945,1017.4443986115707,0.9982658262432028
