label,cond,eff_n,seed,teacher_mse_train_final,jx_err_mean
native,156.02388494737758,100.0,0,6.838354530232223e-07,0.004680134420319068
native,156.02388494737758,100.0,1,2.1729816573970965e-05,0.026433786681643697
native,156.02388494737758,100.0,2,2.1311782010190435e-05,0.0718590162694964
native,156.02388494737758,100.0,3,7.031916898120909e-06,0.3284720810041298
native,156.02388494737758,100.0,4,8.241843940507906e-06,0.05752040986785811
native,156.02388494737758,100.0,5,6.824808174819509e-05,0.40270896555997315
native,156.02388494737758,100.0,6,1.7731742234896642e-05,0.09184297528761448
native,156.02388494737758,100.0,7,0.0001038867418864683,0.06433624876264261
eff_n>=80,107.77649150842272,80.00003066867437,0,7.864234299153554e-07,0.001280249687991839
eff_n>=80,107.77649150842272,80.00003066867437,1,0.0001266297226277167,0.11770447426325381
eff_n>=80,107.77649150842272,80.00003066867437,2,1.0036706233075418e-05,0.024244353183202064
eff_n>=80,107.77649150842272,80.00003066867437,3,1.5000556485927352e-05,0.293734035887734
eff_n>=80,107.77649150842272,80.00003066867437,4,1.9789075631915827e-05,0.21023938207634
eff_n>=80,107.77649150842272,80.00003066867437,5,3.925249400533969e-06,0.06158815100454384
eff_n>=80,107.77649150842272,80.00003066867437,6,5.689089458830764e-06,0.05152414394313256
eff_n>=80,107.77649150842272,80.00003066867437,7,5.4473609506276794e-05,0.03797484055755908
eff_n>=50,85.3329955044701,50.000017833807696,0,6.634472473158659e-05,0.002397948054192202
eff_n>=50,85.3329955044701,50.000017833807696,1,2.815599843773375e-07,0.010157484952022934
eff_n>=50,85.3329955044701,50.000017833807696,2,1.1156128320151996e-05,0.062411520968847875
eff_n>=50,85.3329955044701,50.000017833807696,3,5.339781265993002e-06,0.07430177078706535
eff_n>=50,85.3329955044701,50.000017833807696,4,2.355612031010765e-05,0.1239363055657539
eff_n>=50,85.3329955044701,50.000017833807696,5,1.0325738786655115e-05,0.0720993245224714
eff_n>=50,85.3329955044701,50.000017833807696,6,3.570132557554907e-05,0.020934138429333032
eff_n>=50,85.3329955044701,50.000017833807696,7,2.5429972188876616e-06,0.01719482889817874
eff_n>=30,65.5827336402775,30.000308139229855,0,3.397271393901768e-07,0.0019124995849012045
eff_n>=30,65.5827336402775,30.000308139229855,1,0.0012000998988990746,0.4126912539682683
eff_n>=30,65.5827336402775,30.000308139229855,2,2.3514662103796472e-06,0.001307898823500575
eff_n>=30,65.5827336402775,30.000308139229855,3,0.00014241699447940806,0.25931699452309354
eff_n>=30,65.5827336402775,30.000308139229855,4,1.2547219533399652e-05,0.1269661280306832
eff_n>=30,65.5827336402775,30.000308139229855,5,1.8528461376788695e-05,0.10595028743652207
eff_n>=30,65.5827336402775,30.000308139229855,6,1.8005788917919836e-06,0.005436684965497641
eff_n>=30,65.5827336402775,30.000308139229855,7,2.9055001011581044e-06,0.01151863305240452
eff_n>=15,40.9771336185819,15.004481321672172,0,7.186020034947976e-07,0.004230081245342338
eff_n>=15,40.9771336185819,15.004481321672172,1,9.185982481072828e-05,0.22849578812616975
eff_n>=15,40.9771336185819,15.004481321672172,2,0.0002443477846898898,0.006046239683540106
eff_n>=15,40.9771336185819,15.004481321672172,3,3.7175398509240527e-06,0.11272002958674313
eff_n>=15,40.9771336185819,15.004481321672172,4,3.865809329610321e-06,0.0896696249086084
eff_n>=15,40.9771336185819,15.004481321672172,5,1.1947272785891836e-05,0.014038445015333148
eff_n>=15,40.9771336185819,15.004481321672172,6,1.5476110565014199e-06,0.004902484780699569
eff_n>=15,40.9771336185819,15.004481321672172,7,4.20319995073753e-06,0.02333862792059105
