x_center,Jx,seed,train_mse
0.0,4.57744275126892,0,0.0030544380352873837
-20.0,-0.12252334644686026,0,0.0030544380352873837
-15.0,-0.20845101455991774,0,0.0030544380352873837
-10.0,-0.3689819507134053,0,0.0030544380352873837
-5.0,-1.092472708098162,0,0.0030544380352873837
0.0,4.57744275126892,0,0.0030544380352873837
5.0,0.2648236539617259,0,0.0030544380352873837
10.0,0.0895928298573043,0,0.0030544380352873837
15.0,0.032021773097910475,0,0.0030544380352873837
20.0,-0.005862184979188295,0,0.0030544380352873837
25.0,-0.02011746908101356,0,0.0030544380352873837
30.0,-0.023380860806104374,0,0.0030544380352873837
35.0,-0.022314480536932704,0,0.0030544380352873837
40.0,-0.01975320852549582,0,0.0030544380352873837
45.0,-0.016865605168961153,0,0.0030544380352873837
50.0,-0.014119361457222595,0,0.0030544380352873837
55.0,-0.011683925718159991,0,0.0030544380352873837
60.0,-0.009599986353602062,0,0.0030544380352873837
65.0,-0.007853229414564416,0,0.0030544380352873837
70.0,-0.006407651937599517,0,0.0030544380352873837
75.0,-0.005220989802267438,0,0.0030544380352873837
80.0,-0.004251828183823386,0,0.0030544380352873837
85.0,-0.0034626750953770666,0,0.0030544380352873837
90.0,-0.0028210286645003672,0,0.0030544380352873837
95.0,-0.002299453550802279,0,0.0030544380352873837
100.0,-0.0018751937766832445,0,0.0030544380352873837
105.0,-0.001529599737008723,0,0.0030544380352873837
110.0,-0.0012475142535822025,0,0.0030544380352873837
115.0,-0.0010166897544315655,0,0.0030544380352873837
120.0,-0.0008272684525013014,0,0.0030544380352873837
0.0,7.415075210166912,1,0.013484729402421118
-20.0,-0.2299618059243045,1,0.013484729402421118
-15.0,-0.33072520433804914,1,0.013484729402421118
-10.0,-0.6048399770374541,1,0.013484729402421118
-5.0,-1.5225015443550787,1,0.013484729402421118
0.0,7.415075210166912,1,0.013484729402421118
5.0,-0.030625105785473592,1,0.013484729402421118
10.0,0.3527631608857539,1,0.013484729402421118
15.0,0.6510970295363026,1,0.013484729402421118
20.0,0.7089236341759962,1,0.013484729402421118
25.0,0.5750178264644978,1,0.013484729402421118
30.0,0.3840087832550179,1,0.013484729402421118
35.0,0.222152549654387,1,0.013484729402421118
40.0,0.10955735328811182,1,0.013484729402421118
45.0,0.038657498851643414,1,0.013484729402421118
50.0,-0.0030379567618294143,1,0.013484729402421118
55.0,-0.02585872202652356,1,0.013484729402421118
60.0,-0.03702024475585745,1,0.013484729402421118
65.0,-0.04123758788625601,1,0.013484729402421118
70.0,-0.04148880912447505,1,0.013484729402421118
75.0,-0.03961128085293793,1,0.013484729402421118
80.0,-0.03671333714033624,1,0.013484729402421118
85.0,-0.03344477124460384,1,0.013484729402421118
90.0,-0.03017043049755992,1,0.013484729402421118
95.0,-0.02708023552566646,1,0.013484729402421118
100.0,-0.024258454235819984,1,0.013484729402421118
105.0,-0.021727220602182372,1,0.013484729402421118
110.0,-0.01947390580894183,1,0.013484729402421118
115.0,-0.01746838804073274,1,0.013484729402421118
120.0,-0.01567395641974749,1,0.013484729402421118
0.0,1.7045461955183416,2,0.0034859942224870787
-20.0,-0.0829364379661839,2,0.0034859942224870787
-15.0,-0.11154651789113165,2,0.0034859942224870787
-10.0,-0.17059209948742418,2,0.0034859942224870787
-5.0,-0.3817864251267297,2,0.0034859942224870787
0.0,1.7045461955183416,2,0.0034859942224870787
5.0,2.3231334971561277,2,0.0034859942224870787
10.0,1.044715929006088,2,0.0034859942224870787
15.0,0.6249665047510472,2,0.0034859942224870787
20.0,0.4361222876403162,2,0.0034859942224870787
25.0,0.3191704205808607,2,0.0034859942224870787
30.0,0.237061419230965,2,0.0034859942224870787
35.0,0.17832855311486978,2,0.0034859942224870787
40.0,0.1366665027497304,2,0.0034859942224870787
45.0,0.10735377755482668,2,0.0034859942224870787
50.0,0.08674133443210581,2,0.0034859942224870787
55.0,0.07212060223557762,2,0.0034859942224870787
60.0,0.06156454569596062,2,0.0034859942224870787
65.0,0.05374576875787011,2,0.0034859942224870787
70.0,0.04777030149481964,2,0.0034859942224870787
75.0,0.04304490252617216,2,0.0034859942224870787
80.0,0.03917929703857921,2,0.0034859942224870787
85.0,0.03591767244814236,2,0.0034859942224870787
90.0,0.033092209496264804,2,0.0034859942224870787
95.0,0.030592235105526864,2,0.0034859942224870787
100.0,0.028344042422886514,2,0.0034859942224870787
105.0,0.026297818424004072,2,0.0034859942224870787
110.0,0.0244192290318209,2,0.0034859942224870787
115.0,0.022684021009260737,2,0.0034859942224870787
120.0,0.021074561900862057,2,0.0034859942224870787
0.0,15.062186565409856,3,0.01125641289158637
-20.0,0.0683952418210071,3,0.01125641289158637
-15.0,0.20983494163783475,3,0.01125641289158637
-10.0,0.8362105000932302,3,0.01125641289158637
-5.0,4.486400288879525,3,0.01125641289158637
0.0,15.062186565409856,3,0.01125641289158637
5.0,-1.7799622930298307,3,0.01125641289158637
10.0,-0.9082073748509579,3,0.01125641289158637
15.0,-0.2138741137436162,3,0.01125641289158637
20.0,0.04027468573601531,3,0.01125641289158637
25.0,0.08503165262745992,3,0.01125641289158637
30.0,0.07296899340137566,3,0.01125641289158637
35.0,0.05659068298286846,3,0.01125641289158637
40.0,0.04450965469980628,3,0.01125641289158637
45.0,0.035955196095656845,3,0.01125641289158637
50.0,0.029715722741549506,3,0.01125641289158637
55.0,0.025022851785012283,3,0.01125641289158637
60.0,0.021401131519043683,3,0.01125641289158637
65.0,0.018544790302562248,3,0.01125641289158637
70.0,0.01624997160009815,3,0.01125641289158637
75.0,0.014376537584123232,3,0.01125641289158637
80.0,0.012825583224495321,3,0.01125641289158637
85.0,0.011525691000427662,3,0.01125641289158637
90.0,0.010424246435735881,3,0.01125641289158637
95.0,0.009481795620012159,3,0.01125641289158637
100.0,0.008668280789186626,3,0.01125641289158637
105.0,0.007960477241955704,3,0.01125641289158637
110.0,0.00734020780035909,3,0.01125641289158637
115.0,0.006793080566318322,3,0.01125641289158637
120.0,0.006307579261214087,3,0.01125641289158637
0.0,-28.238937558856676,4,0.00897528514196561
-20.0,0.17578399534341516,4,0.00897528514196561
-15.0,0.2292319651942293,4,0.00897528514196561
-10.0,0.18243277630355767,4,0.00897528514196561
-5.0,-0.3896255618071324,4,0.00897528514196561
0.0,-28.238937558856676,4,0.00897528514196561
5.0,0.3578274280600702,4,0.00897528514196561
10.0,1.139353042024209,4,0.00897528514196561
15.0,0.539717240910642,4,0.00897528514196561
20.0,-0.17325368323768378,4,0.00897528514196561
25.0,-0.39816764319472164,4,0.00897528514196561
30.0,-0.36821944806493634,4,0.00897528514196561
35.0,-0.3355598448620234,4,0.00897528514196561
40.0,-0.3452264400829076,4,0.00897528514196561
45.0,-0.36163449474660075,4,0.00897528514196561
50.0,-0.33730450522383976,4,0.00897528514196561
55.0,-0.26387497017697226,4,0.00897528514196561
60.0,-0.17554711262566466,4,0.00897528514196561
65.0,-0.10351311620615464,4,0.00897528514196561
70.0,-0.05576231045977792,4,0.00897528514196561
75.0,-0.02746481907089453,4,0.00897528514196561
80.0,-0.011728563979930082,4,0.00897528514196561
85.0,-0.0033417121514342798,4,0.00897528514196561
90.0,0.0009561447633618802,4,0.00897528514196561
95.0,0.0030443611570498187,4,0.00897528514196561
100.0,0.0039634277617400905,4,0.00897528514196561
105.0,0.004276821369875153,4,0.00897528514196561
110.0,0.004285387699391046,4,0.00897528514196561
115.0,0.0041478559180678125,4,0.00897528514196561
120.0,0.003946855221948763,4,0.00897528514196561
0.0,7.715830074436052,5,0.005585513354736987
-20.0,-0.1540136887899302,5,0.005585513354736987
-15.0,-0.1971136611438654,5,0.005585513354736987
-10.0,-0.2905530073615381,5,0.005585513354736987
-5.0,-0.479233119133302,5,0.005585513354736987
0.0,7.715830074436052,5,0.005585513354736987
5.0,3.912255077429239,5,0.005585513354736987
10.0,1.8878144631644422,5,0.005585513354736987
15.0,1.0874858879936746,5,0.005585513354736987
20.0,0.6853151610575164,5,0.005585513354736987
25.0,0.46896811397566757,5,0.005585513354736987
30.0,0.3394926032427987,5,0.005585513354736987
35.0,0.25631245334529384,5,0.005585513354736987
40.0,0.19999133618511133,5,0.005585513354736987
45.0,0.16020867386691967,5,0.005585513354736987
50.0,0.13112174269279606,5,0.005585513354736987
55.0,0.10923946026736435,5,0.005585513354736987
60.0,0.09237868934073147,5,0.005585513354736987
65.0,0.07912048127321822,5,0.005585513354736987
70.0,0.06851163218191289,5,0.005585513354736987
75.0,0.059893314714373716,5,0.005585513354736987
80.0,0.05279874032916406,5,0.005585513354736987
85.0,0.046889913417177104,5,0.005585513354736987
90.0,0.04191734771060854,5,0.005585513354736987
95.0,0.037693713649729094,5,0.005585513354736987
100.0,0.03407618397860495,5,0.005585513354736987
105.0,0.030954351688678442,5,0.005585513354736987
110.0,0.028241801171910944,5,0.005585513354736987
115.0,0.025870124890314813,5,0.005585513354736987
120.0,0.02378460838425273,5,0.005585513354736987
0.0,1.5619175712588906,6,0.0007421892313692708
-20.0,-0.38429806113714726,6,0.0007421892313692708
-15.0,-0.43237735596461624,6,0.0007421892313692708
-10.0,-0.6579945007122394,6,0.0007421892313692708
-5.0,-1.2405165307714152,6,0.0007421892313692708
0.0,1.5619175712588906,6,0.0007421892313692708
5.0,3.5841614355587605,6,0.0007421892313692708
10.0,1.4526164835446362,6,0.0007421892313692708
15.0,0.4764112651363051,6,0.0007421892313692708
20.0,0.1718141448223376,6,0.0007421892313692708
25.0,0.07766046169661231,6,0.0007421892313692708
30.0,0.05949856714654795,6,0.0007421892313692708
35.0,0.05817922514054815,6,0.0007421892313692708
40.0,0.05478156463950947,6,0.0007421892313692708
45.0,0.04798947973970334,6,0.0007421892313692708
50.0,0.04036305025056406,6,0.0007421892313692708
55.0,0.03362044156379451,6,0.0007421892313692708
60.0,0.02821428617240466,6,0.0007421892313692708
65.0,0.023987711964770862,6,0.0007421892313692708
70.0,0.020659287451255205,6,0.0007421892313692708
75.0,0.0179941296294075,6,0.0007421892313692708
80.0,0.015823935469146354,6,0.0007421892313692708
85.0,0.014030532505380312,6,0.0007421892313692708
90.0,0.012529601808092102,6,0.0007421892313692708
95.0,0.011259637168794046,6,0.0007421892313692708
100.0,0.010174823575670747,6,0.0007421892313692708
105.0,0.009240386879408681,6,0.0007421892313692708
110.0,0.008429489604280924,6,0.0007421892313692708
