arm,seed,description,teacher_mse_train_final,teacher_mse,free_run_rmse,jx_err_mean,jx_err_max,ju_err_mean,ju_err_max,equilibrium_drift,homogeneity_flatness,jx_far_from_origin,jx_at_origin,jx_origin_spike_ratio,directional_asymmetry_at_smallest_eps,directional_asymmetry_at_largest_eps,sigma_jx_err_correlation
arm_4,0,"S4, no LN - nonlinear (via memory), no LayerNorm",6.110932925837606e-07,6.110932925837035e-07,0.0009353562421487701,0.0011527933095643779,0.0011527933095643779,5.359608169364094e-05,5.359608169364094e-05,0.004883496684259789,4.86975327462256e-12,3.003458379928693,3.003458379928693,1.0,0.0,0.0,
arm_4,1,"S4, no LN - nonlinear (via memory), no LayerNorm",2.9929363622190077e-06,2.99293636221903e-06,0.0017956027926601453,0.008279850643211203,0.008279850643211203,0.00043381999251534964,0.00043381999251534964,-0.04422705799960687,1.850739188928306e-11,2.9751604480703664,2.9751604480703664,1.0,0.0,0.0,
arm_4,2,"S4, no LN - nonlinear (via memory), no LayerNorm",4.437481537575684e-06,4.437481537576122e-06,0.0022067896403826846,0.001543497984236808,0.001543497984236808,0.0001704776313046219,0.0001704776313046219,-0.00017268630035065236,4.11383429673078e-12,3.0046304939527104,3.0046304939527104,1.0,0.0,0.0,
arm_4,3,"S4, no LN - nonlinear (via memory), no LayerNorm",4.1861803309723046e-05,4.1861803309858355e-05,0.008418890110975867,0.0327800691298652,0.0327800691298652,0.00031398122892478675,0.00031398122892478675,-0.16614900709448008,2.4143924017485426e-11,2.9016597926104044,2.9016597926104044,1.0,0.0,0.0,
arm_4,4,"S4, no LN - nonlinear (via memory), no LayerNorm",1.3092142354396262e-06,1.3092142354391294e-06,0.0010324628211055783,0.004312589928441597,0.004312589928441597,2.8308817285882526e-06,2.8308817285882526e-06,-0.020387067631874596,1.219530646510138e-12,2.987062230214675,2.987062230214675,1.0,0.0,0.0,
arm_4,5,"S4, no LN - nonlinear (via memory), no LayerNorm",1.5607550624033637e-05,1.560755062402231e-05,0.004589956076212944,0.012021812293666985,0.012021812293666981,0.0001861701587333453,0.0001861701587333453,-0.03187449120488972,3.60785335198077e-11,2.963934563118999,2.963934563118999,1.0,0.0,0.0,
arm_4,6,"S4, no LN - nonlinear (via memory), no LayerNorm",1.0794570437953033e-06,1.0794570437931423e-06,0.0011920307126762732,0.0015457633204952381,0.0015457633204952377,1.9989314294921456e-05,1.9989314294921456e-05,-0.008492879731989353,5.5412474772829714e-12,2.9953627100385143,2.9953627100385143,1.0,0.0,0.0,
arm_4,7,"S4, no LN - nonlinear (via memory), no LayerNorm",3.293319591184793e-06,3.2933195911842317e-06,0.0018458772121876528,0.0013046198546378864,0.0013046198546378858,8.357359603872183e-05,8.357359603872183e-05,0.0032428412085517833,1.579579556610474e-11,2.9960861404360863,2.9960861404360863,1.0,0.0,0.0,
arm_5,0,S4 + LN prenorm - full model,6.838354530232223e-07,6.838354530228651e-07,0.0008100909725285232,0.004680134420319068,0.06744443115169692,0.005942651124356113,0.108344189469879,1.4276965702474247,1.1596164367542652,2.9810951091631637,4.106163805355088,1.3774011411892684,9.599012409822194e-06,0.9283432616620286,-0.38208476517463863
arm_5,1,S4 + LN prenorm - full model,2.1729816573970962e-05,2.1729816573968296e-05,0.00462601000625314,0.026433786681643697,0.3927627743025009,0.022848738188927555,0.3445569737362977,-1.0201600132674733,2.0038043760679596,2.8853676615813377,5.115026039817347,1.7727467136767021,4.839682893553743e-06,0.43128133088192533,-0.14712163362705158
