seed,jx_err_mean_orig_data,jx_err_mean_decorrelated_data
0,2.660700415546557e-08,9.055532620057722e-10
1,6.154445841843881e-10,2.2216036417906554e-10
2,2.8126804589116244e-10,1.2657513555798996e-09
3,4.056306391516293e-07,5.066517427820827e-09
4,1.4223440203409152e-09,1.86358185179832e-08
5,1.4927317160129403e-09,7.362436586314895e-11
6,3.3669490899039074e-09,5.263255017003606e-10
7,1.7481081767319513e-08,1.4862748824266228e-07
