arm,seed,y_max_predicted,plateau_measured,ratio_measured_over_predicted
arm_6,0,19.159494909607556,7.81367010540461,0.40782234303506787
arm_6,1,21.172886075369213,5.302686842256292,0.25044704927709405
arm_6,2,18.919033550414003,5.100709221134354,0.26960728239856285
arm_6,3,21.46014197523196,7.103071528826684,0.33098902779975237
arm_6,4,19.134030313379135,8.070527348352138,0.4217892005067518
arm_6,5,22.014926930415204,1.7923995480037318,0.08141746523479954
arm_6,6,17.498721733439684,11.559230781019016,0.6605757241644441
arm_6,7,17.572956896075485,8.97443756327398,0.5106959299079721
arm_7,0,20.803342659008027,10.49262231086091,0.5043719407427784
arm_7,1,20.544354097807627,6.784340169277957,0.3302289347710348
arm_7,2,20.739345509164433,1.1192410510175066,0.053967038184639396
arm_7,3,20.715793201493998,2.8726855731765344,0.13867128066181697
arm_7,4,18.01112216799656,8.572811461023935,0.4759732003959595
arm_7,5,38.19358136372538,15.972438805827835,0.41819693874002006
arm_7,6,20.724668555561713,12.429632036937523,0.5997505824334104
arm_7,7,21.78723545496752,8.189877263732011,0.3759025453532109
