label,cond,eff_n
native,156.02388494737758,100.0
eff_n>=80,107.77649150842272,80.00003066867437
eff_n>=50,85.3329955044701,50.000017833807696
eff_n>=30,65.5827336402775,30.000308139229855
eff_n>=15,40.9771336185819,15.004481321672172
