seed,jx_err_mean_unfrozen,jx_err_mean_frozen,gamma_norm,beta_norm
0,1.2598890079355366e-10,1.725059737574715e-08,2.8284270763397217,0.0
1,8.406475530501703e-10,2.2213645330578423e-08,2.8284270763397217,0.0
2,8.19956325059934e-11,1.0717887308035283e-08,2.8284270763397217,0.0
3,8.499419434926381e-09,1.2728166710237096e-08,2.8284270763397217,0.0
4,3.873973895747913e-09,1.9769503160442052e-09,2.8284270763397217,0.0
5,1.5082822428051183e-09,2.542346676885169e-09,2.8284270763397217,0.0
6,5.7894508110519395e-08,0.001682015518063674,2.8284270763397217,0.0
7,2.1868179313303917e-08,2.8388364844052676e-10,2.8284270763397217,0.0
