c,Jx,Ju,seed
-1000.0,1.009052272279447e-06,0.0006485285418340587,5
-703.8135554931555,2.0379202674130755e-06,0.0009217267742712311,5
-495.353520895917,4.116650655001501e-06,0.0013101779407757239,5
-348.6365227678084,8.317926532930166e-06,0.00186267234844836,5
-245.37511066398167,1.6813392641063766e-05,0.0026488231429694976,5
-172.69832906594343,3.4138435600181784e-05,0.0037662808843049447,5
-121.54742500762859,7.135303618201767e-05,0.005331195418551156,5
-85.5467253556568,0.00015271779743445248,0.007523565209559684,5
-60.20894493336129,0.000342174241241152,0.010895905091355238,5
-42.37587160604061,0.0007560609380242188,0.016162781282518357,5
-29.824712862168894,0.0015338132968866222,0.02327456810560038,5
-20.991037201085536,0.0030406796720645647,0.031675215805326735,5
-14.773776525985111,0.005852814442451224,0.042057386593474376,5
-10.3979841848149,0.010431474234180402,0.057774451927427584,5
-7.318242219076174,0.018119467170554356,0.08377431649380127,5
-5.150678076168122,0.035890746256240995,0.12992872562308613,5
-3.6251170499885315,0.0808099938516288,0.21096363073027874,5
-2.5514065200312874,0.1911695847971223,0.3482688388558101,5
-1.795714494371639,0.4962228856329477,0.5902452640067245,5
-1.2638482029342972,1.3912714018481531,0.9663286698829286,5
-0.8895134973108227,3.0701614094405345,1.1780368035097395,5
-0.6260516572014815,4.326789696882432,0.5837288699947062,5
-0.4406236427773568,4.516096482354482,-0.5264182686636545,5
-0.31011689265747755,4.175043155463829,-1.4104439736335037,5
-0.21826447283974873,3.6918567170587906,-1.8711720577568247,5
-0.1536174946671828,3.234931311736911,-2.0378407466670336,5
-0.10811807510766078,2.864103012185543,-2.060712478167981,5
-0.07609496685459868,2.5847311216273434,-2.02918629280268,5
-0.053556669177068965,2.381857058875364,-1.9845147068702285,5
-0.03769390975388356,2.2371246771071647,-1.9426601874609937,5
-0.026529484644318944,2.134723089720611,-1.908370934821852,5
-0.018671810912919168,2.0625388673718383,-1.8819748524783444,5
-0.013141473626117554,2.0117329813738416,-1.8623250930938071,5
-0.009249147277217335,1.9759932414982018,-1.847982291824287,5
-0.006509675230458164,1.9508547220417196,-1.837639923548985,5
-0.004581597669054491,1.9331719202263888,-1.830240401317525,5
-0.003224590545296391,1.9207322952506125,-1.8249736701478043,5
-0.0022695105366946685,1.9119802567206743,-1.8212380061747435,5
-0.0015973122800602524,1.9058221052867577,-1.8185945949676694,5
-0.0011242100350620863,1.9014887670634795,-1.8167271268929328,5
-0.000791234261898131,1.8984393388681888,-1.8154093224885208,5
-0.0005568813990945267,1.8962933290679145,-1.814480126648295,5
-0.00039194067748472134,1.8947830482494206,-1.8138253018140913,5
-0.0002758531617629181,1.893720147111341,-1.8133640095551533,5
-0.00019414919457438776,1.8929720902886964,-1.8130391390989842,5
-0.00013664483492953244,1.8924456113934176,-1.8128103885358193,5
-9.617248711152944e-05,1.8920750751864885,-1.8126493401198651,5
-6.768750009458528e-05,1.8918142901452881,-1.8125359669703105,5
-4.7639380104013405e-05,1.8916307477671892,-1.8124561609844196,5
-3.352924149249553e-05,1.891501568981105,-1.812399986295204,5
-2.3598334667821938e-05,1.891410651610658,-1.812360446739112,5
-1.6608827826277133e-05,1.8913466629362516,-1.81233261675366,5
-1.1689518164985777e-05,1.891301626940572,-1.8123130288847553,5
-8.227241341700457e-06,1.891269930046255,-1.8122992423066404,5
-5.790443980602471e-06,1.891247621367103,-1.8122895389425762,5
-4.075392965871778e-06,1.8912319202285675,-1.8122827094925162,5
-2.868316813342009e-06,1.891220869560499,-1.8122779027879623,5
-2.0187602546790346e-06,1.8912130919535235,-1.8122745197418373,5
-1.420830832533918e-06,1.8912076179697945,-1.8122721386970673,5
-1e-06,1.8912037653065819,-1.8122704628800084,5
1e-06,1.8911854555195544,-1.8122624984917892,5
1.420830832533921e-06,1.8911816028598494,-1.8122608226487236,5
2.018760254679039e-06,1.891176128883201,-1.8122584415514484,5
2.868316813342009e-06,1.891168351290521,-1.8122550583993275,5
4.075392965871778e-06,1.891157300651313,-1.8122502514807959,5
5.790443980602483e-06,1.891141599571036,-1.8122434215987677,5
8.227241341700474e-06,1.8911192910094983,-1.8122337173626595,5
1.1689518164985777e-05,1.8910875943526126,-1.8122199290240972,5
1.6608827826277167e-05,1.8910425588362503,-1.8122003376012725,5
