c,Jx,Ju,seed
-1000.0,-1.6230696838917203e-07,-0.0015472454307975834,2
-703.8135554931555,-3.270877740058973e-07,-0.0021982813960040987,2
-495.353520895917,-6.586696903770462e-07,-0.003123195184834092,2
-348.6365227678084,-1.326470246867395e-06,-0.004437075465094616,2
-245.37511066398167,-2.7871591777761564e-06,-0.006298894237133316,2
-172.69832906594343,-6.47478033825518e-06,-0.008922141537034505,2
-121.54742500762859,-1.6889038740915746e-05,-0.0126761856911071,2
-85.5467253556568,-4.297500947550969e-05,-0.018113219659899944,2
-60.20894493336129,-0.00012220464672382575,-0.025739760730852004,2
-42.37587160604061,-0.0006033654276034117,-0.03592728972499313,2
-29.824712862168894,-0.002921469711604749,-0.04891876263934734,2
-20.991037201085536,-0.009703352866670178,-0.06495547188802968,2
-14.773776525985111,-0.02234803321075257,-0.08732901984089621,2
-10.3979841848149,-0.04084620982220304,-0.1242780362620422,2
-7.318242219076174,-0.06320843203787176,-0.1763795803090535,2
-5.150678076168122,-0.06549949494418081,-0.21794789259272826,2
-3.6251170499885315,0.002906810108061918,-0.19746039919131145,2
-2.5514065200312874,0.14015106159687565,-0.09360980326729638,2
-1.795714494371639,0.3980181450569184,0.12907749009221198,2
-1.2638482029342972,1.1391163373402624,0.8389926712789928,2
-0.8895134973108227,3.322093719694228,2.553692566102136,2
-0.6260516572014815,6.291967370577034,2.867771135293098,2
-0.4406236427773568,6.820145289807921,0.8031992434682127,2
-0.31011689265747755,6.021559285370743,-0.648196072423743,2
-0.21826447283974873,5.188360574203641,-1.2262406266227641,2
-0.1536174946671828,4.553664861659093,-1.41844305720285,2
-0.10811807510766078,4.103777852821265,-1.4715332851925609,2
-0.07609496685459868,3.791871491137499,-1.4778573059605558,2
-0.053556669177068965,3.5767332811638104,-1.4701358367844235,2
-0.03769390975388356,3.4281504248692816,-1.4597000596190344,2
-0.026529484644318944,3.3251944618232407,-1.4502097422085727,2
-0.018671810912919168,3.2536046629679642,-1.4425762792742944,2
-0.013141473626117554,3.2036739553105726,-1.4367672902559294,2
-0.009249147277217335,3.1687652783786526,-1.4324748066202262,2
-0.006509675230458164,3.144314234405845,-1.429356759168732,2
-0.004581597669054491,3.1271646810026112,-1.4271156299405465,2
-0.003224590545296391,3.1151243345086392,-1.425515693274417,2
-0.0022695105366946685,3.1066650135867,-1.4243786094199373,2
-0.0015973122800602524,3.10071861544956,-1.4235729104415662,2
-0.0011242100350620863,3.0965371314461474,-1.4230031919047645,2
-0.000791234261898131,3.093595969453745,-1.4226009072984744,2
-0.0005568813990945267,3.09152684439322,-1.4223171279730522,2
-0.00039194067748472134,3.0900710147638275,-1.4221170811046555,2
-0.0002758531617629181,3.0890466045542566,-1.4219761276193423,2
-0.00019414919457438776,3.0883257210022275,-1.4218768445880696,2
-0.00013664483492953244,3.087818408016467,-1.4218069292146098,2
-9.617248711152944e-05,3.0874613813292204,-1.4217577027039277,2
-6.768750009458528e-05,3.087210114518509,-1.4217230469500832,2
-4.7639380104013405e-05,3.0870332761754424,-1.4216986510720968,2
-3.352924149249553e-05,3.086908818244096,-1.4216814786004595,2
-2.3598334667821938e-05,3.0868212246955635,-1.4216693912321106,2
-1.6608827826277133e-05,3.0867595759765156,-1.4216608834088065,2
-1.1689518164985777e-05,3.0867161871725237,-1.4216548952053027,2
-8.227241341700457e-06,3.0866856497423383,-1.4216506804867552,2
-5.790443980602471e-06,3.086664157183215,-1.4216477140414865,2
-4.075392965871778e-06,3.086649030477402,-1.4216456261828074,2
-2.868316813342009e-06,3.086638384120895,-1.42164415670258,2
-2.0187602546790346e-06,3.0866308910828026,-1.421643122454066,2
-1.420830832533918e-06,3.086625617386935,-1.4216423945317713,2
-1e-06,3.0866219056912256,-1.4216418822081311,2
1e-06,3.0866042658774826,-1.4216394473649259,2
1.420830832533921e-06,3.0866005541956882,-1.4216389350314738,2
2.018760254679039e-06,3.086595280527919,-1.4216382070893752,2
2.868316813342009e-06,3.0865877875465517,-1.421637172800876,2
4.075392965871778e-06,3.086577141304554,-1.4216357032399354,2
5.790443980602483e-06,3.0865620148299104,-1.4216336152183093,2
8.227241341700474e-06,3.086540522737463,-1.421630648444094,2
1.1689518164985777e-05,3.0865099862493817,-1.4216264330614774,2
1.6608827826277167e-05,3.086466599347269,-1.4216204435173807,2
2.3598334667821938e-05,3.086404954467665,-1.4216119329877397,2
3.35292414924956e-05,3.0863173686700454,-1.4215998401559442,2
4.7639380104013405e-05,3.0861929263859373,-1.4215826566549201,2
6.768750009458542e-05,3.086016119630889,-1.4215582385112486,2
9.617248711152965e-05,3.085764916588818,-1.421523537808317,2
0.00013664483492953258,3.0854080186351585,-1.4214742205561999,2
0.00019414919457438816,3.0849009655316255,-1.4214041219975113,2
0.00027585316176291844,3.0841806066194173,-1.4213044691590722,2
0.0003919406774847221,3.083157255531501,-1.4211627691213153,2
0.0005568813990945272,3.081703564013325,-1.4209612151407336,2
0.0007912342618981327,3.0796387552806785,-1.420674393309884,2
0.0011242100350620874,3.0767063068947498,-1.420265966585016,2
0.0015973122800602556,3.072542413473093,-1.4196838484629288,2
0.0022695105366946707,3.066631526093025,-1.4188531172038603,2
0.003224590545296398,3.058243891204248,-1.417665497176056,2
0.004581597669054491,3.0463482548117846,-1.4159635319414454,2
0.00650967523045817,3.0294908086465653,-1.4135163982809755,2
0.009249147277217335,3.0056293460300743,-1.4099823419320323,2
0.01314147362611758,2.971910431644938,-1.4048494846837158,2
0.018671810912919206,2.924379692532756,-1.3973417370873247,2
0.026529484644319,2.857627217565689,-1.3862697469844698,2
0.037693909753883634,2.7644056206514818,-1.369800708570768,2
0.053556669177069076,2.6353484109950145,-1.3451259015338777,2
0.07609496685459884,2.459121565271099,-1.3080516142761804,2
0.10811807510766078,2.2237517248026983,-1.252696150593325,2
0.15361749466718297,1.9204964971750937,-1.1718414835420634,2
0.21826447283974873,1.5518289218609567,-1.0590323812513627,2
0.31011689265747816,1.1423555314357783,-0.9135615470387912,2
0.44062364277735727,0.7422646409190695,-0.7472066237906934,2
0.6260516572014828,0.40704494247083084,-0.5859224330977666,2
0.8895134973108236,0.1672631359168874,-0.45677186428029914,2
1.2638482029342997,0.02829417412728526,-0.3679356963510962,2
1.795714494371641,-0.029038523632621514,-0.3164074867096023,2
2.5514065200312928,-0.035546032451653525,-0.2991307293069533,2
3.6251170499885355,-0.018866979720311476,-0.3041903162181125,2
5.150678076168132,-0.003670887993806706,-0.3232696859940389,2
7.318242219076182,0.00426772869748844,-0.34656430687115614,2
10.397984184814922,0.009347767696079944,-0.35916608253720794,2
14.773776525985127,0.011018269757415952,-0.3435988677796946,2
20.991037201085547,0.008514584631321284,-0.28280304388385646,2
29.82471286216894,0.004047191114091602,-0.19156779261590814,2
42.37587160604063,0.0014047179565976767,-0.12130554216293543,2
60.20894493336138,0.0006532580892604664,-0.0826249519703574,2
85.54672535565685,0.00030944242805966724,-0.05744978355475591,2
121.54742500762885,0.00013650693181291377,-0.0401513951011908,2
172.69832906594397,6.492066192445848e-05,-0.02810635929874678,2
245.37511066398167,3.524614496216611e-05,-0.019735024673199753,2
348.63652276780874,1.9206013714460037e-05,-0.013866672637451472,2
495.353520895918,9.842184873376214e-06,-0.0097449833463932,2
703.8135554931577,4.9027211227445376e-06,-0.006853104853781109,2
1000.0,2.428199735669038e-06,-0.004820754076772691,2
