arm,n_seeds,teacher_mse_median,teacher_mse_min,teacher_mse_max,jx_err_mean_median,jx_err_mean_min,jx_err_mean_max,jx_err_max_median,jx_err_max_min,jx_err_max_max,jx_origin_spike_ratio_median,jx_origin_spike_ratio_min,jx_origin_spike_ratio_max,equilibrium_drift_median,equilibrium_drift_min,equilibrium_drift_max
arm_0,8,2.5495433439061904e-16,3.262484901337477e-17,8.07898300767383e-10,2.429840402958424e-09,2.8126804589116244e-10,4.056306391516293e-07,2.4298404029584235e-09,2.8126804589116244e-10,4.056306391516292e-07,1.0,1.0,1.0,-5.464369012830872e-09,-5.991734187693609e-07,2.0967735880894622e-09
arm_1,8,1.1510928603268686e-19,6.269408103369837e-29,1.763625730217635e-17,3.734716239970718e-12,1.4802973661668758e-16,6.089972970357849e-11,3.7347162399707185e-12,1.480297366166875e-16,6.089972970357849e-11,1.0,1.0,1.0,3.0116819454972793e-10,-4.8842901945178596e-11,4.337598585868463e-09
arm_2,8,9.358674166875011e-16,8.889024527375931e-19,9.129276407306576e-14,2.691128069276516e-09,8.19956325059934e-11,5.7894508110519395e-08,7.2657910058874596e-09,1.2905276847163805e-10,7.65100941120996e-08,1.0000000082598692,0.99999988648623,1.0000009309042417,9.412821537838068e-09,-2.3988578697203837e-06,1.0026497205967155e-06
arm_3,8,1.913831979459537e-05,1.1995874137412924e-06,7.908767664322787e-05,0.021278015856279198,0.0091191263579675,0.0393679448049004,0.3233185440516593,0.10608294275239,0.6619320347624125,1.31641159180226,1.0235081274436546,2.011393790470223,-0.003891165189143349,-1.1679258366357033,1.3737325100716005
arm_4,8,3.143127976701631e-06,6.110932925837035e-07,4.186180330985836e-05,0.00292917662446835,0.0011527933095643,0.0327800691298652,0.00292917662446835,0.0011527933095643,0.0327800691298652,1.0,1.0,1.0,-0.0144399736819319,-0.16614900709448,0.0048834966842597
arm_5,8,1.95217621261308e-05,6.838354530228651e-07,0.0001038867418805,0.0680976325160695,0.004680134420319,0.4027089655599731,0.6393644219990473,0.0674444311516969,4.054073462654671,1.5750739274329852,0.4173690608995677,9.386650917564427,0.49644574850945256,-1.0201600132674733,1.5620963898429492
arm_6,8,2.7541242541742217e-05,7.5411178597928815e-06,0.0086120359793731,0.5065069250166071,0.2470339560824594,0.7628400135561383,1.3780256657965606,1.0249062656300685,2.367199406938575,4021549.7764477096,1498110.745804775,9961499.875384595,-1.4376113177840208,-6.77435914404731,8.670469301437517
arm_7,8,9.299380427903777e-05,1.5904621551304493e-05,0.0008062195610463,0.5653343334289278,0.3165117375077397,0.7658465678717973,1.5787578560461017,0.9712041169200006,3.276356899632658,177145.6189877722,23878.690134235432,1780909.3766584476,0.925425953141221,-6.307651609320801,7.104415229546707
