x,Jx,Ju,jx_relerr,ju_relerr,seed,arm
0.4257162386383597,1.1438001506345599,-0.08057024390798286,0.11048558314034936,9.057024390798285,0,arm_5
0.5024919523846043,1.1176866188819128,-0.05867526322859852,0.08513263969117743,6.8675263228598515,0,arm_5
0.579267666130849,1.0991417953712812,-0.04353171910334224,0.06712795667114678,5.353171910334225,0,arm_5
0.6560433798770936,1.0855825466420543,-0.032717559890633845,0.05396363751655758,4.271755989063385,0,arm_5
0.7328190936233383,1.0754154809546619,-0.024770776711165815,0.04409269995598238,3.477077671116582,0,arm_5
0.8095948073695829,1.0676225323311885,-0.01878344712975477,0.03652673041862962,2.878344712975477,0,arm_5
0.8863705211158275,1.061533111680214,-0.014173803948188382,0.030614671534188346,2.417380394818838,0,arm_5
0.9631462348620722,1.056693431299418,-0.01055765017506416,0.025915952717881587,2.055765017506416,0,arm_5
1.0399219486083169,1.05278889279731,-0.00767413394263052,0.02212513863816494,1.767413394263052,0,arm_5
1.1166976623545612,1.0495965832546708,-0.005341668360801774,0.01902580898511721,1.5341668360801772,0,arm_5
1.193473376100806,1.0469554082977,-0.0034309843334284448,0.016461561454077598,1.3430984333428444,0,arm_5
1.2702490898470506,1.0447468496123313,-0.001848195257110213,0.014317329720710002,1.1848195257110214,0,arm_5
1.3470248035932952,1.042882286756818,-0.0005238769295251738,0.012507074521182434,1.0523876929525173,0,arm_5
1.42380051733954,1.0412944701851956,0.000594141776575743,0.010965505034170467,0.9405858223424257,0,arm_5
1.5005762310857846,1.0399316765063447,0.0015456419726899854,0.009642404375091876,0.8454358027310014,0,arm_5
1.5773519448320292,1.0387536316631147,0.0023613601648398734,0.008498671517587101,0.7638639835160127,0,arm_5
1.6541276585782738,1.0377286210774435,0.0030653312428201456,0.00750351560916838,0.6934668757179855,0,arm_5
1.7309033723245184,1.0368314104607785,0.003676556517197395,0.0066324373405616584,0.6323443482802605,0,arm_5
1.807679086070763,1.0360417291445083,0.004210209201370023,0.005865756450978922,0.5789790798629978,0,arm_5
1.8844547998170078,1.0353431495402867,0.004678517705972693,0.005187523825521063,0.5321482294027308,0,arm_5
1.9612305135632524,1.0347222494089297,0.005091421130698346,0.004584708164009343,0.4908578869301654,0,arm_5
2.0380062273094968,1.034167978629437,0.005457061444466384,0.004046581193628228,0.4542938555533616,0,arm_5
