radius,rank_machine_tol,rank_rel_tol_1e-4,angle1_deg,angle2_deg
1.0,7.0,6.0,2.2099400992227305e-14,1.3277637398258562e-05
1000.0,7.0,6.0,1.947129838794628e-14,1.139207720484111e-11
