rho,seed,train_mse,failure_radius,converged
0.5,0,5.417754700918742e-06,1e-06,True
0.5,1,2.677866551821155e-07,1e-06,True
0.5,2,0.0006554908206218201,1e-06,False
0.5,3,0.00012418019184988845,1e-06,False
0.5,4,1.856937538053902e-05,1e-06,True
0.5,5,0.00022505105967356512,1e-06,False
0.5,6,1.4319933998956818e-05,1e-06,True
0.5,7,4.5125580320763965e-06,1e-06,True
0.9,0,1.8045954580600842e-06,1e-06,True
0.9,1,0.00039127187697578626,1e-06,False
0.9,2,6.280184385292167e-06,1e-06,True
0.9,3,1.6569015785742244e-05,1e-06,True
0.9,4,5.5494838706349995e-06,1e-06,True
0.9,5,2.2077815163429886e-05,1e-06,True
0.9,6,1.3867731032178601e-05,1e-06,True
0.9,7,0.002883932526747003,1e-06,False
1.03,0,0.0002148352074636806,1e-06,False
1.03,1,0.0014005980109682472,1e-06,False
1.03,2,3.3375117627780513e-05,1e-06,True
1.03,3,4.4430087405955204e-08,1e-06,True
1.03,4,2.4486825474076514e-06,1e-06,True
1.03,5,9.886985965763874e-06,1e-06,True
1.03,6,1.5894061564735857e-05,1e-06,True
1.03,7,1.4958179467600846e-06,1e-06,True
1.5,0,1.7959669036310837e-05,1e-06,True
1.5,1,3.846513042966936e-06,1e-06,True
1.5,2,2.2399752887140508e-06,1e-06,True
1.5,3,0.002710633519818506,1e-06,False
1.5,4,3.4539061914867315e-08,0.44062364277735727,True
1.5,5,4.789450457147928e-07,0.31011689265747816,True
1.5,6,5.313283261477876e-07,1e-06,True
1.5,7,1.2638794763666504e-07,1e-06,True
3.0,0,1.8880990880032626e-05,29.82471286216894,True
3.0,1,6.318802232706318e-07,1.795714494371641,True
3.0,2,0.00016213150861635472,1e-06,False
3.0,3,0.0017286271437003736,1e-06,False
3.0,4,5.5119818488768154e-05,0.009249147277217335,True
3.0,5,0.000297424251503958,1e-06,False
3.0,6,6.605556389187226e-06,1e-06,True
3.0,7,0.003930970716320855,1e-06,False
