b_full,b_xonly,case,dare_time_s,max_action,norm_Ks,norm_Kx,req_u_at_edge,rho_full,rho_xonly,seed
0.0002961631087524281,0.0,1,112.60256099700928,50.0,1907.5659324444737,12.824513011850339,94.24053923615041,0.9997731758107491,1.0782589674145642,0
0.00013968219214017204,0.0,1,100.7993426322937,50.0,5303.01325385858,57.89705015196967,425.45469145395884,0.9998269592604841,1.2209269620012293,1
0.001322483564777751,0.0,1,100.80463147163391,50.0,494.3346118878191,19.959864366390843,146.67444909845347,0.9997642114928481,1.02847374678207,2
0.0001887505258966672,0.0,1,92.98793292045593,50.0,2241.062835923897,51.07460278266275,375.3201468985727,0.99983724404125,1.1014883802133688,3
0.0015377579093376914,0.0,1,93.22645282745361,50.0,268.60123258128664,2.9257671007081276,21.499909508871106,0.9997381555283267,1.0031424151473305,4
0.00048218624955347967,0.0,2,97.76377820968628,50.0,1256.6365412172258,5.249736839299209,38.57752962052318,0.9995101501891119,1.0133714433411218,0
0.000702671447281063,0.0,2,103.16507720947266,50.0,811.8228928706814,2.9477275710434405,21.661285349370235,0.9998653396571722,1.015539801692933,1
0.00012819798161525068,0.0,2,98.55268216133118,50.0,4912.422182724326,76.72602043845878,563.8188002057317,0.999794028378294,1.080989676682324,2
0.000576942071117474,0.0,2,96.6880533695221,50.0,912.8053468561002,7.480088680210432,54.96720149185204,0.9996185001680338,1.0233566006677144,3
0.0007173972951814927,0.0,2,99.16215372085571,50.0,854.0732675661899,5.464461026810275,40.1554237050306,0.9998349775715895,1.007420947353799,4
0.0003208343767916912,0.0,3,102.53956961631775,50.0,1008.2097198466795,11.768833799923366,86.48291303229676,0.9996321156095728,1.0532364169270665,0
0.000742431700008091,0.0,3,102.94249725341797,50.0,1045.3468788196215,9.34491378768062,68.67081141035032,0.9998920382064123,1.039458879281451,1
0.0016848639638473413,0.0,3,101.98740196228027,50.0,387.29716702106236,7.215132666177508,53.020180375864946,0.9993144374509082,1.0161332450933651,2
0.0008360178260478926,0.0,3,106.4465925693512,50.0,834.5177210893596,18.983934876981433,139.50286127648954,0.9997536894408446,1.0295243954604718,3
0.0001089560587750969,0.0,3,102.53914976119995,50.0,4525.460246190982,39.83632321974845,292.7359953509075,0.9999020760113769,1.1591718233612023,4
0.00021530427587287385,0.0,4,102.52895259857178,50.0,3608.761911995776,62.20103113380582,457.0823632583834,0.9997804386515623,1.0421708298987615,0
0.0014137887094304257,0.0,4,108.11086583137512,50.0,356.72158113410813,4.739665203722263,34.82928390223207,0.9998105231097985,1.0111668403931002,1
0.000495405731379232,0.0,4,113.39483451843262,50.0,1363.5214721303523,20.92408598767729,153.76000201178624,0.9992692689798711,1.0392135444533694,2
0.00013631447676005966,0.0,4,96.80650591850281,50.0,4823.56272521382,36.340925021054794,267.0501692469788,0.9996307950657283,1.0204383360936005,3
0.0009079149398258715,0.0,4,100.40985774993896,50.0,769.144272282073,13.583544502874382,99.81825879128886,0.9997697937566112,1.0369160788958467,4
0.0001074266735291491,0.0,5,97.23526620864868,200.0,6291.0509018141165,36.9798053336321,271.74496156455143,0.9995129190291582,1.077159869222969,0
0.0009068713543083981,0.0,5,98.98332643508911,200.0,701.024450683234,2.752269524111479,20.22496790605742,0.9996916049094025,1.0068067424633924,1
0.0009550062051062916,0.0,5,100.41772437095642,200.0,618.431696834839,8.252901003565224,60.64618906931403,0.9993618383128868,1.0420287079959654,2
0.00041224213639503703,0.0,5,102.70841336250305,200.0,1287.5688119843476,13.198640515529485,96.98980368441585,0.9998577300460797,1.012445685921143,3
0.0027371639347029153,0.0,5,101.40721702575684,200.0,241.43014025097833,12.11669937601707,89.03919251382344,0.9996743377506885,1.0137399080610605,4
0.00019419218263833746,0.0,7,98.64867925643921,50.0,345.1417162949732,3.3005189751029693,24.25376212612791,0.9996769871590202,1.0038428116153808,0
0.0002802475763763527,0.0,7,103.61113119125366,50.0,2367.133655231161,40.23806049889052,295.68814938456387,0.9998149314723772,1.0232202954516105,1
0.004413572930072396,0.0,7,106.73544955253601,50.0,150.24541495814177,3.789355938236144,27.84596550739188,0.9995145905911227,1.0035209362315207,2
0.0001392568499497155,0.0,7,102.70177888870239,50.0,4397.09727324709,173.9850537029862,1278.523813329135,0.9995384821594212,1.0946781518857711,3
0.0013486135426256155,0.0,7,103.30407786369324,50.0,439.47038100252786,3.931123385205568,28.887739229028366,0.9995836500152432,1.0032203895661944,4
