b,case,cost_ratio,finite,rho,seed,variant
0.1166208896639209,1,1.005,True,0.9546564246190881,0,M1
0.0,1,2344644.2999636894,True,1.0400760203365857,0,fullM3
0.0008241306397719087,1,1.0050000000000006,True,0.9987565237111482,0,M0_S4
0.1166208896639209,1,1.005,True,0.9546564246190881,1,M1
0.0,1,222266155389.8808,True,1.0688807820305457,1,fullM3
0.0008241311189910753,1,1.0049999999999997,True,0.9982148263583678,1,M0_S4
0.1166208896639209,1,1.005,True,0.9546564246190881,2,M1
0.0,1,11.141673549102153,True,1.004138447342117,2,fullM3
0.000824130330701878,1,1.004999999999998,True,0.9985907567783258,2,M0_S4
0.1166208896639209,1,1.005,True,0.9546564246190881,3,M1
0.0,1,32.901217894502516,True,1.0059587667956669,3,fullM3
0.0008241309558796031,1,1.0049999999999992,True,0.9988425254422353,3,M0_S4
0.1166208896639209,1,1.005,True,0.9546564246190881,4,M1
0.0,1,11.209360952898752,True,1.0027842851636175,4,fullM3
0.000824130450212588,1,1.0049999999999992,True,0.9988579675568563,4,M0_S4
0.01710866079399548,2,1.0049999999998596,True,0.9933836889767599,0,M1
0.0,2,70505.6365212405,True,1.0412594403190303,0,fullM3
0.00013197054308447087,2,1.0050000000001287,True,0.9989171868560233,0,M0_S4
0.01710866079399548,2,1.0049999999998596,True,0.9933836889767599,1,M1
0.0,2,193163.5011634525,True,1.0452898144552536,1,fullM3
0.00013197054088569346,2,1.0050000000000192,True,0.9985477511311149,1,M0_S4
0.01710866079399548,2,1.0049999999998596,True,0.9933836889767599,2,M1
0.0,2,31126.78910841409,True,1.029175781566455,2,fullM3
0.00013197048876887157,2,1.0050000000002286,True,0.998300716339769,2,M0_S4
0.01710866079399548,2,1.0049999999998596,True,0.9933836889767599,3,M1
0.0,2,740610.0244026185,True,1.046897060756672,3,fullM3
0.00013197064683802227,2,1.005000000000032,True,0.9982825490410893,3,M0_S4
0.01710866079399548,2,1.0049999999998596,True,0.9933836889767599,4,M1
0.0,2,37094.98649112906,True,1.040425091655883,4,fullM3
0.000131970583860363,2,1.0049999999999935,True,0.9989143212730229,4,M0_S4
0.05801221736691157,3,1.0050000000000006,True,0.9729057515245336,0,M1
0.0,3,441.4418325972878,True,1.016768815184009,0,fullM3
0.0004750933743934047,3,1.0049999999999988,True,0.9989472294238144,0,M0_S4
0.05801221736691157,3,1.0050000000000006,True,0.9729057515245336,1,M1
0.0,3,752.4568510087832,True,1.020233398496958,1,fullM3
0.0004546277073456759,3,1.0050000000000003,True,0.9986538791235184,1,M0_S4
0.05801221736691157,3,1.0050000000000006,True,0.9729057515245336,2,M1
0.0,3,310.9354239129482,True,1.01771326814153,2,fullM3
0.00046908839469705975,3,1.0050000000000083,True,0.9982168666933567,2,M0_S4
0.05801221736691157,3,1.0050000000000006,True,0.9729057515245336,3,M1
0.0,3,76.55757814968463,True,1.013896151094352,3,fullM3
0.00047646086204704605,3,1.0049999999999961,True,0.9989839973522472,3,M0_S4
0.05801221736691157,3,1.0050000000000006,True,0.9729057515245336,4,M1
0.0,3,298.4773892551595,True,1.015394478891908,4,fullM3
0.0004495455583788919,3,1.0050000000000014,True,0.9988177424464456,4,M0_S4
0.048138192293026454,4,1.0050000000000006,True,0.9477829878361324,0,M1
0.0,4,1578484.4175855108,True,1.0346581595950126,0,fullM3
0.0003452229672251439,4,1.0049999999999957,True,0.9989179554524197,0,M0_S4
0.048138192293026454,4,1.0050000000000006,True,0.9477829878361324,1,M1
0.0,4,61848.76385760937,True,1.0285543589215411,1,fullM3
0.0003452231381876242,4,1.0049999999999966,True,0.9984557271206603,1,M0_S4
0.048138192293026454,4,1.0050000000000006,True,0.9477829878361324,2,M1
0.0,4,493059.9420296438,True,1.037127426254884,2,fullM3
0.0003452230318570056,4,1.0049999999999992,True,0.9980427494937836,2,M0_S4
0.048138192293026454,4,1.0050000000000006,True,0.9477829878361324,3,M1
0.0,4,5190724973.250946,True,1.0613802752871382,3,fullM3
0.00034522318284486894,4,1.0050000000000006,True,0.9985995453050441,3,M0_S4
0.048138192293026454,4,1.0050000000000006,True,0.9477829878361324,4,M1
0.0,4,42043.4161650494,True,1.0286339666177942,4,fullM3
0.0003452228404769375,4,1.0049999999999981,True,0.9989312366119308,4,M0_S4
0.021326486921938528,5,1.0049999999999764,True,0.9880976154265947,0,M1
0.0,5,9670880178951.049,True,1.0850570953011505,0,fullM3
0.00016381075303260602,5,1.0050000000000365,True,0.9988644531520691,0,M0_S4
0.021326486921938528,5,1.0049999999999764,True,0.9880976154265947,1,M1
0.0,5,1082977.0126357726,True,1.0466521521598073,1,fullM3
0.00016381070494405627,5,1.0049999999999957,True,0.9989860153228378,1,M0_S4
0.021326486921938528,5,1.0049999999999764,True,0.9880976154265947,2,M1
0.0,5,1263.9341750259389,True,1.0247240705600624,2,fullM3
0.0001638106983995429,5,1.004999999999891,True,0.9975438034988952,2,M0_S4
0.021326486921938528,5,1.0049999999999764,True,0.9880976154265947,3,M1
0.0,5,887.0942735334295,True,1.0229491492751004,3,fullM3
0.00016381069799541208,5,1.0050000000000585,True,0.998858240395777,3,M0_S4
0.021326486921938528,5,1.0049999999999764,True,0.9880976154265947,4,M1
