case,seed,sv_index,sv_value,variant
1,0,0,0.5654241837750438,fullM3
1,0,1,0.2886090234854478,fullM3
1,0,2,0.15989563833136622,fullM3
1,0,3,0.12369413925773476,fullM3
1,0,4,0.07095394452173928,fullM3
1,0,5,0.04713997138008113,fullM3
1,0,6,0.036720907130028534,fullM3
1,0,7,0.029616161373559102,fullM3
1,0,8,0.026078607078834887,fullM3
1,0,9,0.015856615829704192,fullM3
1,0,10,0.01234578331078251,fullM3
1,0,11,0.011179122460020589,fullM3
1,0,12,0.006752493211484456,fullM3
1,0,13,0.004951351423328209,fullM3
1,0,14,0.00416669311335223,fullM3
1,0,15,0.003778281508264234,fullM3
1,0,16,0.0028581250824054197,fullM3
1,0,17,0.002735054537834589,fullM3
1,0,18,0.0025334255575828637,fullM3
1,0,19,0.0021691629450719565,fullM3
1,1,0,0.45787790044094945,fullM3
1,1,1,0.22173800840210692,fullM3
1,1,2,0.1004861461550294,fullM3
1,1,3,0.07457547658510158,fullM3
1,1,4,0.05665822322284274,fullM3
1,1,5,0.03998678388210106,fullM3
1,1,6,0.02824702681746715,fullM3
1,1,7,0.025843316435159462,fullM3
1,1,8,0.023011595289216008,fullM3
1,1,9,0.017916392643051747,fullM3
1,1,10,0.012747125288610309,fullM3
1,1,11,0.010372856929500298,fullM3
1,1,12,0.007440336117319826,fullM3
1,1,13,0.005589841957070924,fullM3
1,1,14,0.0034790241800906076,fullM3
1,1,15,0.0026183896066737885,fullM3
1,1,16,0.0024875786312057585,fullM3
1,1,17,0.0023566466330465917,fullM3
1,1,18,0.0021233084636402355,fullM3
1,1,19,0.0018024163488418363,fullM3
1,2,0,0.6112316081943243,fullM3
1,2,1,0.22985987809747438,fullM3
1,2,2,0.15123448430253905,fullM3
1,2,3,0.12387960701619709,fullM3
1,2,4,0.09928496623777258,fullM3
1,2,5,0.08942042055505646,fullM3
1,2,6,0.06890832190951944,fullM3
1,2,7,0.06209928304262523,fullM3
1,2,8,0.05136468789057667,fullM3
1,2,9,0.035297739465595564,fullM3
1,2,10,0.02692081051102243,fullM3
1,2,11,0.01931472996878175,fullM3
1,2,12,0.018167391934113993,fullM3
1,2,13,0.012446674420869885,fullM3
1,2,14,0.01063310509158084,fullM3
1,2,15,0.009892518658319678,fullM3
1,2,16,0.008654264756866934,fullM3
1,2,17,0.006396275856161133,fullM3
1,2,18,0.00619762807523784,fullM3
1,2,19,0.004759666421408173,fullM3
1,3,0,1.4926589785083064,fullM3
1,3,1,0.23442891345496344,fullM3
1,3,2,0.14694286697090744,fullM3
1,3,3,0.13015447789808143,fullM3
1,3,4,0.07093069763677019,fullM3
1,3,5,0.06932036009226922,fullM3
1,3,6,0.02204490630371913,fullM3
1,3,7,0.0190617978795306,fullM3
1,3,8,0.01024038028226285,fullM3
1,3,9,0.009098850554777096,fullM3
1,3,10,0.006715864964927948,fullM3
1,3,11,0.0054895789378746115,fullM3
1,3,12,0.004566579631708921,fullM3
1,3,13,0.0036245809507889793,fullM3
1,3,14,0.001314410216127232,fullM3
1,3,15,0.0009100024323698792,fullM3
1,3,16,0.0008332338039318737,fullM3
1,3,17,0.0007777595173623124,fullM3
1,3,18,0.000726336134648322,fullM3
1,3,19,0.0006601065698538351,fullM3
1,4,0,0.4059058192387811,fullM3
1,4,1,0.15036891661943966,fullM3
1,4,2,0.0962940286090104,fullM3
1,4,3,0.08821240743403441,fullM3
1,4,4,0.0871685927456569,fullM3
1,4,5,0.06461951941882794,fullM3
1,4,6,0.051752980375218506,fullM3
1,4,7,0.033923472612444265,fullM3
1,4,8,0.02677145322366125,fullM3
1,4,9,0.019873592417824156,fullM3
1,4,10,0.01310990599711743,fullM3
1,4,11,0.011550295531279524,fullM3
1,4,12,0.006828536635763257,fullM3
1,4,13,0.0057065624018578336,fullM3
1,4,14,0.004712013034399569,fullM3
1,4,15,0.004455249124455678,fullM3
1,4,16,0.002769010358002963,fullM3
1,4,17,0.002572764085339741,fullM3
1,4,18,0.001970861241930481,fullM3
1,4,19,0.0016817658189610134,fullM3
1,0,0,0.23632455980582595,M0_S4
1,0,1,0.21084625998166123,M0_S4
1,0,2,0.20994497437477172,M0_S4
1,0,3,0.02209724329427188,M0_S4
1,0,4,0.014176966223391459,M0_S4
1,0,5,0.013610837041408473,M0_S4
1,0,6,4.2671858128864824e-17,M0_S4
1,0,7,3.48285393344469e-17,M0_S4
1,0,8,2.1582788575118213e-17,M0_S4
1,0,9,2.1582788575118213e-17,M0_S4
1,0,10,2.1582788575118213e-17,M0_S4
1,0,11,2.1582788575118213e-17,M0_S4
1,0,12,2.1582788575118213e-17,M0_S4
1,0,13,2.1582788575118213e-17,M0_S4
1,0,14,2.1582788575118213e-17,M0_S4
1,0,15,2.1582788575118213e-17,M0_S4
1,0,16,2.1582788575118213e-17,M0_S4
1,0,17,2.1582788575118213e-17,M0_S4
1,0,18,2.1582788575118213e-17,M0_S4
1,0,19,2.1582788575118213e-17,M0_S4
1,1,0,0.23632455980582595,M0_S4
1,1,1,0.21084625998166123,M0_S4
1,1,2,0.20994497437477172,M0_S4
1,1,3,0.02209724329427188,M0_S4
1,1,4,0.014176966223391459,M0_S4
1,1,5,0.013610837041408473,M0_S4
1,1,6,4.2671858128864824e-17,M0_S4
1,1,7,3.48285393344469e-17,M0_S4
1,1,8,2.1582788575118213e-17,M0_S4
1,1,9,2.1582788575118213e-17,M0_S4
1,1,10,2.1582788575118213e-17,M0_S4
1,1,11,2.1582788575118213e-17,M0_S4
1,1,12,2.1582788575118213e-17,M0_S4
1,1,13,2.1582788575118213e-17,M0_S4
1,1,14,2.1582788575118213e-17,M0_S4
1,1,15,2.1582788575118213e-17,M0_S4
1,1,16,2.1582788575118213e-17,M0_S4
1,1,17,2.1582788575118213e-17,M0_S4
1,1,18,2.1582788575118213e-17,M0_S4
1,1,19,2.1582788575118213e-17,M0_S4
1,2,0,0.23632455980582595,M0_S4
1,2,1,0.21084625998166123,M0_S4
1,2,2,0.20994497437477172,M0_S4
1,2,3,0.02209724329427188,M0_S4
1,2,4,0.014176966223391459,M0_S4
1,2,5,0.013610837041408473,M0_S4
1,2,6,4.2671858128864824e-17,M0_S4
1,2,7,3.48285393344469e-17,M0_S4
1,2,8,2.1582788575118213e-17,M0_S4
1,2,9,2.1582788575118213e-17,M0_S4
1,2,10,2.1582788575118213e-17,M0_S4
1,2,11,2.1582788575118213e-17,M0_S4
1,2,12,2.1582788575118213e-17,M0_S4
1,2,13,2.1582788575118213e-17,M0_S4
1,2,14,2.1582788575118213e-17,M0_S4
1,2,15,2.1582788575118213e-17,M0_S4
1,2,16,2.1582788575118213e-17,M0_S4
1,2,17,2.1582788575118213e-17,M0_S4
1,2,18,2.1582788575118213e-17,M0_S4
1,2,19,2.1582788575118213e-17,M0_S4
1,3,0,0.23632455980582595,M0_S4
1,3,1,0.21084625998166123,M0_S4
1,3,2,0.20994497437477172,M0_S4
1,3,3,0.02209724329427188,M0_S4
1,3,4,0.014176966223391459,M0_S4
1,3,5,0.013610837041408473,M0_S4
1,3,6,4.2671858128864824e-17,M0_S4
1,3,7,3.48285393344469e-17,M0_S4
1,3,8,2.1582788575118213e-17,M0_S4
1,3,9,2.1582788575118213e-17,M0_S4
1,3,10,2.1582788575118213e-17,M0_S4
1,3,11,2.1582788575118213e-17,M0_S4
1,3,12,2.1582788575118213e-17,M0_S4
1,3,13,2.1582788575118213e-17,M0_S4
1,3,14,2.1582788575118213e-17,M0_S4
1,3,15,2.1582788575118213e-17,M0_S4
1,3,16,2.1582788575118213e-17,M0_S4
1,3,17,2.1582788575118213e-17,M0_S4
1,3,18,2.1582788575118213e-17,M0_S4
1,3,19,2.1582788575118213e-17,M0_S4
1,4,0,0.23632455980582595,M0_S4
1,4,1,0.21084625998166123,M0_S4
1,4,2,0.20994497437477172,M0_S4
1,4,3,0.02209724329427188,M0_S4
1,4,4,0.014176966223391459,M0_S4
1,4,5,0.013610837041408473,M0_S4
1,4,6,4.2671858128864824e-17,M0_S4
1,4,7,3.48285393344469e-17,M0_S4
1,4,8,2.1582788575118213e-17,M0_S4
1,4,9,2.1582788575118213e-17,M0_S4
1,4,10,2.1582788575118213e-17,M0_S4
1,4,11,2.1582788575118213e-17,M0_S4
1,4,12,2.1582788575118213e-17,M0_S4
1,4,13,2.1582788575118213e-17,M0_S4
1,4,14,2.1582788575118213e-17,M0_S4
1,4,15,2.1582788575118213e-17,M0_S4
1,4,16,2.1582788575118213e-17,M0_S4
1,4,17,2.1582788575118213e-17,M0_S4
1,4,18,2.1582788575118213e-17,M0_S4
1,4,19,2.1582788575118213e-17,M0_S4
2,0,0,1.330796153666166,fullM3
2,0,1,0.3837811491511498,fullM3
2,0,2,0.2514013201234057,fullM3
2,0,3,0.16195254290032188,fullM3
2,0,4,0.15561964199687292,fullM3
2,0,5,0.07195970767878472,fullM3
2,0,6,0.058387140222941766,fullM3
2,0,7,0.030507590607131173,fullM3
2,0,8,0.02201469759926214,fullM3
2,0,9,0.019105651295989023,fullM3
2,0,10,0.01696139190227161,fullM3
2,0,11,0.011490265750921377,fullM3
2,0,12,0.010714625228518751,fullM3
2,0,13,0.009343875547797037,fullM3
2,0,14,0.006301800294961444,fullM3
2,0,15,0.005747432971800721,fullM3
2,0,16,0.005385075056999472,fullM3
2,0,17,0.00525956719791514,fullM3
2,0,18,0.004113966940532249,fullM3
2,0,19,0.00382783964002018,fullM3
2,1,0,0.39927938441545896,fullM3
2,1,1,0.1672083964863743,fullM3
2,1,2,0.1381230703611655,fullM3
2,1,3,0.1333945688805205,fullM3
2,1,4,0.06556698066369933,fullM3
2,1,5,0.060043117059763736,fullM3
2,1,6,0.03269843066448121,fullM3
2,1,7,0.02956838058295475,fullM3
2,1,8,0.026085359260378423,fullM3
2,1,9,0.021594503506297463,fullM3
2,1,10,0.015636831689569083,fullM3
2,1,11,0.01165055393577447,fullM3
2,1,12,0.007769044772062087,fullM3
2,1,13,0.007244473997322758,fullM3
2,1,14,0.005888594403519696,fullM3
2,1,15,0.004943367240188658,fullM3
2,1,16,0.004389724228746382,fullM3
2,1,17,0.0033520434001413635,fullM3
2,1,18,0.0027841677042141624,fullM3
2,1,19,0.0024233392800332623,fullM3
2,2,0,10.019653932799816,fullM3
2,2,1,0.40534832444965335,fullM3
2,2,2,0.1461773324206652,fullM3
2,2,3,0.13693970345231174,fullM3
2,2,4,0.10130344304365647,fullM3
2,2,5,0.05943037281248206,fullM3
2,2,6,0.04245494146793838,fullM3
2,2,7,0.03766702662445314,fullM3
2,2,8,0.034412491617317464,fullM3
2,2,9,0.024247930668161635,fullM3
2,2,10,0.017571823763135194,fullM3
2,2,11,0.01313109759187035,fullM3
2,2,12,0.01274787625969596,fullM3
2,2,13,0.00890892338780561,fullM3
2,2,14,0.006358345994400103,fullM3
2,2,15,0.00540614822751514,fullM3
2,2,16,0.005328869071616032,fullM3
2,2,17,0.0048151474902520695,fullM3
2,2,18,0.003646077094801191,fullM3
2,2,19,0.0033076335415725467,fullM3
2,3,0,0.48990794814739064,fullM3
2,3,1,0.23436929244020027,fullM3
2,3,2,0.20016101421138432,fullM3
2,3,3,0.14438728447336466,fullM3
2,3,4,0.12833964967921785,fullM3
2,3,5,0.05703144057482515,fullM3
2,3,6,0.04797236706335209,fullM3
2,3,7,0.03913111305175788,fullM3
2,3,8,0.03759747404395958,fullM3
2,3,9,0.02779730412117296,fullM3
2,3,10,0.015563985594356872,fullM3
2,3,11,0.015238467475132711,fullM3
2,3,12,0.008448462796002103,fullM3
2,3,13,0.006671384873971407,fullM3
2,3,14,0.004804346379125766,fullM3
2,3,15,0.0035821625837483494,fullM3
2,3,16,0.0034356019269703173,fullM3
2,3,17,0.0033015532228543934,fullM3
2,3,18,0.0028471578233794396,fullM3
2,3,19,0.0018474135001114067,fullM3
2,4,0,0.4666832168825799,fullM3
2,4,1,0.33496801649237157,fullM3
2,4,2,0.16235976206521427,fullM3
2,4,3,0.11357205292682897,fullM3
2,4,4,0.05939278817310332,fullM3
2,4,5,0.04893959656755827,fullM3
2,4,6,0.04268019810828345,fullM3
2,4,7,0.026444865855021222,fullM3
2,4,8,0.0167301044744908,fullM3
2,4,9,0.015647708180491243,fullM3
2,4,10,0.011777064935015957,fullM3
2,4,11,0.010259902018936527,fullM3
2,4,12,0.009833106351204716,fullM3
2,4,13,0.007356763091564363,fullM3
2,4,14,0.005733453133761104,fullM3
2,4,15,0.005358898412724242,fullM3
2,4,16,0.005051888468331411,fullM3
2,4,17,0.004672075407997013,fullM3
2,4,18,0.004367113558548089,fullM3
2,4,19,0.004084675086298682,fullM3
2,0,0,0.48596965222041166,M0_S4
2,0,1,0.38280108917987216,M0_S4
2,0,2,0.30486945539944493,M0_S4
2,0,3,0.007636503367791174,M0_S4
2,0,4,0.006952896419098798,M0_S4
2,0,5,0.006152890661692981,M0_S4
2,0,6,6.375949174585832e-17,M0_S4
2,0,7,4.6043766129970004e-17,M0_S4
2,0,8,4.6043766129970004e-17,M0_S4
2,0,9,4.6043766129970004e-17,M0_S4
2,0,10,4.6043766129970004e-17,M0_S4
2,0,11,4.6043766129970004e-17,M0_S4
2,0,12,4.6043766129970004e-17,M0_S4
2,0,13,4.6043766129970004e-17,M0_S4
2,0,14,4.6043766129970004e-17,M0_S4
2,0,15,4.6043766129970004e-17,M0_S4
2,0,16,4.6043766129970004e-17,M0_S4
2,0,17,4.6043766129970004e-17,M0_S4
2,0,18,4.6043766129970004e-17,M0_S4
2,0,19,4.6043766129970004e-17,M0_S4
2,1,0,0.48596965222041166,M0_S4
2,1,1,0.38280108917987216,M0_S4
2,1,2,0.30486945539944493,M0_S4
2,1,3,0.007636503367791174,M0_S4
2,1,4,0.006952896419098798,M0_S4
2,1,5,0.006152890661692981,M0_S4
2,1,6,6.375949174585832e-17,M0_S4
2,1,7,4.6043766129970004e-17,M0_S4
2,1,8,4.6043766129970004e-17,M0_S4
2,1,9,4.6043766129970004e-17,M0_S4
2,1,10,4.6043766129970004e-17,M0_S4
2,1,11,4.6043766129970004e-17,M0_S4
2,1,12,4.6043766129970004e-17,M0_S4
2,1,13,4.6043766129970004e-17,M0_S4
2,1,14,4.6043766129970004e-17,M0_S4
2,1,15,4.6043766129970004e-17,M0_S4
2,1,16,4.6043766129970004e-17,M0_S4
2,1,17,4.6043766129970004e-17,M0_S4
2,1,18,4.6043766129970004e-17,M0_S4
2,1,19,4.6043766129970004e-17,M0_S4
2,2,0,0.48596965222041166,M0_S4
2,2,1,0.38280108917987216,M0_S4
2,2,2,0.30486945539944493,M0_S4
2,2,3,0.007636503367791174,M0_S4
2,2,4,0.006952896419098798,M0_S4
2,2,5,0.006152890661692981,M0_S4
2,2,6,6.375949174585832e-17,M0_S4
2,2,7,4.6043766129970004e-17,M0_S4
2,2,8,4.6043766129970004e-17,M0_S4
2,2,9,4.6043766129970004e-17,M0_S4
2,2,10,4.6043766129970004e-17,M0_S4
2,2,11,4.6043766129970004e-17,M0_S4
2,2,12,4.6043766129970004e-17,M0_S4
2,2,13,4.6043766129970004e-17,M0_S4
2,2,14,4.6043766129970004e-17,M0_S4
2,2,15,4.6043766129970004e-17,M0_S4
2,2,16,4.6043766129970004e-17,M0_S4
2,2,17,4.6043766129970004e-17,M0_S4
2,2,18,4.6043766129970004e-17,M0_S4
2,2,19,4.6043766129970004e-17,M0_S4
2,3,0,0.48596965222041166,M0_S4
2,3,1,0.38280108917987216,M0_S4
2,3,2,0.30486945539944493,M0_S4
2,3,3,0.007636503367791174,M0_S4
2,3,4,0.006952896419098798,M0_S4
2,3,5,0.006152890661692981,M0_S4
2,3,6,6.375949174585832e-17,M0_S4
2,3,7,4.6043766129970004e-17,M0_S4
2,3,8,4.6043766129970004e-17,M0_S4
2,3,9,4.6043766129970004e-17,M0_S4
2,3,10,4.6043766129970004e-17,M0_S4
2,3,11,4.6043766129970004e-17,M0_S4
2,3,12,4.6043766129970004e-17,M0_S4
2,3,13,4.6043766129970004e-17,M0_S4
2,3,14,4.6043766129970004e-17,M0_S4
2,3,15,4.6043766129970004e-17,M0_S4
2,3,16,4.6043766129970004e-17,M0_S4
2,3,17,4.6043766129970004e-17,M0_S4
2,3,18,4.6043766129970004e-17,M0_S4
2,3,19,4.6043766129970004e-17,M0_S4
2,4,0,0.48596965222041166,M0_S4
2,4,1,0.38280108917987216,M0_S4
2,4,2,0.30486945539944493,M0_S4
2,4,3,0.007636503367791174,M0_S4
2,4,4,0.006952896419098798,M0_S4
2,4,5,0.006152890661692981,M0_S4
2,4,6,6.375949174585832e-17,M0_S4
2,4,7,4.6043766129970004e-17,M0_S4
2,4,8,4.6043766129970004e-17,M0_S4
2,4,9,4.6043766129970004e-17,M0_S4
2,4,10,4.6043766129970004e-17,M0_S4
2,4,11,4.6043766129970004e-17,M0_S4
2,4,12,4.6043766129970004e-17,M0_S4
2,4,13,4.6043766129970004e-17,M0_S4
2,4,14,4.6043766129970004e-17,M0_S4
2,4,15,4.6043766129970004e-17,M0_S4
2,4,16,4.6043766129970004e-17,M0_S4
2,4,17,4.6043766129970004e-17,M0_S4
2,4,18,4.6043766129970004e-17,M0_S4
2,4,19,4.6043766129970004e-17,M0_S4
3,0,0,0.5560810609767459,fullM3
3,0,1,0.33909367001363583,fullM3
3,0,2,0.255293883848889,fullM3
3,0,3,0.2140457663635305,fullM3
3,0,4,0.14948156992510678,fullM3
3,0,5,0.09746902661098182,fullM3
3,0,6,0.09077759724839572,fullM3
3,0,7,0.08260819184594867,fullM3
3,0,8,0.06494239520722378,fullM3
3,0,9,0.05887121664852161,fullM3
3,0,10,0.03608396545696461,fullM3
3,0,11,0.02931646179768482,fullM3
3,0,12,0.022385623103387656,fullM3
3,0,13,0.013305665045467957,fullM3
3,0,14,0.01198934760392604,fullM3
3,0,15,0.011243015009809603,fullM3
3,0,16,0.008453426819155669,fullM3
3,0,17,0.006826266592723746,fullM3
3,0,18,0.00467239628649274,fullM3
3,0,19,0.0044178081258300275,fullM3
3,1,0,0.5439396532908845,fullM3
3,1,1,0.4670992937342376,fullM3
3,1,2,0.2565664169400342,fullM3
3,1,3,0.2100234844292782,fullM3
3,1,4,0.08053171784432198,fullM3
3,1,5,0.07164744427675954,fullM3
3,1,6,0.06282911248873796,fullM3
3,1,7,0.030778285590885808,fullM3
3,1,8,0.02855811472092533,fullM3
3,1,9,0.02341566005262177,fullM3
3,1,10,0.017997781518187123,fullM3
3,1,11,0.013140707934328212,fullM3
3,1,12,0.011762374958480322,fullM3
3,1,13,0.0080158010770101,fullM3
3,1,14,0.006759529381958656,fullM3
3,1,15,0.00627913641999456,fullM3
3,1,16,0.004517132455544538,fullM3
3,1,17,0.003630674719289275,fullM3
3,1,18,0.003037529249581693,fullM3
3,1,19,0.002881061050468335,fullM3
3,2,0,0.46809273587578915,fullM3
3,2,1,0.3315764312772133,fullM3
3,2,2,0.16541967443148078,fullM3
3,2,3,0.1422502291749978,fullM3
3,2,4,0.11839636941159688,fullM3
3,2,5,0.09131983219151568,fullM3
3,2,6,0.06006805843583942,fullM3
3,2,7,0.046390103642244544,fullM3
3,2,8,0.028691012725508367,fullM3
3,2,9,0.0263471518393729,fullM3
3,2,10,0.019243574474815815,fullM3
3,2,11,0.013782603080517668,fullM3
3,2,12,0.009167929967058232,fullM3
3,2,13,0.008008962067534991,fullM3
3,2,14,0.005644738997126474,fullM3
3,2,15,0.0044603642936605955,fullM3
3,2,16,0.0038841250727017235,fullM3
3,2,17,0.0037560224516329723,fullM3
3,2,18,0.00279655742603876,fullM3
3,2,19,0.0022816488915575056,fullM3
3,3,0,1.1371912547251295,fullM3
3,3,1,0.2450872842866211,fullM3
3,3,2,0.21796699254127277,fullM3
3,3,3,0.11195435655409727,fullM3
3,3,4,0.07751225121905245,fullM3
3,3,5,0.05843892789720132,fullM3
3,3,6,0.037477256538277846,fullM3
3,3,7,0.03473101531022547,fullM3
3,3,8,0.02578506203279813,fullM3
3,3,9,0.015278723330299624,fullM3
3,3,10,0.013639614966514195,fullM3
3,3,11,0.011218647455645523,fullM3
3,3,12,0.009688252369553476,fullM3
3,3,13,0.009028632567907289,fullM3
3,3,14,0.007665124900373635,fullM3
3,3,15,0.005705615512552786,fullM3
3,3,16,0.00419000929666381,fullM3
3,3,17,0.003969457405822918,fullM3
3,3,18,0.003832360742146727,fullM3
3,3,19,0.003663892408282327,fullM3
3,4,0,0.7003935988927614,fullM3
3,4,1,0.3782086573880914,fullM3
3,4,2,0.3006364973253075,fullM3
3,4,3,0.20078372345685122,fullM3
3,4,4,0.1404818538335583,fullM3
3,4,5,0.1075627925003503,fullM3
3,4,6,0.0652721295649467,fullM3
3,4,7,0.03684830326980883,fullM3
3,4,8,0.027507622319851044,fullM3
3,4,9,0.02120369136400366,fullM3
3,4,10,0.015243328540520533,fullM3
3,4,11,0.014798133286132173,fullM3
3,4,12,0.010035856700907805,fullM3
3,4,13,0.009139540590728473,fullM3
3,4,14,0.0072756806935245135,fullM3
3,4,15,0.006117806973955185,fullM3
3,4,16,0.005208837795882107,fullM3
3,4,17,0.004444221954857697,fullM3
3,4,18,0.004050191967280743,fullM3
3,4,19,0.00333322475983142,fullM3
3,0,0,0.2913324757673296,M0_S4
3,0,1,0.24306148275734715,M0_S4
3,0,2,0.2325866463918701,M0_S4
3,0,3,0.13992703837717152,M0_S4
3,0,4,0.08384407443210379,M0_S4
3,0,5,0.027991289323021817,M0_S4
3,0,6,4.152044636006507e-17,M0_S4
3,0,7,2.6950000828204846e-17,M0_S4
3,0,8,2.6950000828204846e-17,M0_S4
3,0,9,2.6950000828204846e-17,M0_S4
3,0,10,2.6950000828204846e-17,M0_S4
3,0,11,2.6950000828204846e-17,M0_S4
3,0,12,2.6950000828204846e-17,M0_S4
3,0,13,2.6950000828204846e-17,M0_S4
3,0,14,2.6950000828204846e-17,M0_S4
3,0,15,2.6950000828204846e-17,M0_S4
3,0,16,2.6950000828204846e-17,M0_S4
3,0,17,2.6950000828204846e-17,M0_S4
3,0,18,2.6950000828204846e-17,M0_S4
3,0,19,2.6950000828204846e-17,M0_S4
3,1,0,0.2913324757673296,M0_S4
3,1,1,0.24306148275734715,M0_S4
3,1,2,0.2325866463918701,M0_S4
3,1,3,0.13992703837717152,M0_S4
3,1,4,0.08384407443210379,M0_S4
3,1,5,0.027991289323021817,M0_S4
3,1,6,4.152044636006507e-17,M0_S4
3,1,7,2.6950000828204846e-17,M0_S4
3,1,8,2.6950000828204846e-17,M0_S4
3,1,9,2.6950000828204846e-17,M0_S4
3,1,10,2.6950000828204846e-17,M0_S4
3,1,11,2.6950000828204846e-17,M0_S4
3,1,12,2.6950000828204846e-17,M0_S4
3,1,13,2.6950000828204846e-17,M0_S4
3,1,14,2.6950000828204846e-17,M0_S4
3,1,15,2.6950000828204846e-17,M0_S4
3,1,16,2.6950000828204846e-17,M0_S4
3,1,17,2.6950000828204846e-17,M0_S4
3,1,18,2.6950000828204846e-17,M0_S4
3,1,19,2.6950000828204846e-17,M0_S4
3,2,0,0.2913324757673296,M0_S4
3,2,1,0.24306148275734715,M0_S4
3,2,2,0.2325866463918701,M0_S4
3,2,3,0.13992703837717152,M0_S4
3,2,4,0.08384407443210379,M0_S4
3,2,5,0.027991289323021817,M0_S4
3,2,6,4.152044636006507e-17,M0_S4
3,2,7,2.6950000828204846e-17,M0_S4
3,2,8,2.6950000828204846e-17,M0_S4
3,2,9,2.6950000828204846e-17,M0_S4
3,2,10,2.6950000828204846e-17,M0_S4
3,2,11,2.6950000828204846e-17,M0_S4
3,2,12,2.6950000828204846e-17,M0_S4
