case,cost,cost_ratio_to_oracle,final_norm,finite,init_norm,max_abs_u,max_action,max_norm,oracle,oracle_lqr_cost,saturation_frac,seed
1,18.591724461064487,1.004773418479816,0.0008053187051730279,True,6.989096561487128,34.57054361472145,50.0,10.274219830827928,M0,18.503399989614632,0.0,0
1,18.590166379165247,1.004689213312111,0.0007951282297143465,True,6.989096561487128,34.08358174998434,50.0,10.274219830827928,M0,18.503399989614632,0.0,1
1,18.58177956861422,1.0042359555024254,0.0008308578285270666,True,6.989096561487128,34.443226903954084,50.0,10.274219830827928,M0,18.503399989614632,0.0,2
2,38611.33077978711,52.2263591481574,99.78062705518285,True,6.692783665537256,49.999057828913166,50.0,1141.2524784472773,M0,739.3073422991876,0.0711,0
2,30438.31667011504,41.171397778161214,89.27655924573955,True,6.692783665537256,49.998129035678744,50.0,845.6709773164334,M0,739.3073422991876,0.06966666666666667,1
2,27221.134467298543,36.81978104348722,85.66478214729423,True,6.692783665537256,49.99338351632505,50.0,896.9045634924491,M0,739.3073422991876,0.06976666666666667,2
3,64.45737286648328,1.0214865989909023,0.07171331081492748,True,6.9578749943897575,48.54437094481124,50.0,10.441893949571565,M0,63.101535477958194,0.00018333333333333334,0
3,64.48593064398803,1.0219391676532723,0.05224881286457819,True,6.9578749943897575,48.183038662412045,50.0,10.441893949571565,M0,63.101535477958194,0.00018333333333333334,1
3,64.45771546905797,1.0214920283766074,0.05995345243336851,True,6.9578749943897575,48.54914505247028,50.0,10.441893949571565,M0,63.101535477958194,0.00028333333333333335,2
4,53.78111755823921,1.0647580446136402,0.003233074984087544,True,6.916377401178031,49.923261699006595,50.0,10.936225542335269,M0,50.5101772466573,0.002616666666666667,0
4,53.68446544353746,1.0628445269827327,0.0010211474537301778,True,6.916377401178031,49.914765812606326,50.0,11.035393776822021,M0,50.5101772466573,0.0032,1
4,53.70754744824382,1.0633015042883882,0.0018498169596453734,True,6.916377401178031,49.92967301154771,50.0,10.873391485413626,M0,50.5101772466573,0.003,2
7,28.944398365059346,1.0040512944021749,0.2636432026632108,True,6.927963927533026,35.04104708089854,50.0,10.23658630853036,M0,28.82760923314502,0.0,0
7,28.954306236387172,1.0043949882287317,0.2636521048641924,True,6.927963927533026,36.11950722005195,50.0,10.23658630853036,M0,28.82760923314502,0.0,1
7,28.93143138949361,1.003601483408108,0.2635161667362851,True,6.927963927533026,36.10021321248168,50.0,10.23658630853036,M0,28.82760923314502,0.0,2
5,783.4695982574399,2.28003547111658,4.042239706156562,True,6.822555499661363,168.37849634049007,200.0,241.76897271559716,M0,343.62167088293535,0.0,0
5,1416.8660915232854,4.123331592802777,6.1150763891773225,True,6.822555499661363,140.019576137975,200.0,342.24674509273456,M0,343.62167088293535,0.0,1
5,371.1883038106465,1.0802237904753758,1.5217109951859715,True,6.822555499661363,143.68929748919436,200.0,28.97056213281828,M0,343.62167088293535,0.0,2
1,18.59172446106444,1.0047734184798136,0.0008053187051724381,True,6.989096561487128,34.570543614724045,50.0,10.274219830827928,M1,18.503399989614632,0.0,0
1,18.590166379165197,1.0046892133121084,0.0007951282297137233,True,6.989096561487128,34.08358174998658,50.0,10.274219830827928,M1,18.503399989614632,0.0,1
