step,norm_x_true,norm_s_hat,norm_x_free,norm_s_free,s_hat_vs_s_free_diff
0,6.5192599481783,0.0,6.5192599481783,0.0,0.0
1,6.641656822068349,2.6757669106273223,3.747828774082466,2.6757669106273223,0.0
2,6.731409941889063,3.634479397522115,2.459100756019306,2.966577576911097,2.3026662194891347
3,6.786919874298671,4.498857659062245,1.461463132196699,3.0348356698369425,4.068124466622263
4,6.815467577605714,5.348272445707468,1.0429572274466046,3.066439755819839,5.402479062869183
5,6.8250382184485225,6.053499100995569,0.9055344732820398,3.122763702543787,6.414478592140744
6,6.8213514952963425,6.572196697977671,0.9309277217030589,3.1464992480175096,7.100248073611364
7,6.810553539451174,7.012627466237188,1.187221374333934,3.1779146750471474,7.526653571786652
8,6.799211700286034,7.426084417220167,1.6632743662347744,3.198595190820609,7.782663675287023
9,6.791540977708074,7.830064135993639,2.089878891868559,3.2389778038480395,7.940126252800202
10,6.790234885534228,8.194740962486456,2.3637445723107104,3.3179426580964666,8.023597891503625
11,6.797569485545089,8.531604914197516,2.4205936231011145,3.466066048508896,8.049504885002682
12,6.815013711014173,8.805752327314206,2.2732926727403715,3.6593727872136688,8.038543118161542
13,6.842786220572316,9.018306304321891,2.052060254526368,3.872658141245562,8.00227190449403
14,6.880383283712828,9.135763001943186,1.9043203881576154,3.991846916840299,7.953437442974271
15,6.927236963675815,9.184793835114784,1.8624259704654813,4.103668652320143,7.889896980435006
16,6.982242594314126,9.203240414685235,1.8577735606183974,4.223837695093451,7.825779291362422
17,7.04344939893146,9.19702343468732,1.8369364347939903,4.281400078384706,7.77065143426729
18,7.108986736556289,9.19167921593546,1.7590412637661736,4.348576999839097,7.720893770859112
19,7.177711050512533,9.193795370444604,1.584801182078372,4.378962470351854,7.700077684375556
20,7.248831310202398,9.167907752203558,1.2940020561508938,4.359389102205279,7.693858815603076
21,7.321271318301797,9.098568660999543,0.9594363542823542,4.313427182640413,7.687642753245286
22,7.393623026129276,8.982673338035864,0.7434138661581907,4.228367903831071,7.679954068070163
23,7.464337183295906,8.856576053508006,0.7614754878178742,4.128021429650621,7.674021871136231
24,7.532057221921486,8.768223062734727,0.8954701706681066,4.03367698438875,7.6897991054995485
25,7.595977409105576,8.742634211678242,1.0329558969584731,3.9699840906213497,7.7322243004638525
26,7.655933696194542,8.774463554596647,1.1665521404688304,3.946680407643379,7.797175410810918
27,7.712568408210899,8.837604370004735,1.3058988009335428,3.943860311924426,7.876458245808995
28,7.767066762771475,8.909964157502916,1.451997491030437,3.9455897401646745,7.952462236837093
29,7.820665980839283,8.998767113654973,1.5916079717286202,4.002843882138207,8.022747322924443
30,7.874306323642492,9.089286332187656,1.707363199626829,4.047316752743977,8.107533318024341
31,7.928327633754157,9.177734276493092,1.7774777022969044,4.078141462063755,8.190692912472883
32,7.982568347932027,9.275324655346212,1.784599110794042,4.103756776221138,8.28862169034211
33,8.036867675701759,9.37906046854558,1.7182777679734709,4.10021195252404,8.40670140086958
34,8.091588007887756,9.495997273274716,1.5838885711315114,4.083288938957597,8.546561986455398
35,8.147964604808303,9.64102248993571,1.404523331447048,4.050390682291763,8.71491096313
36,8.208245432025896,9.831754072811625,1.2133307566763647,4.0130286799576,8.917278974133014
37,8.275398853513062,10.073966750760697,1.0368908482683612,3.9721097259167655,9.152594407219697
38,8.35242802446908,10.36144483216669,0.8913782295593534,3.9325099868340203,9.412331985143904
39,8.441648662043196,10.68286942368143,0.7860520627707068,3.9020021250490284,9.69146896736139
40,8.54424201533576,11.024467654328436,0.6979681804406623,3.876942362474042,9.985566190082308
41,8.660216648332622,11.379637916152644,0.6198965706033653,3.8591180615214804,10.2918931216882
42,8.78871044912196,11.747376276346033,0.5495697282946084,3.845432249891391,10.611394278770554
43,8.928447836422674,12.126608359953163,0.4831052217810372,3.831138010507574,10.939223212733499
44,9.078186942128264,12.512142945333215,0.4286373909744657,3.819208379491728,11.270145136874117
45,9.237126202377063,12.89152854534576,0.3791239088056379,3.803957916800095,11.59640588898003
46,9.405141758291387,13.25337365328947,0.34348576884827686,3.7788873776956504,11.917247383214146
47,9.582761795715376,13.593750915980456,0.31579932515895814,3.74681833524117,12.238284267133448
48,9.770897777631525,13.918327540364762,0.30005557290628593,3.703211213424159,12.568465044746718
49,9.970471241587298,14.239772424937746,0.30098471329570764,3.6542575779636994,12.922624855543996
50,10.182118405355373,14.57533443158454,0.30363287061354644,3.6045752570962977,13.312404519482634
51,10.405980502121553,14.941505964367709,0.30660821063503985,3.5580398940224622,13.753988509138765
52,10.641562576320036,15.349102258043844,0.3165465649390558,3.518692462574242,14.259806151564263
53,10.887694441016295,15.805996190509035,0.3354760381113452,3.478188943607688,14.829988807401692
54,11.142551419058043,16.31691709271888,0.36689831291636443,3.440709966102644,15.463289721535652
55,11.403770952446711,16.876399935089708,0.4152410422816906,3.408542426929561,16.149099083895678
56,11.66864437720044,17.470962620530493,0.4723976262975853,3.3709362301439403,16.857661686749882
57,11.934186253348674,18.083905006050617,0.5346174739146831,3.3357263189650657,17.562589848664793
58,12.197150154722406,18.685845827185602,0.5927027834869436,3.3003534135166945,18.243659254727806
59,12.454095060489816,19.256740529478634,0.6322304242232044,3.260543824009045,18.867619407097802
60,12.70141560416461,19.786915378798305,0.6633307775953152,3.220857911464154,19.42970808646457
61,12.935504013193881,20.266080896343475,0.6798051569427604,3.179408156030814,19.928271553486855
62,13.152925430810855,20.69910733333248,0.6845823119806282,3.140693948433825,20.35533065138585
63,13.35055494295951,21.089500592207084,0.6790985222297069,3.104727862308761,20.727454967677016
64,13.52580034468546,21.439604722205004,0.6617328510408487,3.0692747255646697,21.04894535251897
65,13.676801531553526,21.75800241581488,0.6334137748353457,3.041057847028941,21.32809199365116
66,13.802535317915023,22.050243373080715,0.5985916828651313,3.0140686282780966,21.578901506388615
67,13.902860965720553,22.3200030378867,0.5615481604637493,2.9871466176710686,21.80631269610327
68,13.978483037640682,22.570098478975627,0.5200579656648887,2.9674075791477033,22.01409305245401
69,14.030688104840367,22.799684321247835,0.48131571023861275,2.9451137678283095,22.204237525451035
70,14.06114009070303,23.004571184196738,0.44756520430342006,2.92284477128375,22.37695411688206
71,14.071742744442467,23.182984506401404,0.4184364195398963,2.9020639471490286,22.52868267286571
72,14.06440980638604,23.334639900657564,0.40024911528876594,2.877767240752917,22.662345517504857
73,14.041091031180516,23.462119123685543,0.3933700072146565,2.851781139836228,22.78116346966617
74,14.003798031510012,23.57439268480242,0.3963460004998071,2.8226455890365414,22.891778906652455
75,13.95452176389758,23.685332218350734,0.4112371319797454,2.7899084550113,23.008372184345507
76,13.89532010215687,23.816119913882037,0.43370022711365397,2.755251181162363,23.149471740938587
77,13.82833928803655,23.992031944364413,0.4606478200110436,2.7159278990529336,23.340285160194956
78,13.755823189268714,24.242029716404904,0.4914169286711786,2.6773978316204032,23.60506687080717
79,13.68024184866481,24.593018876371513,0.5230507259447401,2.6403000023187166,23.97020768841733
80,13.604359870649473,25.06122182108714,0.5495635742362508,2.6016142730359166,24.453248990986083
81,13.531142158399119,25.655238306500824,0.5709145887066304,2.5677884872928294,25.058472596385688
82,13.463774653472061,26.372910516898713,0.5840828551020811,2.534873652312205,25.786325623827
83,13.405731794966607,27.199819796262013,0.5857909554951706,2.501302698867841,26.625810542693063
84,13.360736210754157,28.118430269861275,0.5861832978228053,2.469653650415552,27.55462898327236
85,13.332909342472856,29.10660699721928,0.5863776831958462,2.4365165662221235,28.55379499589171
86,13.326671702191904,30.13622650183465,0.5887971691075202,2.4031792243039583,29.59997426751908
87,13.346279122928202,31.185026896206363,0.5983036757861518,2.3692063972558097,30.664760274666733
88,13.395385016374696,32.23414763469769,0.6071740408590739,2.3343446187424517,31.734484440466147
89,13.476465421668154,33.26699470971831,0.6138908519960623,2.30163287827804,32.79550363655443
90,13.590455519385895,34.27850150928898,0.6175529690296494,2.267940227002571,33.83484833571943
91,13.736859305007364,35.26556231346371,0.6151105903750611,2.235854296653649,34.85574983262362
92,13.914049244525414,36.2251416752928,0.6079818618414236,2.207430693259269,35.85478454495184
93,14.1196644133401,37.15932552852922,0.5983358722391876,2.1791495725310446,36.82870019697029
94,14.350991331004218,38.067014543083495,0.5862571522295181,2.154337468581521,37.78205354073742
95,14.605117735338347,38.94547841799176,0.5719861998846081,2.1332033362805993,38.709919134235584
96,14.878903289561281,39.79458658517048,0.5590968866799981,2.1120549680184166,39.60732985028386
97,15.169008194553808,40.61120808619501,0.5467070907895841,2.093276229138455,40.47347347035892
98,15.471899746500597,41.389070715570654,0.5366048911411373,2.074240720501608,41.30049811102184
99,15.783884386912229,42.12351837608019,0.5312987803753277,2.05404324276157,42.077886390033754
100,16.101223535360283,42.80568882029369,0.5299633011454145,2.0328526600577685,42.800373722750045
101,16.420136323276793,43.42350281990084,0.5338458431041858,2.0087279695192097,43.45474397227786
102,16.736773846358858,43.9685504678542,0.5433460033487307,1.9830494308404165,44.02694830059793
103,17.047204001970197,44.42968384275727,0.5582128244783349,1.9553572574552125,44.51142673593603
104,17.34739174888398,44.797096278934035,0.5784055058472186,1.925776576183251,44.89566032662673
105,17.633271591569027,45.06661757428711,0.6038794749679675,1.897071091039516,45.17291284414182
106,17.900907467969503,45.233561755229644,0.6339505470786251,1.8688725946657296,45.343728609392464
107,18.146715508101263,45.29702802792552,0.6672765490037673,1.842047846876172,45.404532453212674
108,18.36773426313063,45.26101720831475,0.7014903223317581,1.8186527205547465,45.35903041734144
109,18.56191055117064,45.13059809167225,0.7353466504702828,1.7973704263139312,45.215672936218645
110,18.72839361817148,44.91527430083445,0.7672099138939386,1.7793943411267894,44.98259292268016
111,18.867847142235345,44.629931908035275,0.7954860669790228,1.7642721945554325,44.67453545917566
112,18.982751472732474,44.29262253440542,0.8219277591251805,1.751378806851339,44.31182697499835
113,19.07768894194386,43.926894492647776,0.8449692739010872,1.7414266024900764,43.91662758233949
114,19.15954061184402,43.56250435352795,0.8634192825074863,1.7333001200690275,43.51788529091613
115,19.237509217001662,43.23379776812945,0.8772972641466734,1.7278910244214782,43.15143768455348
116,19.32297242503782,42.98197374638534,0.8837287052508414,1.7258753319307953,42.85766562246478
117,19.42911804804351,42.85494129355308,0.883310137334283,1.7268365259943532,42.68566352004791
118,19.570396397818048,42.90541135933816,0.8781875999802621,1.7315071937902675,42.69035133820693
119,19.761858842441477,43.18878449837924,0.8699957092399584,1.740053167792344,42.92909993549841
120,20.01837424615868,43.7573075301937,0.861138984380939,1.7515282250917907,43.457203887146704
121,20.353773230957298,44.65481533361798,0.8528162130410754,1.764920912622835,44.32041149963158
122,20.779991726232087,45.91069619701507,0.8441571890166998,1.7794608492259334,45.551375073116056
123,21.30628896330558,47.5362684664499,0.8334644980440579,1.7935350476638932,47.162880159510834
124,21.938665361116133,49.525583896193915,0.8203870004291433,1.8050337006669883,49.14833524764722
125,22.67961010787135,51.855396881116036,0.8034884796044072,1.8132298130290936,51.485598908476575
126,23.52817088256682,54.48902195469735,0.7825281910786355,1.8175105967452916,54.13623569209672
127,24.480291225433255,57.38243592093397,0.7587895092014327,1.8159422510169576,57.05288266168572
128,25.52933119723458,60.48650516944482,0.7313986028338426,1.8096066141576381,60.186302130708434
129,26.666608116453183,63.75161946917321,0.7014725902050059,1.7989071219468695,63.48401876786899
130,27.881912847785266,67.13230746950897,0.6696390453095686,1.7827784858285283,66.8966608946026
131,29.163970364170165,70.58554050712735,0.6355624561061888,1.7634081534105353,70.38177580030744
132,30.500806452379404,74.07247147606337,0.6007686842437834,1.7409448792491526,73.89734683235282
133,31.880051279172516,77.55938165849082,0.5654955378929685,1.715414583079856,77.40723307165406
134,33.289169839261895,81.01404086263945,0.530375742299511,1.6885547407141333,80.88087263517477
135,34.71562668569434,84.40746688099215,0.4963576615119236,1.6605115978823553,84.28697912898994
136,36.14701995903413,87.7138164132209,0.4640485264876953,1.6319312622115985,87.59943732147417
137,37.57120268110024,90.90747775380244,0.4340748868945312,1.6036905942388302,90.79470716069497
138,38.976403406618154,93.96438204429992,0.4075494348151955,1.575959467631841,93.84770928319729
139,40.35134669825371,96.86137511020885,0.38527926549298597,1.5495053291102714,96.73606958552672
140,41.685353686873505,99.57427207069982,0.3677735253306937,1.5242319818544652,99.43809668090432
141,42.968405227707294,102.079998792982,0.3560831516818665,1.5002977458900328,101.930642304007
142,44.19117275021751,104.35773027795786,0.3498998564035967,1.4782451932991172,104.19403990549456
143,45.345032117897034,106.38855810267894,0.3496781662056645,1.4572779003470526,106.21207423525144
144,46.42209141747066,108.15857495265068,0.35479785654749824,1.437761705359214,107.97043185081706
145,47.41525060626547,109.65962915052738,0.3645560959930506,1.4198155441156017,109.46195182803038
146,48.318295987345465,110.88841970326257,0.37832626783757467,1.402813852232564,110.6850308243049
147,49.12602134265527,111.84870101519743,0.3941226191921568,1.3872593042446821,111.64199583744295
148,49.8343529378443,112.55071231100976,0.4106489706839393,1.373138534470381,112.34348378843815
149,50.4404792231265,113.01035348191287,0.4259774674313774,1.3602748332064838,112.80554649939701
150,50.94299475739051,113.25062996365958,0.43810729326955006,1.3487693377062573,113.04927717560034
151,51.34207000534234,113.3003972088301,0.4459561680256364,1.338301340605842,113.10342375231784
152,51.639666821358716,113.1935339043394,0.44878809314807283,1.3285728574742026,113.00125595811177
153,51.83979713964241,112.96936542343994,0.44586944514772286,1.3190382282123074,112.78057425168757
154,51.94879521384949,112.6715546408991,0.43756488936504767,1.3091436616527719,112.4849508046786
155,51.97557966457572,112.34795364800696,0.4242495461714419,1.2986370926689148,112.16206502427364
156,51.931877124227185,112.05151595201951,0.4060485488548456,1.2869393401159623,111.86451346597629
157,51.83237087014511,111.84031580041933,0.384784346283537,1.2739486133594289,111.6512797288349
158,51.694775916368286,111.77780474106761,0.3621314271169402,1.2599713633794112,111.5868787557363
159,51.539818056892024,111.93292764375387,0.3405925430748102,1.2451355340007846,111.74125897619372
160,51.39107233118758,112.37862683821457,0.3238958399597772,1.2300958573442855,112.1889962294675
161,51.27464136336147,113.18963706596801,0.31466838643170747,1.2156067915093434,113.00614148005913
162,51.2186152844156,114.43915323360727,0.31466185667824126,1.2023029407731927,114.26698998098283
163,51.25227983085006,116.19442869961568,0.3237190086139661,1.1906557083655198,116.03937496363396
164,51.405096153156386,118.5120075286365,0.3396719347049583,1.1809814779097387,118.37977718646043
165,51.705482496480926,121.43273701225608,0.35961162964748583,1.17337356265107,121.3284773407314
166,52.17948046707952,124.97832423105021,0.3805199300932342,1.1674396243986216,124.90528990955602
167,52.84943228003408,129.14924606245694,0.3997725076774293,1.1628428343208352,129.1086928591629
168,53.73278638454948,133.92450590842367,0.4153796692929457,1.1592160600080348,133.91559720665998
169,54.84115413090904,139.26435172944548,0.4258700854076417,1.1559605202319552,139.28338644162523
170,56.17973532259725,145.11364764211285,0.43053002854734085,1.1527342087483226,145.1551034396472
171,57.747156159383735,151.40576526943596,0.42928296801941696,1.14937381424399,151.46292864919985
172,59.53571102898957,158.0675662027863,0.4224450327380031,1.145691418717878,158.13215601060864
173,61.5319550520615,165.02277294867199,0.4109110874394504,1.141675560150458,165.0865637787129
174,63.71752237534247,172.19458888656183,0.3957883777646273,1.1373989478920183,172.25000286026804
175,66.07005507323638,179.50867045240597,0.37819501151775137,1.132934808566902,179.54824933122939
176,68.56415012966454,186.89376838141703,0.35932755299036345,1.1282309905571404,186.91187541438205
177,71.17224597307482,194.28191961003049,0.34026475692833197,1.1232830802745581,194.27469195151883
178,73.8654198310097,201.60900947103056,0.32197302894343127,1.11811923222608,201.5737021976235
179,76.61408474211606,208.81340914184784,0.30535241904028926,1.1125560864156179,208.74977492926143
180,79.38857878464914,215.83526557741206,0.29116111292560526,1.1065629412323523,215.74491319102899
181,82.15965369238045,222.61665162342254,0.27994653038548734,1.1001105877282644,222.5023918011982
182,84.89887191104506,229.10073810391074,0.27182849928360914,1.0931425230115646,228.96746468643474
183,87.57892414446198,235.23214914207247,0.26649007540846287,1.0858081034175568,235.0858975659003
184,90.17388656859063,240.95808701143199,0.26342462542590467,1.0782448459411125,240.8052729478883
185,92.6594329207029,246.2286218804907,0.2618560290553661,1.0708221356513088,246.07657290287875
186,95.01301363913313,250.99798937861988,0.26102551596660034,1.063914239299915,250.85390897783807
