achieved_fidelity,b,case,finite,note,r_chosen,ratio_transfer,rho_transfer,seed,target_fidelity,variant
0.03765450876958812,0.0,1,True,,6,2999765534305.9644,1.0665999226341103,0,0.04540258771022549,fullM3
0.02580770805961717,0.0,1,True,,6,3057895908775.1797,1.069465004887456,1,0.02774471257468549,fullM3
0.025508008013027765,0.0,1,True,,6,21372731087.671844,1.0570582158061275,2,0.0389785077682407,fullM3
0.09307616988336892,0.0,1,True,,6,2.692128893771117e+24,1.1329871335197907,3,0.09516311294430937,fullM3
0.017543870044442456,0.0,1,True,,6,1.6006254147935237e+24,1.1451363198357474,4,0.018317067422588134,fullM3
2.5673907444456745e-16,0.11662088966392337,1,True,,6,1.005,0.9546564246190985,0,5.204170427930421e-18,M0_S4
2.5673907444456745e-16,0.11662088966392337,1,True,,6,1.005,0.9546564246190985,1,5.204170427930421e-18,M0_S4
2.5673907444456745e-16,0.11662088966392337,1,True,,6,1.005,0.9546564246190985,2,5.204170427930421e-18,M0_S4
2.5673907444456745e-16,0.11662088966392337,1,True,,6,1.005,0.9546564246190985,3,5.204170427930421e-18,M0_S4
2.5673907444456745e-16,0.11662088966392337,1,True,,6,1.005,0.9546564246190985,4,5.204170427930421e-18,M0_S4
3.177337308051225e-15,0.1166208896639209,1,True,,6,1.005,0.9546564246190881,0,3.177337308051225e-15,M1
3.177337308051225e-15,0.1166208896639209,1,True,,6,1.005,0.9546564246190881,1,3.177337308051225e-15,M1
3.177337308051225e-15,0.1166208896639209,1,True,,6,1.005,0.9546564246190881,2,3.177337308051225e-15,M1
3.177337308051225e-15,0.1166208896639209,1,True,,6,1.005,0.9546564246190881,3,3.177337308051225e-15,M1
3.177337308051225e-15,0.1166208896639209,1,True,,6,1.005,0.9546564246190881,4,3.177337308051225e-15,M1
0.08597552471020839,0.0,2,True,,7,3.178673689162058e+19,1.1177152282634633,0,0.08767852260432002,fullM3
0.03164349442023812,0.0,2,True,,12,18672843.809420537,1.0430156560072743,1,0.03280180307766043,fullM3
1.1712589599520837,0.0,2,True,,6,944106195.4932116,1.0538272118935257,2,1.2247083462121109,fullM3
0.04838993480088771,0.0,2,True,,7,11801574776.563982,1.064979152747539,3,0.04931600044671779,fullM3
0.0343359093712276,0.0,2,True,,6,3760979.0706935073,1.0426323783802371,4,0.0461476752232499,fullM3
7.587680483922554e-15,0.017108660793987547,2,True,,6,1.0050000000000607,0.9933836889767328,0,5.551115123125783e-17,M0_S4
