c0_x_norm,case,finite,ratio_corrected,rho,seed,z_star_x_norm
0.967647779998035,1,True,1888858.0143771544,1.040076020336573,0,nan
0.8304743809994476,1,True,239524801230.74295,1.06888078203054,1,nan
0.5456803675303752,1,True,13.108927961951508,1.004138447342123,2,nan
0.9835932806627131,1,True,31.659056799574273,1.005958766795665,3,nan
0.8743121247274018,1,True,10.557316421921826,1.002784285163616,4,nan
1.0817805356478825,2,True,86501.98272161413,1.0412594403190263,0,nan
0.8669300357795028,2,True,266065.54648617504,1.0452898144552663,1,nan
0.7536169728183963,2,True,35221.174872232026,1.0291757815664335,2,nan
1.0826132458744608,2,True,966374.2214890006,1.04689706075668,3,nan
0.9409372928031752,2,True,54025.551280836095,1.0404250916558706,4,nan
1.076008115843292,3,True,517.8763734662332,1.0167688151840082,0,nan
0.4895383425397372,3,True,796.1997800783448,1.0202333984969523,1,nan
1.3253998314653437,3,True,336.9459852193065,1.0177132681415362,2,nan
0.7596841841960433,3,True,81.40041847862535,1.013896151094343,3,nan
1.117675823163906,3,True,325.0461055128607,1.0153944788919027,4,nan
0.7054550968409102,4,True,1659170.36019513,1.0346581595950035,0,nan
1.2608529548626948,4,True,68257.80976344015,1.0285543589215442,1,nan
0.7938358442966182,4,True,466738.60890052083,1.0371274262548753,2,nan
0.5653190612484343,4,True,5568021059.749798,1.0613802752871253,3,nan
0.827162914323106,4,True,43710.60320436264,1.028633966617798,4,nan
0.5390262186637811,5,True,8741844831089.907,1.0850570953011471,0,nan
0.8637881976630049,5,True,1392956.643855144,1.0466521521598078,1,nan
0.7914624981559517,5,True,1673.6097623234884,1.0247240705600742,2,nan
0.7098693097285327,5,True,1275.7292360755068,1.022949149275108,3,nan
0.521841994230276,5,True,25311.555886821723,1.0355625232198942,4,nan
0.7574060427163624,7,True,290.9752716605059,1.0158865283270997,0,nan
0.7945334680266318,7,True,2228.1740203094414,1.020085773107727,1,nan
0.6135007882397056,7,True,2946.790728435858,1.0239930083167301,2,nan
1.086431198600638,7,True,204613.7671481895,1.0289330213090704,3,nan
0.8475647817074072,7,True,349.82589148001944,1.0170924265427848,4,nan
