abs_diff_conv_vs_step,case,seed,step,variant
3.3306690738754696e-14,1,1,61,fullM3
3.3306690738754696e-14,1,1,62,fullM3
3.197442310920451e-14,1,1,63,fullM3
3.108624468950438e-14,1,1,64,fullM3
3.097522238704187e-14,1,1,65,fullM3
2.7755575615628914e-14,1,1,66,fullM3
2.9531932455029164e-14,1,1,67,fullM3
2.9753977059954195e-14,1,1,68,fullM3
2.731148640577885e-14,1,1,69,fullM3
2.6423307986078726e-14,1,1,70,fullM3
2.6645352591003757e-14,1,1,71,fullM3
2.3203661214665772e-14,1,1,72,fullM3
2.298161660974074e-14,1,1,73,fullM3
2.1871393585115584e-14,1,1,74,fullM3
1.5654144647214707e-14,1,1,75,fullM3
1.532107773982716e-14,1,1,76,fullM3
1.7541523789077473e-14,1,1,77,fullM3
1.8207657603852567e-14,1,1,78,fullM3
2.220446049250313e-14,1,1,79,fullM3
2.4424906541753444e-14,1,1,80,fullM3
2.8199664825478976e-14,1,1,81,fullM3
3.086420008457935e-14,1,1,82,fullM3
3.574918139293004e-14,1,1,83,fullM3
3.6193270602780103e-14,1,1,84,fullM3
3.863576125695545e-14,1,1,85,fullM3
4.04121180963557e-14,1,1,86,fullM3
4.218847493575595e-14,1,1,87,fullM3
4.418687638008123e-14,1,1,88,fullM3
4.6851411639181606e-14,1,1,89,fullM3
4.8405723873656825e-14,1,1,90,fullM3
5.062616992290714e-14,1,1,91,fullM3
5.240252676230739e-14,1,1,92,fullM3
5.46229728115577e-14,1,1,93,fullM3
5.573319583618286e-14,1,1,94,fullM3
5.773159728050814e-14,1,1,95,fullM3
5.81756864903582e-14,1,1,96,fullM3
6.195044477408373e-14,1,1,97,fullM3
6.261657858885883e-14,1,1,98,fullM3
6.505906924303417e-14,1,1,99,fullM3
1.4432899320127035e-15,1,2,0,fullM3
2.9004576518332215e-15,1,2,1,fullM3
6.265821195228227e-15,1,2,2,fullM3
9.922618282587337e-15,1,2,3,fullM3
1.0227929614359255e-14,1,2,4,fullM3
8.770761894538737e-15,1,2,5,fullM3
6.661338147750939e-15,1,2,6,fullM3
8.659739592076221e-15,1,2,7,fullM3
7.993605777301127e-15,1,2,8,fullM3
9.325873406851315e-15,1,2,9,fullM3
1.0769163338864018e-14,1,2,10,fullM3
1.2434497875801753e-14,1,2,11,fullM3
1.6209256159527285e-14,1,2,12,fullM3
1.7985612998927536e-14,1,2,13,fullM3
2.042810365310288e-14,1,2,14,fullM3
2.1316282072803006e-14,1,2,15,fullM3
2.375877272697835e-14,1,2,16,fullM3
2.353672812205332e-14,1,2,17,fullM3
2.5757174171303632e-14,1,2,18,fullM3
2.7755575615628914e-14,1,2,19,fullM3
2.9753977059954195e-14,1,2,20,fullM3
3.26405569239796e-14,1,2,21,fullM3
3.241851231905457e-14,1,2,22,fullM3
3.574918139293004e-14,1,2,23,fullM3
3.730349362740526e-14,1,2,24,fullM3
4.04121180963557e-14,1,2,25,fullM3
4.3076653355456074e-14,1,2,26,fullM3
4.551914400963142e-14,1,2,27,fullM3
4.773959005888173e-14,1,2,28,fullM3
4.884981308350689e-14,1,2,29,fullM3
4.6629367034256575e-14,1,2,30,fullM3
4.651834473179406e-14,1,2,31,fullM3
4.29101199017623e-14,1,2,32,fullM3
4.163336342344337e-14,1,2,33,fullM3
3.9968028886505635e-14,1,2,34,fullM3
3.530509218307998e-14,1,2,35,fullM3
3.7969627442180354e-14,1,2,36,fullM3
3.907985046680551e-14,1,2,37,fullM3
3.9968028886505635e-14,1,2,38,fullM3
3.930189507173054e-14,1,2,39,fullM3
3.952393967665557e-14,1,2,40,fullM3
3.774758283725532e-14,1,2,41,fullM3
3.4638958368304884e-14,1,2,42,fullM3
3.1030733538273125e-14,1,2,43,fullM3
2.7478019859472624e-14,1,2,44,fullM3
2.3203661214665772e-14,1,2,45,fullM3
2.020605904817785e-14,1,2,46,fullM3
1.7208456881689926e-14,1,2,47,fullM3
1.5376588891058418e-14,1,2,48,fullM3
1.2823075934420558e-14,1,2,49,fullM3
9.603429163007604e-15,1,2,50,fullM3
9.769962616701378e-15,1,2,51,fullM3
1.199040866595169e-14,1,2,52,fullM3
1.6431300764452317e-14,1,2,53,fullM3
1.6431300764452317e-14,1,2,54,fullM3
2.042810365310288e-14,1,2,55,fullM3
2.042810365310288e-14,1,2,56,fullM3
2.020605904817785e-14,1,2,57,fullM3
2.4646951146678475e-14,1,2,58,fullM3
2.5091040356528538e-14,1,2,59,fullM3
2.7533531010703882e-14,1,2,60,fullM3
3.064215547965432e-14,1,2,61,fullM3
3.6193270602780103e-14,1,2,62,fullM3
3.952393967665557e-14,1,2,63,fullM3
4.1744385725905886e-14,1,2,64,fullM3
4.374278717023117e-14,1,2,65,fullM3
4.75175454539567e-14,1,2,66,fullM3
4.218847493575595e-14,1,2,67,fullM3
4.618527782440651e-14,1,2,68,fullM3
4.8627768478581856e-14,1,2,69,fullM3
4.929390229335695e-14,1,2,70,fullM3
5.3734794391857577e-14,1,2,71,fullM3
5.417888360170764e-14,1,2,72,fullM3
4.951594689828198e-14,1,2,73,fullM3
5.395683899678261e-14,1,2,74,fullM3
5.306866057708248e-14,1,2,75,fullM3
5.240252676230739e-14,1,2,76,fullM3
5.10702591327572e-14,1,2,77,fullM3
4.551914400963142e-14,1,2,78,fullM3
4.1522341120980855e-14,1,2,79,fullM3
3.863576125695545e-14,1,2,80,fullM3
3.8413716652030416e-14,1,2,81,fullM3
4.063416270128073e-14,1,2,82,fullM3
3.6193270602780103e-14,1,2,83,fullM3
3.441691376337985e-14,1,2,84,fullM3
3.325117958752344e-14,1,2,85,fullM3
3.6165515027164474e-14,1,2,86,fullM3
4.1466829969749597e-14,1,2,87,fullM3
4.474198789239381e-14,1,2,88,fullM3
4.5075054799781356e-14,1,2,89,fullM3
4.451994328746878e-14,1,2,90,fullM3
4.596323321948148e-14,1,2,91,fullM3
4.463096558993129e-14,1,2,92,fullM3
4.518607710224387e-14,1,2,93,fullM3
3.952393967665557e-14,1,2,94,fullM3
3.68594044175552e-14,1,2,95,fullM3
3.952393967665557e-14,1,2,96,fullM3
3.952393967665557e-14,1,2,97,fullM3
4.1744385725905886e-14,1,2,98,fullM3
4.285460875053104e-14,1,2,99,fullM3
1.5543122344752192e-15,1,3,0,fullM3
4.9960036108132044e-15,1,3,1,fullM3
8.43769498715119e-15,1,3,2,fullM3
9.103828801926284e-15,1,3,3,fullM3
1.5765166949677223e-14,1,3,4,fullM3
1.3100631690576847e-14,1,3,5,fullM3
1.3100631690576847e-14,1,3,6,fullM3
1.1324274851176597e-14,1,3,7,fullM3
1.6209256159527285e-14,1,3,8,fullM3
2.042810365310288e-14,1,3,9,fullM3
2.19824158875781e-14,1,3,10,fullM3
2.531308496145357e-14,1,3,11,fullM3
3.3084646133829665e-14,1,3,12,fullM3
3.6193270602780103e-14,1,3,13,fullM3
4.440892098500626e-14,1,3,14,fullM3
4.6629367034256575e-14,1,3,15,fullM3
4.9960036108132044e-14,1,3,16,fullM3
5.773159728050814e-14,1,3,17,fullM3
5.950795411990839e-14,1,3,18,fullM3
6.217248937900877e-14,1,3,19,fullM3
6.750155989720952e-14,1,3,20,fullM3
6.572520305780927e-14,1,3,21,fullM3
6.816769371198461e-14,1,3,22,fullM3
7.460698725481052e-14,1,3,23,fullM3
7.460698725481052e-14,1,3,24,fullM3
7.482903185973555e-14,1,3,25,fullM3
7.749356711883593e-14,1,3,26,fullM3
7.682743330406083e-14,1,3,27,fullM3
7.527312106958561e-14,1,3,28,fullM3
7.394085344003543e-14,1,3,29,fullM3
7.260858581048524e-14,1,3,30,fullM3
7.771561172376096e-14,1,3,31,fullM3
7.949196856316121e-14,1,3,32,fullM3
8.43769498715119e-14,1,3,33,fullM3
8.948397578478762e-14,1,3,34,fullM3
9.08162434143378e-14,1,3,35,fullM3
9.547918011776346e-14,1,3,36,fullM3
1.0014211682118912e-13,1,3,37,fullM3
1.0480505352461478e-13,1,3,38,fullM3
1.0902390101819037e-13,1,3,39,fullM3
1.1257661469699087e-13,1,3,40,fullM3
1.2012613126444194e-13,1,3,41,fullM3
1.247890679678676e-13,1,3,42,fullM3
1.283417816466681e-13,1,3,43,fullM3
1.3145040611561853e-13,1,3,44,fullM3
1.312283615106935e-13,1,3,45,fullM3
1.3300471835009375e-13,1,3,46,fullM3
1.3211653993039363e-13,1,3,47,fullM3
1.3444800828210646e-13,1,3,48,fullM3
1.34781075189494e-13,1,3,49,fullM3
1.3578027591165664e-13,1,3,50,fullM3
1.3655743202889425e-13,1,3,51,fullM3
1.3700152123874432e-13,1,3,52,fullM3
1.3389289676979388e-13,1,3,53,fullM3
1.3344880755994382e-13,1,3,54,fullM3
1.3211653993039363e-13,1,3,55,fullM3
1.291189377639057e-13,1,3,56,fullM3
1.2734258092450546e-13,1,3,57,fullM3
1.2151391004522338e-13,1,3,58,fullM3
1.1535217225855376e-13,1,3,59,fullM3
1.124100812432971e-13,1,3,60,fullM3
1.078026556911027e-13,1,3,61,fullM3
9.760248165235907e-14,1,3,62,fullM3
8.992806499463768e-14,1,3,63,fullM3
8.229528170033973e-14,1,3,64,fullM3
7.233796894823286e-14,1,3,65,fullM3
6.500355809180292e-14,1,3,66,fullM3
6.06736882957648e-14,1,3,67,fullM3
5.787037515858628e-14,1,3,68,fullM3
6.208922265216188e-14,1,3,69,fullM3
6.517009154549669e-14,1,3,70,fullM3
6.861178292183467e-14,1,3,71,fullM3
6.955547249276606e-14,1,3,72,fullM3
7.16093850883226e-14,1,3,73,fullM3
7.194245199571014e-14,1,3,74,fullM3
7.283063041541027e-14,1,3,75,fullM3
7.260858581048524e-14,1,3,76,fullM3
7.149836278586008e-14,1,3,77,fullM3
6.916689443414725e-14,1,3,78,fullM3
6.661338147750939e-14,1,3,79,fullM3
6.916689443414725e-14,1,3,80,fullM3
7.09432512735475e-14,1,3,81,fullM3
7.349676423018536e-14,1,3,82,fullM3
7.51620987671231e-14,1,3,83,fullM3
7.704947790898586e-14,1,3,84,fullM3
7.827072323607354e-14,1,3,85,fullM3
8.060219158778636e-14,1,3,86,fullM3
8.22675261247241e-14,1,3,87,fullM3
8.382183835919932e-14,1,3,88,fullM3
8.570921750106208e-14,1,3,89,fullM3
9.00390872971002e-14,1,3,90,fullM3
9.425793479067579e-14,1,3,91,fullM3
9.892087149410145e-14,1,3,92,fullM3
1.0291767438275201e-13,1,3,93,fullM3
1.0913492332065289e-13,1,3,94,fullM3
1.1257661469699087e-13,1,3,95,fullM3
1.1834977442504169e-13,1,3,96,fullM3
1.2279066652354231e-13,1,3,97,fullM3
1.290079154614432e-13,1,3,98,fullM3
1.3589129821411916e-13,1,3,99,fullM3
1.7763568394002505e-15,1,4,0,fullM3
7.771561172376096e-15,1,4,1,fullM3
1.3322676295501878e-14,1,4,2,fullM3
1.9539925233402755e-14,1,4,3,fullM3
2.6201263381153694e-14,1,4,4,fullM3
2.3314683517128287e-14,1,4,5,fullM3
2.19824158875781e-14,1,4,6,fullM3
1.9539925233402755e-14,1,4,7,fullM3
2.930988785010413e-14,1,4,8,fullM3
3.5416114485542494e-14,1,4,9,fullM3
4.474198789239381e-14,1,4,10,fullM3
5.184741524999481e-14,1,4,11,fullM3
6.117328865684613e-14,1,4,12,fullM3
6.850076061937216e-14,1,4,13,fullM3
7.793765632868599e-14,1,4,14,fullM3
8.759659664292485e-14,1,4,15,fullM3
9.370282327836321e-14,1,4,16,fullM3
1.0291767438275201e-13,1,4,17,fullM3
1.0169642905566434e-13,1,4,18,fullM3
1.0091927293842673e-13,1,4,19,fullM3
1.0169642905566434e-13,1,4,20,fullM3
1.031952301389083e-13,1,4,21,fullM3
1.0252909632413321e-13,1,4,22,fullM3
1.0236256287043943e-13,1,4,23,fullM3
9.880984919163893e-14,1,4,24,fullM3
9.875433804040767e-14,1,4,25,fullM3
9.413303470040546e-14,1,4,26,fullM3
9.453549054683208e-14,1,4,27,fullM3
9.27313781318162e-14,1,4,28,fullM3
8.89843754237063e-14,1,4,29,fullM3
8.498757253505573e-14,1,4,30,fullM3
8.565370634983083e-14,1,4,31,fullM3
8.132383655379272e-14,1,4,32,fullM3
8.298917109073045e-14,1,4,33,fullM3
8.72635297355373e-14,1,4,34,fullM3
8.909539772616881e-14,1,4,35,fullM3
9.259260025373806e-14,1,4,36,fullM3
9.814371537686384e-14,1,4,37,fullM3
1.0413891970983968e-13,1,4,38,fullM3
1.084687895058778e-13,1,4,39,fullM3
1.021405182655144e-13,1,4,40,fullM3
9.803269307440132e-14,1,4,41,fullM3
8.992806499463768e-14,1,4,42,fullM3
8.448797217397441e-14,1,4,43,fullM3
7.72715225139109e-14,1,4,44,fullM3
7.105427357601002e-14,1,4,45,fullM3
6.38378239159465e-14,1,4,46,fullM3
5.595524044110789e-14,1,4,47,fullM3
4.8405723873656825e-14,1,4,48,fullM3
4.318767565791859e-14,1,4,49,fullM3
4.157785227221211e-14,1,4,50,fullM3
4.1300296516055823e-14,1,4,51,fullM3
3.980149543281186e-14,1,4,52,fullM3
3.957945082788683e-14,1,4,53,fullM3
3.880229471064922e-14,1,4,54,fullM3
3.858025010572419e-14,1,4,55,fullM3
3.774758283725532e-14,1,4,56,fullM3
3.674838211509268e-14,1,4,57,fullM3
3.7969627442180354e-14,1,4,58,fullM3
4.196643033083092e-14,1,4,59,fullM3
4.163336342344337e-14,1,4,60,fullM3
4.579669976578771e-14,1,4,61,fullM3
4.574118861455645e-14,1,4,62,fullM3
4.7906123512575505e-14,1,4,63,fullM3
5.162537064506978e-14,1,4,64,fullM3
5.2735593669694936e-14,1,4,65,fullM3
5.562217353372034e-14,1,4,66,fullM3
5.440092820663267e-14,1,4,67,fullM3
5.1958437552457326e-14,1,4,68,fullM3
4.951594689828198e-14,1,4,69,fullM3
5.062616992290714e-14,1,4,70,fullM3
5.3734794391857577e-14,1,4,71,fullM3
6.061817714453355e-14,1,4,72,fullM3
6.772360450213455e-14,1,4,73,fullM3
7.283063041541027e-14,1,4,74,fullM3
7.571721027943568e-14,1,4,75,fullM3
8.359979375427429e-14,1,4,76,fullM3
9.114931032172535e-14,1,4,77,fullM3
1.0202949596305189e-13,1,4,78,fullM3
1.1235457009206584e-13,1,4,79,fullM3
1.1002310174035301e-13,1,4,80,fullM3
1.0957901253050295e-13,1,4,81,fullM3
1.1102230246251565e-13,1,4,82,fullM3
1.0969003483296547e-13,1,4,83,fullM3
1.0635936575909e-13,1,4,84,fullM3
1.0536016503692736e-13,1,4,85,fullM3
1.0436096431476471e-13,1,4,86,fullM3
1.0402789740737717e-13,1,4,87,fullM3
1.0402789740737717e-13,1,4,88,fullM3
1.028066520802895e-13,1,4,89,fullM3
1.028066520802895e-13,1,4,90,fullM3
1.0169642905566434e-13,1,4,91,fullM3
1.0025313912365164e-13,1,4,92,fullM3
9.758860386455126e-14,1,4,93,fullM3
9.492406860545088e-14,1,4,94,fullM3
9.814371537686384e-14,1,4,95,fullM3
9.969802761133906e-14,1,4,96,fullM3
9.869882688917642e-14,1,4,97,fullM3
9.681144774731365e-14,1,4,98,fullM3
9.592326932761353e-14,1,4,99,fullM3
2.220446049250313e-15,2,0,0,fullM3
1.6382728507124966e-14,2,0,1,fullM3
3.4626815303973046e-14,2,0,2,fullM3
5.2111093218343285e-14,2,0,3,fullM3
6.718584022458174e-14,2,0,4,fullM3
5.795364188543317e-14,2,0,5,fullM3
5.098005351200641e-14,2,0,6,fullM3
3.88786225435922e-14,2,0,7,fullM3
5.731526364627371e-14,2,0,8,fullM3
7.750744490664374e-14,2,0,9,fullM3
9.604816941788386e-14,2,0,10,fullM3
1.1712852909795402e-13,2,0,11,fullM3
1.366962099069724e-13,2,0,12,fullM3
1.6028844918025698e-13,2,0,13,fullM3
1.773026170326375e-13,2,0,14,fullM3
1.979527652906654e-13,2,0,15,fullM3
2.1402324357211455e-13,2,0,16,fullM3
2.294275880387886e-13,2,0,17,fullM3
2.327027459614328e-13,2,0,18,fullM3
2.3187007869296394e-13,2,0,19,fullM3
2.3342439092743916e-13,2,0,20,fullM3
2.3409052474221426e-13,2,0,21,fullM3
2.3236967905404526e-13,2,0,22,fullM3
2.3159252293680765e-13,2,0,23,fullM3
2.328692794151266e-13,2,0,24,fullM3
2.3131496718065137e-13,2,0,25,fullM3
2.2959412149248237e-13,2,0,26,fullM3
2.2648549702353193e-13,2,0,27,fullM3
2.2293278334473143e-13,2,0,28,fullM3
2.0650148258027912e-13,2,0,29,fullM3
1.9229062786507711e-13,2,0,30,fullM3
1.8474111129762605e-13,2,0,31,fullM3
1.6420198534206065e-13,2,0,32,fullM3
1.6719958750854857e-13,2,0,33,fullM3
1.6830981053317373e-13,2,0,34,fullM3
1.6275869541004795e-13,2,0,35,fullM3
1.6442402994698568e-13,2,0,36,fullM3
1.724176357242868e-13,2,0,37,fullM3
1.8074430840897548e-13,2,0,38,fullM3
1.8918200339612667e-13,2,0,39,fullM3
1.7275070263167436e-13,2,0,40,fullM3
1.4566126083082054e-13,2,0,41,fullM3
1.1812772982011666e-13,2,0,42,fullM3
9.370282327836321e-14,2,0,43,fullM3
6.128431095930864e-14,2,0,44,fullM3
5.112577028398846e-14,2,0,45,fullM3
4.884981308350689e-14,2,0,46,fullM3
7.416289804496046e-14,2,0,47,fullM3
9.015010959956271e-14,2,0,48,fullM3
9.992007221626409e-14,2,0,49,fullM3
1.1057821325266559e-13,2,0,50,fullM3
1.199040866595169e-13,2,0,51,fullM3
1.3522516439934407e-13,2,0,52,fullM3
1.56097357262297e-13,2,0,53,fullM3
1.723066134218243e-13,2,0,54,fullM3
1.8918200339612667e-13,2,0,55,fullM3
2.1005419625907962e-13,2,0,56,fullM3
2.3003821070233244e-13,2,0,57,fullM3
2.384759056894836e-13,2,0,58,fullM3
2.509104035652854e-13,2,0,59,fullM3
2.6334490144108713e-13,2,0,60,fullM3
2.7045032879868813e-13,2,0,61,fullM3
2.8554936193359026e-13,2,0,62,fullM3
2.8821389719269064e-13,2,0,63,fullM3
2.9665159217984183e-13,2,0,64,fullM3
3.1397107136399427e-13,2,0,65,fullM3
3.2018832030189515e-13,2,0,66,fullM3
3.3706371027619753e-13,2,0,67,fullM3
3.4150460237469815e-13,2,0,68,fullM3
3.5704772471945034e-13,2,0,69,fullM3
3.623767952376511e-13,2,0,70,fullM3
3.632649736573512e-13,2,0,71,fullM3
3.6770586575585185e-13,2,0,72,fullM3
3.703704010149522e-13,2,0,73,fullM3
3.623767952376511e-13,2,0,74,fullM3
3.659295089164516e-13,2,0,75,fullM3
3.694822225952521e-13,2,0,76,fullM3
3.597122599785507e-13,2,0,77,fullM3
3.6504133049675147e-13,2,0,78,fullM3
3.6148861681795097e-13,2,0,79,fullM3
3.907985046680551e-13,2,0,80,fullM3
4.147793219999585e-13,2,0,81,fullM3
4.4853010194856324e-13,2,0,82,fullM3
4.689582056016661e-13,2,0,83,fullM3
5.115907697472721e-13,2,0,84,fullM3
5.417888360170764e-13,2,0,85,fullM3
5.790923296444817e-13,2,0,86,fullM3
6.128431095930864e-13,2,0,87,fullM3
6.421529974431905e-13,2,0,88,fullM3
6.838973831690964e-13,2,0,89,fullM3
7.123190925995004e-13,2,0,90,fullM3
7.513989430663059e-13,2,0,91,fullM3
7.904787935331115e-13,2,0,92,fullM3
8.313350008393172e-13,2,0,93,fullM3
8.739675649849232e-13,2,0,94,fullM3
9.041656312547275e-13,2,0,95,fullM3
9.485745522397337e-13,2,0,96,fullM3
9.894307595459395e-13,2,0,97,fullM3
1.0338396805309458e-12,2,0,98,fullM3
1.0658141036401503e-12,2,0,99,fullM3
2.4424906541753444e-15,2,1,0,fullM3
1.1102230246251565e-15,2,1,1,fullM3
2.220446049250313e-15,2,1,2,fullM3
3.4416913763379853e-15,2,1,3,fullM3
4.440892098500626e-15,2,1,4,fullM3
5.162537064506978e-15,2,1,5,fullM3
3.1086244689504383e-15,2,1,6,fullM3
2.886579864025407e-15,2,1,7,fullM3
4.3298697960381105e-15,2,1,8,fullM3
2.6645352591003757e-15,2,1,9,fullM3
4.9960036108132044e-15,2,1,10,fullM3
6.994405055138486e-15,2,1,11,fullM3
7.216449660063518e-15,2,1,12,fullM3
7.771561172376096e-15,2,1,13,fullM3
7.771561172376096e-15,2,1,14,fullM3
9.103828801926284e-15,2,1,15,fullM3
7.216449660063518e-15,2,1,16,fullM3
6.661338147750939e-15,2,1,17,fullM3
6.328271240363392e-15,2,1,18,fullM3
7.549516567451064e-15,2,1,19,fullM3
8.104628079763643e-15,2,1,20,fullM3
