abs_lambda,case,frac_x,lambda_im,lambda_re,seed
1.0061923514732076,1,0.012837365663030322,0.08504088377961376,1.002592188404221,0
1.0061923514732076,1,0.012837365663030322,-0.08504088377961376,1.002592188404221,0
1.040076020336578,1,0.08223107478415684,0.0,1.040076020336578,0
1.0000024543521968,1,0.010776067274365789,0.06025816053948964,0.9981852848037855,0
1.0000024543521968,1,0.010776067274365789,-0.06025816053948964,0.9981852848037855,0
1.0075929896022446,1,0.313459293993927,0.013020483100674078,1.0075088583806169,0
1.0075929896022446,1,0.313459293993927,-0.013020483100674078,1.0075088583806169,0
1.0003046452020312,1,0.18076733976468423,0.013376289544544584,1.0002152058886038,0
1.0003046452020312,1,0.18076733976468423,-0.013376289544544584,1.0002152058886038,0
1.0038803492397959,1,0.006744942762922753,0.17072629882891133,0.9892564311026721,1
1.0038803492397959,1,0.006744942762922753,-0.17072629882891133,0.9892564311026721,1
1.0688807820305493,1,0.10806958382957285,0.0,1.0688807820305493,1
1.0116475375159193,1,0.0164882235147526,0.09431490589681302,1.0072414996850054,1
1.0116475375159193,1,0.0164882235147526,-0.09431490589681302,1.0072414996850054,1
1.0144913036170673,1,0.32068296642277305,0.004071115699353087,1.0144831349665795,1
1.0144913036170673,1,0.32068296642277305,-0.004071115699353087,1.0144831349665795,1
1.0001993395438888,1,0.02747734928991195,0.05222826181577356,0.9988347848827324,2
1.0001993395438888,1,0.02747734928991195,-0.05222826181577356,0.9988347848827324,2
1.0001298301512715,1,0.07500529632393306,0.028802627120524768,0.9997150023028399,2
1.0001298301512715,1,0.07500529632393306,-0.028802627120524768,0.9997150023028399,2
1.000221137969009,1,0.13048851895261993,0.0165915303455991,1.0000835194926523,2
1.000221137969009,1,0.13048851895261993,-0.0165915303455991,1.0000835194926523,2
1.0041384473421167,1,0.3479367343075198,0.0,1.0041384473421167,2
1.0031168189484325,1,0.0018908298189431994,0.3278346569294124,0.9480336440091126,3
1.0031168189484325,1,0.0018908298189431994,-0.3278346569294124,0.9480336440091126,3
1.0059587667956693,1,0.08322082310906401,0.06222531439277487,1.0040323952651051,3
1.0059587667956693,1,0.08322082310906401,-0.06222531439277487,1.0040323952651051,3
1.0048642237017213,1,0.2351561515031456,0.027529649784856083,1.0044870464363322,3
1.0048642237017213,1,0.2351561515031456,-0.027529649784856083,1.0044870464363322,3
1.0010433459863517,1,0.29223553197399177,0.011932955538667805,1.000972219952014,3
1.0010433459863517,1,0.29223553197399177,-0.011932955538667805,1.000972219952014,3
1.0056644642135013,1,0.5680792802029246,0.0,1.0056644642135013,3
1.0027842851636077,1,0.3081375544304731,0.011440358531172175,1.0027190238385657,4
1.0027842851636077,1,0.3081375544304731,-0.011440358531172175,1.0027190238385657,4
1.0412594403190194,2,0.6795658010173108,0.0,1.0412594403190194,0
1.0267876203574746,2,0.8968777356110403,0.0,1.0267876203574746,0
1.0170576791838823,2,0.5868114838750644,0.005739462407226909,1.0170414845807327,0
1.0170576791838823,2,0.5868114838750644,-0.005739462407226909,1.0170414845807327,0
1.0160299607306187,2,0.5620926084659125,0.0,1.0160299607306187,0
1.0053286356105142,2,0.40512631613105426,0.0,1.0053286356105142,0
1.0452898144552571,2,0.5924202681417148,0.0,1.0452898144552571,1
1.0358992697725118,2,0.729498922660015,0.0,1.0358992697725118,1
1.01654032216788,2,0.41823000444666986,0.0,1.01654032216788,1
1.000886817075337,2,0.04067365279389964,0.03322536984895046,1.0003351915201224,1
1.000886817075337,2,0.04067365279389964,-0.03322536984895046,1.0003351915201224,1
1.004793891564584,2,0.23469742696748772,0.007323202144549914,1.00476720449856,1
1.004793891564584,2,0.23469742696748772,-0.007323202144549914,1.00476720449856,1
1.004804493681383,2,0.37487127472458465,0.0,1.004804493681383,1
1.0007953704994519,2,0.11570212099156041,0.012684675287732731,1.000714980714279,1
1.0007953704994519,2,0.11570212099156041,-0.012684675287732731,1.000714980714279,1
1.008972239598799,2,0.001008636099282069,0.5844171664422062,0.8224849882208666,2
1.008972239598799,2,0.001008636099282069,-0.5844171664422062,0.8224849882208666,2
1.0036959595321655,2,0.0008133138699060727,0.5523078538354561,0.8380701723440984,2
1.0036959595321655,2,0.0008133138699060727,-0.5523078538354561,0.8380701723440984,2
1.0128824766813647,2,0.0015789558639298703,0.3871844436461086,0.9359589297435162,2
1.0128824766813647,2,0.0015789558639298703,-0.3871844436461086,0.9359589297435162,2
1.026143612230004,2,0.6859943372916552,0.0,1.026143612230004,2
1.0291757815664302,2,0.49235334950018017,0.009355503315684017,1.0291332585824746,2
1.0291757815664302,2,0.49235334950018017,-0.009355503315684017,1.0291332585824746,2
1.0005081439322987,2,0.023796702173023532,0.0503897947756387,0.9992384173245754,2
1.0005081439322987,2,0.023796702173023532,-0.0503897947756387,0.9992384173245754,2
1.000948995662667,2,0.024857827483212747,0.03629023857988886,1.00029091293579,2
