cap,cost,failed,finite,max_abs_u,oracle_lqr_cost,ratio_to_oracle,saturation_frac,target,wall_s
5,262.26613972609545,False,True,48.326309343587326,63.101535477958194,4.156256067932085,0.00018333333333333334,true,6.594178915023804
5,22574.546440954204,False,True,49.6704697890468,63.101535477958194,357.7495582312676,0.060316666666666664,M3,13.535507678985596
20,161.01902789525465,False,True,41.149814132669945,63.101535477958194,2.551745003915154,0.0,true,39.61286234855652
20,19171.876292233264,False,True,49.88674893726666,63.101535477958194,303.82582843693456,0.04045,M3,76.58884811401367
50,91.46568852463962,False,True,46.63022108283788,63.101535477958194,1.4495002036295808,0.0,true,72.8319501876831
50,17756.76431804441,False,True,49.87933662056133,63.101535477958194,281.399876937178,0.034166666666666665,M3,141.2282907962799
100,65.50386346889171,False,True,47.79854183760905,63.101535477958194,1.0380708325516526,5e-05,true,142.23231482505798
100,9855.712195444892,False,True,49.75063061002514,63.101535477958194,156.18815169541415,0.014116666666666666,M3,275.15589904785156
200,64.45736752402529,False,True,48.54438093868675,63.101535477958194,1.0214865143264333,0.00018333333333333334,true,391.90854048728943
200,17802.12542929159,False,True,49.735986817602566,63.101535477958194,282.1187360093638,0.009016666666666666,M3,757.5531425476074
