case,cost,cost_ratio_to_oracle,final_norm,finite,init_norm,max_abs_u,max_norm,oracle,oracle_lqr_cost,seed
1,18.591724890593962,1.0047734416933594,0.000805314419880752,True,6.989096561487128,34.570524034521256,10.274219830827928,M0,18.503399989614632,0
1,18.590166919634978,1.004689242521323,0.0007951319332791886,True,6.989096561487128,34.0835475979104,10.274219830827928,M0,18.503399989614632,1
1,18.58178035064568,1.0042359977666289,0.0008308425710180446,True,6.989096561487128,34.44326539383693,10.274219830827928,M0,18.503399989614632,2
2,38609.51589722166,52.223904306359394,99.77814752619608,True,6.692783665537256,49.99905782225246,1141.222694963947,M0,739.3073422991876,0
2,30438.257294535557,41.17131746571727,89.27690968837112,True,6.692783665537256,49.99812897378785,845.666926397716,M0,739.3073422991876,1
2,27219.486553051473,36.817552045947515,85.66216834418276,True,6.692783665537256,49.993383332163134,896.8421012920124,M0,739.3073422991876,2
3,64.45737514742642,1.0214866351380916,0.07171336666043956,True,6.9578749943897575,48.54436664081023,10.441893949571565,M0,63.101535477958194,0
3,64.48593068315473,1.0219391682739656,0.05224815172985939,True,6.9578749943897575,48.18304414031856,10.441893949571565,M0,63.101535477958194,1
3,64.45771777229807,1.021492064877147,0.05995317480292203,True,6.9578749943897575,48.54914696816118,10.441893949571565,M0,63.101535477958194,2
4,53.781120190432695,1.0647580967257815,0.003232925828361881,True,6.916377401178031,49.92326081667973,10.93622730744508,M0,50.5101772466573,0
4,53.68446713858589,1.0628445605412848,0.0010211525979637833,True,6.916377401178031,49.9147639593089,11.035390678659741,M0,50.5101772466573,1
4,53.70754908961794,1.063301536784297,0.00184982570557589,True,6.916377401178031,49.92967211332064,10.873394254146392,M0,50.5101772466573,2
5,16706.744227034887,48.619588468058296,48.84217222453529,True,6.822555499661363,49.999245324470756,1022.7957029053781,M0,343.62167088293535,0
5,11541.250062727177,33.58708440323904,33.16963257635633,True,6.822555499661363,49.99884086712127,856.4620488946115,M0,343.62167088293535,1
5,14342.899934580064,41.740382373806646,42.990505697902584,True,6.822555499661363,49.99941834023893,897.9068096056512,M0,343.62167088293535,2
6,2063014778.6848135,13029551.320171816,20880.747351304417,True,6.972093995846926,49.99999991987339,295474.94997283776,M0,158.33352415527455,0
6,682772725.8486582,4312243.597755562,9917.967639390703,True,6.972093995846926,49.99999958373634,239210.69649148567,M0,158.33352415527455,1
6,3038068495.080642,19187777.896620736,24151.937431853927,True,6.972093995846926,49.99999929899595,378424.06584107946,M0,158.33352415527455,2
7,28.94439949772349,1.0040513336931247,0.2636431525650604,True,6.927963927533026,35.04104991911828,10.23658630853036,M0,28.82760923314502,0
7,28.95430688555148,1.0043950107475714,0.2636520992677254,True,6.927963927533026,36.119493004368806,10.23658630853036,M0,28.82760923314502,1
7,28.931431995100315,1.0036015044159792,0.26351617709974057,True,6.927963927533026,36.100213676162255,10.23658630853036,M0,28.82760923314502,2
1,18.59172489059392,1.004773441693357,0.0008053144198801724,True,6.989096561487128,34.57052403452382,10.274219830827928,M1,18.503399989614632,0
1,18.590166919634928,1.00468924252132,0.0007951319332785645,True,6.989096561487128,34.08354759791267,10.274219830827928,M1,18.503399989614632,1
1,18.581780350645644,1.0042359977666269,0.0008308425710175568,True,6.989096561487128,34.44326539383879,10.274219830827928,M1,18.503399989614632,2
2,38609.51589717822,52.22390430630064,99.77814752613648,True,6.692783665537256,49.99905782225245,1141.2226949631709,M1,739.3073422991876,0
2,30438.257294527357,41.17131746570618,89.27690968835459,True,6.692783665537256,49.99812897378783,845.6669263971439,M1,739.3073422991876,1
2,27219.486552946077,36.81755204580495,85.66216834403899,True,6.692783665537256,49.99338333216316,896.8421012837457,M1,739.3073422991876,2
3,64.45737514742645,1.021486635138092,0.07171336666040964,True,6.9578749943897575,48.544366640810125,10.441893949571565,M1,63.101535477958194,0
3,64.48593068315476,1.021939168273966,0.052248151729834186,True,6.9578749943897575,48.18304414031858,10.441893949571565,M1,63.101535477958194,1
3,64.45771777229803,1.0214920648771464,0.059953174802901694,True,6.9578749943897575,48.54914696816115,10.441893949571565,M1,63.101535477958194,2
