b_own,b_transfer,case,finite,n_unstable,ratio_transfer,rho_own,rho_transfer,seed,teacher_mse
0.002515189533339663,0.0,1,True,4,34.935164181888624,0.9995679324407438,1.0085150044333737,0,1.289810382202987e-06
0.0018232726227213353,0.0,1,True,1,15.009751467260452,0.9991457930998646,1.0036142172722993,1,5.203334241224692e-06
0.027875415771711067,0.0,1,True,0,10.294265238453217,0.9994619691158779,1.0024409407065251,2,1.1187257669652877e-06
0.0015867675717348374,0.0010556164405079948,1,True,3,6.5160173451302335,0.9997895449112196,0.9998115775057542,3,4.432604203537472e-06
0.0014571370811592326,0.0,1,True,2,18.306000631046007,0.9997874823569174,1.0047616101113463,4,1.8349328881606359e-06
0.0018636802574905618,0.0,2,True,1,77310.02617324938,0.9994051508693191,1.0411005308094807,0,7.319479619071236e-05
0.009558263763835118,0.0,2,True,2,30363.421290349663,0.9998859240726077,1.0386004293851387,1,0.0002127606904493005
0.0004289127827925812,0.0,2,True,3,46375.43627937349,0.9995489091465019,1.0398142179146426,2,8.293094590963414e-06
0.000980242017223492,0.0,2,True,2,182383.65241012615,0.9996377713767965,1.0437309777828498,3,9.04058962452272e-06
0.0010089246390803067,0.0,2,True,3,5709.393268194707,0.9998846655241254,1.0297747732257159,4,7.214641150187444e-05
0.0002445376339270173,0.0,3,True,15,310.95523209732914,0.9999535865012359,1.0178667590836927,0,1.5223776234260867e-05
0.0007831922065007925,0.0,3,True,13,1145.4702819613597,0.9996971411150022,1.0218061730570223,1,3.638280553899517e-06
0.001494057759809848,0.0,3,True,1,263.38888690058053,0.9992298498256871,1.0162810623357577,2,5.093712282914781e-05
0.0009365596736268703,0.0,3,True,7,638.5262015643796,0.9996701854297112,1.0201435166153194,3,1.3253875267955575e-05
0.00010157886279057492,0.0,3,True,7,830.6615635279857,0.9998597684776518,1.019832969915484,4,6.976164715717944e-06
0.00026191009225860507,0.0,4,True,12,202130.25755869702,0.9999080086425631,1.031755905139769,0,1.797573936130368e-05
0.0018248806887567813,0.0,4,True,2,52141.53732052458,0.9997114539785397,1.0256228294854384,1,0.00028843046017107594
0.0025073416359434205,0.0,4,True,3,1205163.2083960166,0.9993563681861113,1.0410690280822845,2,1.0079372498226123e-05
0.0003137516991898953,0.0,4,True,5,112241.09827670058,0.9997875621507827,1.0259421921572838,3,3.808321417914399e-05
0.00041753500473939417,0.0,4,True,7,45554.54900303471,0.9996488334026074,1.0284272046643075,4,1.4020040338613571e-05
4.7769586294574985e-05,0.0,5,True,6,833464.1644874851,0.9998396118067181,1.0444667456321268,0,1.8868928416210345e-05
0.0001617940885335668,0.0,5,True,2,945074.625274846,0.9996891901788707,1.0436866947722265,1,5.264497049692771e-05
0.0010799779603141507,0.0,5,True,4,55319.24065131133,0.9996309771660741,1.0375444037766217,2,4.4104710762223335e-06
0.00037967290809665116,0.0,5,True,5,993127.4322953112,0.9998482305269366,1.043664396977294,3,3.573378940960881e-05
0.013595822836218975,0.0,5,True,2,31010.968863794522,0.9991598483425381,1.0365721502051068,4,1.1391665937704826e-05
0.00017931643422462474,0.0,7,True,2,493.1854273245139,0.9997896651828888,1.0134208873646657,0,3.240739030680251e-05
0.003517589900076427,0.0,7,True,3,2136.6897012895047,0.9993085130829633,1.0244901003403462,1,0.00010914786621097115
0.012823788869132194,0.0,7,True,0,1397.222303178239,0.9992498707019389,1.0212770106460758,2,3.2838750370039094e-05
0.012565943468625745,0.0,7,True,1,710.938552287123,0.9992671684303168,1.018899683813455,3,1.089241240263385e-05
0.0042881274043635904,0.0,7,True,2,2917.05982895785,0.999425534732694,1.022584294292505,4,2.323681420775927e-06
