case,cond_R_BtPB,dim,rel_residual,rho_design,seed,variant
5,1.0263523978139413,1030,1.4289120559838653e-13,0.9989860153228378,1,M0_S4
5,1.0263523978139728,1030,4.572722999316173e-14,0.9975438034988952,2,M0_S4
5,1.026352397814006,1030,1.1111310282332326e-13,0.998858240395777,3,M0_S4
5,1.02635239781402,1030,1.6564594596482078e-13,0.9986537429746287,4,M0_S4
7,1.0175474555514619,1030,3.517261282121641e-12,0.9986568320269751,0,M0_S4
7,1.0175474555515416,1030,1.3423668211988973e-12,0.998562037956332,1,M0_S4
7,1.0175474555515422,1030,1.106578723478226e-12,0.998482225128699,2,M0_S4
7,1.0175474555515758,1030,3.906076336900685e-12,0.9985144281160094,3,M0_S4
7,1.0175474555515354,1030,4.071411293472995e-12,0.9987381094611021,4,M0_S4
1,1.1490456103362954,1030,8.675499243847909e-15,0.9993392936463358,0,fullM3_axszeroed
1,1.1979131043450508,1030,9.407721706548728e-15,0.9986992601679838,1,fullM3_axszeroed
1,1.1435744988402845,1030,1.835916729673553e-14,0.9991719773627876,2,fullM3_axszeroed
1,1.2122307762816666,1030,4.496553170374516e-14,0.99984825846151,3,fullM3_axszeroed
1,1.0297749163857988,1030,5.182064650245914e-15,0.9995685749082257,4,fullM3_axszeroed
2,1.0152887293418629,1030,6.460122702004257e-15,0.9998811364521016,0,fullM3_axszeroed
2,1.0094909955444062,1030,6.8541595476836884e-15,0.9993047036045977,1,fullM3_axszeroed
2,1.4000986777246207,1030,7.964546526824474e-14,0.9987712218926742,2,fullM3_axszeroed
2,1.0375125744928453,1030,1.3921597764199782e-14,0.9994968910601363,3,fullM3_axszeroed
2,1.0459380761814665,1030,4.391889174680541e-15,0.9998704055745459,4,fullM3_axszeroed
3,1.0749369279389382,1030,1.5100633857917647e-14,0.9993142411277365,0,fullM3_axszeroed
3,1.0931705178313602,1030,6.3127047854223294e-15,0.9992341100645844,1,fullM3_axszeroed
3,1.0129344790435437,1030,8.102620086483113e-15,0.9991338297504577,2,fullM3_axszeroed
3,1.0729680308176492,1030,4.203512975919483e-15,0.9998532548617586,3,fullM3_axszeroed
3,1.1703298725824267,1030,2.8202980901596543e-14,0.9994212256759937,4,fullM3_axszeroed
4,1.1569964613472854,1030,5.3213279823908314e-14,0.9992008289088838,0,fullM3_axszeroed
4,1.018935475408933,1030,6.936953223318327e-15,0.9998343810242408,1,fullM3_axszeroed
4,1.1076401128194182,1030,1.844105127865199e-14,0.9987435227672994,2,fullM3_axszeroed
4,1.1356631838963234,1030,8.945278971206683e-15,0.9992471167509868,3,fullM3_axszeroed
