case,cost_ratio,finite,gain_diff_rel,label,rho,seed
1,1.010658905458886,True,1.7455114712541089,M3_B320,0.9994254060931101,0
1,1.005097719915498,True,4.812285367420433,M3_B320,0.9991129997490996,1
1,1.0060184725055537,True,1.657528500087236,M3_B320,0.9993902301308012,2
1,1.00507557548118,True,3.9894966661560725,M3_B320,0.999906601708662,3
1,1.0056904617490945,True,0.9955346708793115,M3_B320,0.9996157661208955,4
2,1.3547433928111914,True,0.9685432862462554,M3_B320,0.9992500385240944,0
2,920.6281755861432,True,0.9724776276932877,M3_B320,1.0231433840331625,1
2,39.52890588178455,True,1.8391425818951823,M3_B320,1.0147415961610389,2
2,1.2135561063081897,True,1.0160360384214668,M3_B320,0.9994620018886422,3
2,1.5167200813860893,True,0.9461175892518355,M3_B320,1.0016550900101409,4
3,1.0085707368956156,True,0.78723968010805,M3_B320,0.9997948295928113,0
3,1.0097412927272331,True,1.0419223379406646,M3_B320,0.9994705478663851,1
3,1.0065832431887305,True,0.9654570966443359,M3_B320,0.9995911547907066,2
3,1.0067664766132274,True,0.9139157653971467,M3_B320,0.9999749675147556,3
3,1.0052898474235867,True,2.235165684319383,M3_B320,0.9998492268280846,4
4,1.0343110821251078,True,2.164086952575335,M3_B320,0.9999525452738293,0
4,1.0471272003337049,True,0.9257847926788202,M3_B320,0.9989365044994201,1
4,1.040358333235438,True,1.1174588349985617,M3_B320,0.9993157095260282,2
4,1.0230085387049406,True,1.4315961519551441,M3_B320,0.9993658459223816,3
4,1.10889582602235,True,0.9798131812204254,M3_B320,0.9992095405828866,4
5,8.03282791657269,True,1.196740955878841,M3_B320,1.0007595219429484,0
5,2.5225842328702504,True,1.0133388550150557,M3_B320,1.0046445443199499,1
5,1.2114055427618162,True,0.8962149050794443,M3_B320,0.9982109197994915,2
5,20459541.048439488,True,0.9997072862936937,M3_B320,1.0470830284291115,3
5,1.6620443837224455,True,0.9988831229743594,M3_B320,1.0035115913545758,4
7,1.005785190844974,True,0.8576019529140689,M3_B320,0.9994392253952669,0
7,1.0054850151331314,True,2.3743452591683054,M3_B320,0.9993608793651416,1
7,1.0052787123105535,True,0.9155085608404148,M3_B320,0.9993200133241594,2
7,1.0068733545239625,True,11.36033361956343,M3_B320,0.9993816160811646,3
7,1.0054218620970443,True,0.9665015051721977,M3_B320,0.9994362357403682,4
1,1.005000000000001,True,None,M1,0.9546564246190881,0
1,1.005000000000001,True,None,M1,0.9546564246190881,1
1,1.005000000000001,True,None,M1,0.9546564246190881,2
1,1.005000000000001,True,None,M1,0.9546564246190881,3
1,1.005000000000001,True,None,M1,0.9546564246190881,4
2,1.0049999999998598,True,None,M1,0.9933836889767599,0
2,1.0049999999998598,True,None,M1,0.9933836889767599,1
2,1.0049999999998598,True,None,M1,0.9933836889767599,2
2,1.0049999999998598,True,None,M1,0.9933836889767599,3
2,1.0049999999998598,True,None,M1,0.9933836889767599,4
3,1.004999999999999,True,None,M1,0.9729057515245336,0
3,1.004999999999999,True,None,M1,0.9729057515245336,1
3,1.004999999999999,True,None,M1,0.9729057515245336,2
3,1.004999999999999,True,None,M1,0.9729057515245336,3
3,1.004999999999999,True,None,M1,0.9729057515245336,4
4,1.005,True,None,M1,0.9477829878361324,0
4,1.005,True,None,M1,0.9477829878361324,1
4,1.005,True,None,M1,0.9477829878361324,2
4,1.005,True,None,M1,0.9477829878361324,3
4,1.005,True,None,M1,0.9477829878361324,4
5,1.0049999999999752,True,None,M1,0.9880976154265947,0
5,1.0049999999999752,True,None,M1,0.9880976154265947,1
5,1.0049999999999752,True,None,M1,0.9880976154265947,2
5,1.0049999999999752,True,None,M1,0.9880976154265947,3
5,1.0049999999999752,True,None,M1,0.9880976154265947,4
7,1.0050000000000046,True,None,M1,0.988903618936451,0
7,1.0050000000000046,True,None,M1,0.988903618936451,1
7,1.0050000000000046,True,None,M1,0.988903618936451,2
7,1.0050000000000046,True,None,M1,0.988903618936451,3
7,1.0050000000000046,True,None,M1,0.988903618936451,4
1,1.0050000000000012,True,2.4680424469920496e-12,M0_S4,0.9987565237111563,0
1,1.0050000000000012,True,2.878637111780921e-12,M0_S4,0.9982148263578012,1
1,1.0050000000000012,True,1.270407851244122e-12,M0_S4,0.9985907567783036,2
1,1.0050000000000012,True,3.122548929731743e-12,M0_S4,0.9988425254422308,3
1,1.0050000000000012,True,2.148833237960677e-12,M0_S4,0.998857967556855,4
2,1.0049999999999981,True,1.1818523406182352e-12,M0_S4,0.9989171868560112,0
2,1.0049999999999981,True,2.6868677458422677e-12,M0_S4,0.9985477511311396,1
2,1.0049999999999981,True,1.451104218671779e-12,M0_S4,0.9983007163397151,2
2,1.0049999999999981,True,1.109786451125913e-12,M0_S4,0.9982825490403733,3
2,1.0049999999999981,True,1.9671492222121716e-12,M0_S4,0.9989143212729745,4
3,1.0049999999999986,True,1.59734451895527e-12,M0_S4,0.9989472294238306,0
3,1.0049999999999986,True,9.480056856909736e-13,M0_S4,0.9986538791235346,1
3,1.0049999999999986,True,1.5909879999401146e-12,M0_S4,0.9982168666933666,2
3,1.0049999999999986,True,8.265240562405147e-13,M0_S4,0.9989839973522894,3
3,1.0049999999999986,True,1.6421154259313214e-12,M0_S4,0.9988177424464315,4
4,1.0049999999999981,True,2.8733230663621554e-12,M0_S4,0.9989179554524086,0
4,1.0049999999999981,True,1.4214261541463732e-12,M0_S4,0.9984557271204261,1
4,1.0049999999999981,True,1.7344128083753775e-12,M0_S4,0.9980427494937829,2
4,1.0049999999999981,True,1.2812376358176248e-12,M0_S4,0.9985995453050498,3
4,1.0049999999999981,True,8.242453880802118e-13,M0_S4,0.9989312366116974,4
5,1.0049999999999963,True,2.3619743797627884e-12,M0_S4,0.9988644531520591,0
5,1.0049999999999963,True,1.1994887728534232e-12,M0_S4,0.9989860153228384,1
5,1.0049999999999963,True,1.0988833643416891e-12,M0_S4,0.9975438034989116,2
5,1.0049999999999963,True,1.2538673811580035e-12,M0_S4,0.9988582403957078,3
5,1.0049999999999963,True,7.127562580446297e-13,M0_S4,0.9986537429745621,4
7,1.0049999999999986,True,4.799230409251512e-12,M0_S4,0.9986568320269741,0
