cap,case,cost,cost_ratio_to_oracle,finite,seed,variant
5,1,1538.227510291081,83.13215469343142,True,0,M3
5,1,1564.1508921709624,84.53316109735889,True,1,M3
5,1,2492.2728098335306,134.69269492268253,True,2,M3
5,1,244.58571523506305,13.21842014831551,True,3,M3
5,1,910.047587440171,49.18272252402,True,4,M3
5,2,39730614.45721375,53740.3217634153,True,0,M3
5,2,46427645.47278882,62798.84266860181,True,1,M3
5,2,18575387.953291144,25125.39358194814,True,2,M3
5,2,47101406.59537423,63710.18370910881,True,3,M3
5,2,12901230.365102205,17450.429107034695,True,4,M3
5,3,23610.313551085255,374.16385151725035,True,0,M3
5,3,34017.88973106472,539.0976538589526,True,1,M3
5,3,21675.450901095235,343.5011642254985,True,2,M3
5,3,4332.18648284257,68.65421657379213,True,3,M3
5,3,20058.435035333692,317.87554587067444,True,4,M3
5,4,23119106.774030708,457711.85203197243,True,0,M3
5,4,4360177.177366238,86322.74553451085,True,1,M3
5,4,2847649.7769957753,56377.74270895534,True,2,M3
5,4,5874316.025972654,116299.65179663687,True,3,M3
5,4,3009627.9859987805,59584.58572223589,True,4,M3
5,5,432567080.5111433,1258846.9155617075,True,0,M3
5,5,381962419.0698063,1111578.3765568524,True,1,M3
5,5,566773165.8690238,1649410.424007022,True,2,M3
5,5,88502559.1969433,257558.14227180756,True,3,M3
5,5,101380642.60078777,295035.6487711918,True,4,M3
5,7,67240.04256605709,2332.487651759437,True,0,M3
5,7,14782.56282864767,512.7918416367035,True,1,M3
5,7,3072.7304922176095,106.58984820304443,True,2,M3
5,7,5247.486005774161,182.02987154900023,True,3,M3
5,7,55113.72566656358,1911.8382388504026,True,4,M3
20,1,8168.401410919432,441.45407954776397,True,0,M3
20,1,1366.8235135749837,73.86877624340057,True,1,M3
20,1,1384.8473847278415,74.84286052861161,True,2,M3
20,1,441.9872683065939,23.886813696653977,True,3,M3
20,1,363.7160739495904,19.656715747037442,True,4,M3
