ass_norm,asx_norm,axs_norm,case,has_latent,kappa_max,kappa_median,label,lambda_re_max,lambda_re_median,n_near_circle_ass,n_unstable_axx,non_normality_ass,seed,step_max,step_median,step_min
31.11544348487816,0.6735249944333509,19.11780292219927,1,True,3284699556117592.5,5816267267224.144,M3_B1,-0.0001,-0.538535626719763,316,1,0.006638770695169962,0,0.08426701291667078,0.013260439167451295,0.0013817463585561178
31.028598612114042,0.7981354824960079,13.97244942790308,1,True,7460352570432891.0,6451588225971.683,M3_B1,-0.0001,-0.5573584729961565,262,1,0.0072088028866155104,1,0.11604147056219914,0.019097935247012907,0.0016684149682407792
31.251623139915385,0.5083635377505468,10.485237370418712,1,True,1090327736279646.0,15954688466915.8,M3_B1,-0.0001,-0.5332018057071402,256,1,0.007091807357908377,2,0.043729856172153074,0.013910105689575882,0.0013942561683389326
31.441926206261712,0.3492280900961103,23.323873952727386,1,True,4157367226301063.0,8385017873398.609,M3_B1,-0.0001,-0.507998354975131,608,1,0.0052882399655691465,3,0.044635479018997476,0.0027392277372060986,0.001
31.244115870503652,0.5306270967072497,18.99627694039213,1,True,1617944566991767.2,9509372085464.977,M3_B1,-0.0001,-0.5143760665154025,346,0,0.006830752629463532,4,0.08034118891781741,0.007816079746066955,0.0010519399463520044
31.205488681479455,0.563694944025029,30.300138139799035,2,True,680771776438144.5,12921375605972.531,M3_B1,-0.0001,-0.5035006644982087,358,0,0.0068954386076269004,0,0.09380241772408865,0.006167309230964349,0.0012640092884478587
31.24995141500286,0.48401530896520395,17.434343734805093,2,True,529780722069770.0,11426417724099.54,M3_B1,-0.0001,-0.5000350149023334,240,0,0.007432481232763981,1,0.0606592425766445,0.013143336566736802,0.0013015211431589703
31.167357040812128,0.518262622157226,22.829695339834508,2,True,1383944497853269.2,14226570936600.969,M3_B1,-0.0001,-0.5280899665214978,298,1,0.006885992247215131,2,0.06463048689029627,0.010932177276257535,0.0016540086278303092
31.27882143874166,0.4317616835801406,16.764186624753847,2,True,9685401590143170.0,15020308496542.05,M3_B1,-0.0001,-0.5218298929175433,364,0,0.006649293792780593,3,0.08872600447701463,0.008443890038425501,0.0014716516069200975
31.204022018227406,0.47125459450846713,25.13577734548426,2,True,2408015930401005.5,11653610739303.234,M3_B1,-0.0001,-0.5243097796587615,314,0,0.006673602706300729,4,0.07348658591955402,0.01067392174179179,0.001
31.176007336648127,0.685608014335783,15.328969675278435,3,True,668919180470871.1,12238721259861.59,M3_B1,-0.0001,-0.5330955728171116,266,0,0.006801935822287774,0,0.11049381057072184,0.016666661498700327,0.0011211617130998492
31.317893809162804,0.4071686353751332,20.687110236824733,3,True,3107849259703603.5,13016876068028.498,M3_B1,-0.0001,-0.5009190158521554,394,1,0.006481694153851794,1,0.04624843730519037,0.005952998549836186,0.0011145925362870375
31.22686544261077,0.6017043287797621,13.149182585183246,3,True,955258556307505.6,11611790856077.166,M3_B1,-0.0001,-0.49850612547048506,260,0,0.0072680235236620375,2,0.07615671701075524,0.010607563191054133,0.001885734807932767
31.150350205184658,0.5577175612577955,20.887824534090928,3,True,1.1734050159478404e+16,15111194202895.162,M3_B1,-0.0001,-0.5221251933783413,352,0,0.006531182099260973,3,0.08731620589662492,0.011058759389167068,0.001
31.18466280806588,0.5480004316270848,29.47463230572428,3,True,1500225579291503.0,8413929464836.527,M3_B1,-0.0001,-0.5049247759603959,356,1,0.006584889437763053,4,0.06277512286362723,0.011551756912191156,0.0011354637713537007
