b,case,finite_cold,finite_warm,ratio_cold,ratio_warm,rho,s_warm_norm,seed
0.0,1,True,True,2344644.2933849995,6394839.255785143,1.040076020336573,14.304729154463693,0
0.0,1,True,True,222266156314.5641,271535997803.32037,1.06888078203054,11.330528343785607,1
0.0,1,True,True,11.141673582755141,19.1550572343065,1.004138447342123,11.847283201737817,2
0.0,1,True,True,32.90121798869984,61.07062086026001,1.005958766795665,7.087642736275849,3
0.0,1,True,True,11.209360912245709,13.753125507148729,1.002784285163616,13.072243230752534,4
0.0,2,True,True,70505.6360381272,71939.47140729726,1.0412594403190263,22.80529946885458,0
0.0,2,True,True,193163.50243909433,3408173.1620108956,1.0452898144552663,20.477496804584067,1
0.0,2,True,True,31126.7890352791,137382.55584004553,1.0291757815664335,27.72721596960603,2
0.0,2,True,True,740610.0403630591,3959042.0370491673,1.04689706075668,16.166757945608182,3
0.0,2,True,True,37094.986034482885,274495.1907150304,1.0404250916558706,17.522188423516305,4
0.0,3,True,True,441.4418343651622,482.3108583255304,1.0167688151840082,14.68863487256868,0
0.0,3,True,True,752.4568499283666,1371.1484732883596,1.0202333984969523,9.07820417578224,1
0.0,3,True,True,310.93542288744516,726.0660339483404,1.0177132681415362,11.73211901641585,2
0.0,3,True,True,76.55757780394367,122.27757911532409,1.013896151094343,12.331252913629,3
0.0,3,True,True,298.4773880322396,307.1075657944119,1.0153944788919027,14.619072844278405,4
0.0,4,True,True,1578484.4509669528,7333200.695111553,1.0346581595950035,33.495657409652345,0
0.0,4,True,True,61848.76392815933,130507.31095325096,1.0285543589215442,30.620078981413716,1
0.0,4,True,True,493059.95390691445,2006570.1080157314,1.0371274262548753,41.455714343030955,2
0.0,4,True,True,5190724904.510545,61115653486.59994,1.0613802752871253,31.326246021151125,3
0.0,4,True,True,42043.415976191194,249870.32768278377,1.028633966617798,26.144907473479456,4
0.0,5,True,True,9670880180066.307,360439420319085.06,1.0850570953011471,26.00617815465902,0
0.0,5,True,True,1082977.0187909403,4803203.231947758,1.0466521521598078,21.85894963110489,1
0.0,5,True,True,1263.934192282965,1285.130298157732,1.0247240705600742,21.1739244585958,2
0.0,5,True,True,887.0942774287149,1344.9880506956592,1.022949149275108,17.888754467661958,3
0.0,5,True,True,19472.260634307604,38305.57699724608,1.0355625232198942,21.59388192511155,4
0.0,7,True,True,268.5374987481541,281.1022963733239,1.0158865283270997,14.946974215983523,0
0.0,7,True,True,2502.3200564403755,2542.0519383961077,1.020085773107727,10.722020967401171,1
0.0,7,True,True,2628.7544757574974,2842.105929191967,1.0239930083167301,9.324849624745633,2
0.0,7,True,True,154714.18707256773,164631.0946728484,1.0289330213090704,9.852865652340611,3
0.0,7,True,True,313.00624584271617,317.0753149833778,1.0170924265427848,12.73960511306494,4
