case,finite_cold,finite_warm,ratio_cold_zeroed,ratio_warm_zeroed,rho,s_warm_norm,seed
1,True,True,4.201058511143317,4.201058511143319,0.9993392936463272,14.304729154463693,0
1,True,True,3.3354063361651383,3.3354063361651383,0.99869926016799,11.330528343785607,1
1,True,True,13.19415613198585,13.19415613198585,1.004249908622593,11.847283201737817,2
1,True,True,5.099198418899228,5.099198418899229,0.999848258461509,7.087642736275849,3
1,True,True,8.342003457587193,8.342003457587195,1.000488405034173,13.072243230752534,4
2,True,True,42176.958225894035,42176.958225894035,1.0408544277421752,22.80529946885458,0
2,True,True,5886.722363348005,5886.722363348007,1.0350912304117745,20.477496804584067,1
2,True,True,706.3120420159881,706.3120420159886,1.0256417606568722,27.72721596960603,2
2,True,True,18621.08052306706,18621.080523067063,1.0385302971303816,16.166757945608182,3
2,True,True,221.6040021229669,221.60400212296682,1.0263334681551988,17.522188423516305,4
3,True,True,183.1956921217466,183.19569212174662,1.0149677132390795,14.68863487256868,0
3,True,True,333.29443488674235,333.29443488674247,1.0157476467194344,9.07820417578224,1
3,True,True,167.09461892036043,167.0946189203604,1.0151352326432321,11.73211901641585,2
3,True,True,57.11237844337727,57.11237844337724,1.0103568416626605,12.331252913629,3
3,True,True,101.48794209686743,101.48794209686739,1.0132646208325087,14.619072844278405,4
4,True,True,14378829.4868918,14378829.486891793,1.0456345878276763,33.495657409652345,0
4,True,True,29364.30073073977,29364.300730739775,1.0251473388516852,30.620078981413716,1
4,True,True,128283.46373585647,128283.46373585642,1.0335033405869343,41.455714343030955,2
4,True,True,10751.6123316964,10751.612331696395,1.0237655616533643,31.326246021151125,3
4,True,True,39032.22247711762,39032.22247711762,1.026061732824478,26.144907473479456,4
5,True,True,57033.02780717546,57033.027807175466,1.0389458595342704,26.00617815465902,0
5,True,True,36012.5386607227,36012.5386607227,1.0377991790948036,21.85894963110489,1
5,True,True,11862.18474095923,11862.184740959232,1.0344497222446405,21.1739244585958,2
5,True,True,1141.435880328543,1141.435880328543,1.0259519147244593,17.888754467661958,3
5,True,True,62026.035229456706,62026.03522945666,1.0393864582547951,21.59388192511155,4
7,True,True,174.27843060492353,174.27843060492356,1.0157853182962537,14.946974215983523,0
7,True,True,12.965321420678336,12.965321420678334,1.005808026979126,10.722020967401171,1
7,True,True,208.91573876148405,208.9157387614841,1.0159781062340778,9.324849624745633,2
7,True,True,13.37592584181202,13.375925841812018,1.0032087006379606,9.852865652340611,3
7,True,True,459.7412121023515,459.7412121023515,1.0179298402848138,12.73960511306494,4
