abs_lambda,case,lambda_im,lambda_re,n_unstable,ref_scale_diag,rel_sv_ctrl,rel_sv_obs,seed,sv_ctrl,sv_obs,variant
1.0000000000000124,1,0.0,1.0000000000000124,,nan,0.10557631442554723,0.4079536051945186,0,0.00999993505283019,0.9999999999999998,M1
1.0000000000000029,1,0.0,1.0000000000000029,,nan,0.10557631442556037,0.4079536051945186,0,0.009999935052830164,0.9999999999999997,M1
1.0000000000000124,1,0.0,1.0000000000000124,,nan,0.10557631442554723,0.4079536051945186,1,0.00999993505283019,0.9999999999999998,M1
1.0000000000000029,1,0.0,1.0000000000000029,,nan,0.10557631442556037,0.4079536051945186,1,0.009999935052830164,0.9999999999999997,M1
1.0000000000000124,1,0.0,1.0000000000000124,,nan,0.10557631442554723,0.4079536051945186,2,0.00999993505283019,0.9999999999999998,M1
1.0000000000000029,1,0.0,1.0000000000000029,,nan,0.10557631442556037,0.4079536051945186,2,0.009999935052830164,0.9999999999999997,M1
1.0000000000000124,1,0.0,1.0000000000000124,,nan,0.10557631442554723,0.4079536051945186,3,0.00999993505283019,0.9999999999999998,M1
1.0000000000000029,1,0.0,1.0000000000000029,,nan,0.10557631442556037,0.4079536051945186,3,0.009999935052830164,0.9999999999999997,M1
1.0000000000000124,1,0.0,1.0000000000000124,,nan,0.10557631442554723,0.4079536051945186,4,0.00999993505283019,0.9999999999999998,M1
1.0000000000000029,1,0.0,1.0000000000000029,,nan,0.10557631442556037,0.4079536051945186,4,0.009999935052830164,0.9999999999999997,M1
1.0100502512562706,2,0.0,1.0100502512562706,,nan,0.0789991536276266,0.40819403362039813,0,0.0034474433045791186,1.0,M1
1.0408163265306165,2,0.0,1.0408163265306165,,nan,0.1653432171454798,0.40812928851591646,0,0.010204078861009942,1.0,M1
1.0050125313283018,2,0.0,1.0050125313283018,,nan,0.026400668501567057,0.40816783711181714,0,0.001365391855800281,1.0,M1
1.0304568527918807,2,0.0,1.0304568527918807,,nan,0.23296683984155833,0.4081942140805815,0,0.010152263322122242,0.9999999999999999,M1
1.0202020202020228,2,0.0,1.0202020202020228,,nan,0.16773163028627253,0.4082153668766106,0,0.005994132099441445,1.0,M1
1.0151133501259442,2,0.0,1.0151133501259442,,nan,0.0719264828246812,0.40820993052265303,0,0.002726507883653181,1.0,M1
1.0100502512562706,2,0.0,1.0100502512562706,,nan,0.0789991536276266,0.40819403362039813,1,0.0034474433045791186,1.0,M1
1.0408163265306165,2,0.0,1.0408163265306165,,nan,0.1653432171454798,0.40812928851591646,1,0.010204078861009942,1.0,M1
1.0050125313283018,2,0.0,1.0050125313283018,,nan,0.026400668501567057,0.40816783711181714,1,0.001365391855800281,1.0,M1
1.0304568527918807,2,0.0,1.0304568527918807,,nan,0.23296683984155833,0.4081942140805815,1,0.010152263322122242,0.9999999999999999,M1
1.0202020202020228,2,0.0,1.0202020202020228,,nan,0.16773163028627253,0.4082153668766106,1,0.005994132099441445,1.0,M1
1.0151133501259442,2,0.0,1.0151133501259442,,nan,0.0719264828246812,0.40820993052265303,1,0.002726507883653181,1.0,M1
1.0100502512562706,2,0.0,1.0100502512562706,,nan,0.0789991536276266,0.40819403362039813,2,0.0034474433045791186,1.0,M1
1.0408163265306165,2,0.0,1.0408163265306165,,nan,0.1653432171454798,0.40812928851591646,2,0.010204078861009942,1.0,M1
1.0050125313283018,2,0.0,1.0050125313283018,,nan,0.026400668501567057,0.40816783711181714,2,0.001365391855800281,1.0,M1
1.0304568527918807,2,0.0,1.0304568527918807,,nan,0.23296683984155833,0.4081942140805815,2,0.010152263322122242,0.9999999999999999,M1
1.0202020202020228,2,0.0,1.0202020202020228,,nan,0.16773163028627253,0.4082153668766106,2,0.005994132099441445,1.0,M1
1.0151133501259442,2,0.0,1.0151133501259442,,nan,0.0719264828246812,0.40820993052265303,2,0.002726507883653181,1.0,M1
1.0100502512562706,2,0.0,1.0100502512562706,,nan,0.0789991536276266,0.40819403362039813,3,0.0034474433045791186,1.0,M1
1.0408163265306165,2,0.0,1.0408163265306165,,nan,0.1653432171454798,0.40812928851591646,3,0.010204078861009942,1.0,M1
1.0050125313283018,2,0.0,1.0050125313283018,,nan,0.026400668501567057,0.40816783711181714,3,0.001365391855800281,1.0,M1
1.0304568527918807,2,0.0,1.0304568527918807,,nan,0.23296683984155833,0.4081942140805815,3,0.010152263322122242,0.9999999999999999,M1
1.0202020202020228,2,0.0,1.0202020202020228,,nan,0.16773163028627253,0.4082153668766106,3,0.005994132099441445,1.0,M1
1.0151133501259442,2,0.0,1.0151133501259442,,nan,0.0719264828246812,0.40820993052265303,3,0.002726507883653181,1.0,M1
1.0100502512562706,2,0.0,1.0100502512562706,,nan,0.0789991536276266,0.40819403362039813,4,0.0034474433045791186,1.0,M1
1.0408163265306165,2,0.0,1.0408163265306165,,nan,0.1653432171454798,0.40812928851591646,4,0.010204078861009942,1.0,M1
1.0050125313283018,2,0.0,1.0050125313283018,,nan,0.026400668501567057,0.40816783711181714,4,0.001365391855800281,1.0,M1
1.0304568527918807,2,0.0,1.0304568527918807,,nan,0.23296683984155833,0.4081942140805815,4,0.010152263322122242,0.9999999999999999,M1
1.0202020202020228,2,0.0,1.0202020202020228,,nan,0.16773163028627253,0.4082153668766106,4,0.005994132099441445,1.0,M1
1.0151133501259442,2,0.0,1.0151133501259442,,nan,0.0719264828246812,0.40820993052265303,4,0.002726507883653181,1.0,M1
1.0100492412570383,3,0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,0,0.00699554625772612,1.0,M1
1.0100492412570383,3,-0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,0,0.00699554625772612,1.0,M1
1.0150753747589887,3,0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,0,0.007111084832762224,1.0000000000000002,M1
1.0150753747589887,3,-0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,0,0.007111084832762224,1.0000000000000002,M1
1.0201892731748468,3,0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,0,0.007122688915527144,1.0000000000000002,M1
1.0201892731748468,3,-0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,0,0.007122688915527144,1.0000000000000002,M1
1.0100492412570383,3,0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,1,0.00699554625772612,1.0,M1
1.0100492412570383,3,-0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,1,0.00699554625772612,1.0,M1
1.0150753747589887,3,0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,1,0.007111084832762224,1.0000000000000002,M1
1.0150753747589887,3,-0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,1,0.007111084832762224,1.0000000000000002,M1
1.0201892731748468,3,0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,1,0.007122688915527144,1.0000000000000002,M1
1.0201892731748468,3,-0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,1,0.007122688915527144,1.0000000000000002,M1
1.0100492412570383,3,0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,2,0.00699554625772612,1.0,M1
1.0100492412570383,3,-0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,2,0.00699554625772612,1.0,M1
1.0150753747589887,3,0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,2,0.007111084832762224,1.0000000000000002,M1
1.0150753747589887,3,-0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,2,0.007111084832762224,1.0000000000000002,M1
1.0201892731748468,3,0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,2,0.007122688915527144,1.0000000000000002,M1
1.0201892731748468,3,-0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,2,0.007122688915527144,1.0000000000000002,M1
1.0100492412570383,3,0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,3,0.00699554625772612,1.0,M1
1.0100492412570383,3,-0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,3,0.00699554625772612,1.0,M1
1.0150753747589887,3,0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,3,0.007111084832762224,1.0000000000000002,M1
1.0150753747589887,3,-0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,3,0.007111084832762224,1.0000000000000002,M1
1.0201892731748468,3,0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,3,0.007122688915527144,1.0000000000000002,M1
1.0201892731748468,3,-0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,3,0.007122688915527144,1.0000000000000002,M1
1.0100492412570383,3,0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,4,0.00699554625772612,1.0,M1
1.0100492412570383,3,-0.020199469763918534,1.0098472415099105,,nan,0.04077214895850993,0.4072607164237208,4,0.00699554625772612,1.0,M1
1.0150753747589887,3,0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,4,0.007111084832762224,1.0000000000000002,M1
