N,b_own,b_transfer,case,d_model,finite,label,n_total,n_unstable,ratio_transfer,real_internal_dim,rho_own,rho_transfer,seed,teacher_mse
8,nan,0.0012994464523168941,1,4,True,d64,70,5,11.999350812688094,64,0.9996305792097109,0.9996322978999366,0,0.0038756284247138456
8,nan,0.004800238512252718,1,4,True,d64,70,3,3.0419221402873577,64,0.9996175411367431,0.9996159149980206,1,0.0038743599223455103
8,nan,0.0,1,4,True,d64,70,4,5.552688278294192,64,0.9992874719970415,1.0026928174571306,2,0.003878106131367736
8,nan,0.0,1,4,True,d64,70,8,54.74504477584141,64,0.9995921553916517,1.005523292287814,3,0.003894335001521546
8,nan,0.0,1,4,True,d64,70,4,16.343419159727716,64,0.9996563157862017,1.0081305092591282,4,0.0038748564007994144
8,nan,0.0,2,4,True,d64,70,4,25.52143114466705,64,0.9999564137986863,1.0155338340976783,0,0.0015164840344177519
8,nan,0.0,2,4,True,d64,70,6,471.79282774738994,64,0.9984448028084966,1.0209701134697717,1,0.00020188689947772562
8,nan,0.0,2,4,True,d64,70,9,7.446428284726439,64,0.9997223797632884,1.0147218330703773,2,0.00019783619556535526
8,0.0,0.0,2,4,True,d64,70,4,53.934413932075984,64,0.9999900374642843,1.0129147457810828,3,0.0002168518382724144
8,nan,0.0,2,4,True,d64,70,2,309632.7503503112,64,0.9998433627099754,1.0432430161448925,4,0.0012781965695809
8,nan,0.0,3,4,True,d64,70,8,1299.9226487349308,64,0.9998200067416717,1.0197503580018095,0,0.006588551787908147
8,nan,0.0,3,4,True,d64,70,4,3285.420229702988,64,0.9999084728967308,1.0232947391475962,1,0.007035083876753078
8,nan,0.0,3,4,True,d64,70,8,108911.27378048582,64,0.9996461377081067,1.0356867210336975,2,0.006628124225278389
8,nan,0.0,3,4,True,d64,70,8,919890.2924266917,64,0.9997181407765624,1.0350245186091385,3,0.006582368469950528
8,nan,0.0,3,4,True,d64,70,7,16276.697790798022,64,0.9991340252498742,1.0300050538468886,4,0.0065940131192185406
8,nan,0.0,4,4,True,d64,70,4,3328.325408982153,64,0.9995365150207276,1.0236586365268368,0,0.0037229543421071426
8,nan,0.0,4,4,True,d64,70,9,2383869.4878892866,64,0.999861635694526,1.0437011778132015,1,0.0037200933827574185
8,nan,0.0,4,4,True,d64,70,9,39798534981909.92,64,0.9970355553583424,1.0862607452132231,2,0.0037218797135673415
8,nan,0.0,4,4,True,d64,70,3,695525.8190658039,64,0.999462364154711,1.0369728918947654,3,0.0037298463247471777
8,nan,0.0,4,4,True,d64,70,7,26236853.887243047,64,0.9992283867006578,1.0478568168880151,4,0.0037314207054537927
8,nan,0.0,5,4,True,d64,70,8,165.72837321957638,64,0.9995154462842916,1.0162505810498657,0,0.0005023737366871585
8,nan,0.0,5,4,True,d64,70,5,12136.572667473034,64,0.9996192974149535,1.0323849129310625,1,0.0005794418053573085
8,nan,0.0,5,4,True,d64,70,5,782.4634983635266,64,0.9996384491488072,1.0264227849427008,2,0.003064977238679393
8,nan,0.0,5,4,True,d64,70,4,15.856715688437967,64,0.993429702073796,1.0137776310656463,3,0.000662189094252983
8,nan,0.0,5,4,True,d64,70,5,3705.648718511286,64,0.9995256085224453,1.0302362822889244,4,0.0005824732400071248
8,nan,0.0,7,4,True,d64,70,5,13.258204187897476,64,0.9990700754276864,1.004248815958948,0,0.00014888527414060775
8,nan,0.0,7,4,True,d64,70,5,90.59286581050482,64,0.9996492655662961,1.004983333374546,1,0.00014748759482264531
8,nan,0.0,7,4,True,d64,70,7,35.66491509580608,64,0.9982308658153396,1.0066563121362595,2,0.0001475818251102048
8,nan,0.0,7,4,True,d64,70,6,196.25202008153138,64,0.9989078930158463,1.0131247367363712,3,0.00023121831939129734
8,nan,0.0,7,4,True,d64,70,2,52.76056507667344,64,0.999151638603703,1.0115131323569022,4,0.0006358850991898927
16,6.216261255778629e-05,0.0,1,8,True,d256,262,6,131467.80368087173,256,0.999921983196729,1.030369996224223,0,1.1767526957412762e-05
16,4.0406108617790285e-05,0.0,1,8,True,d256,262,6,11409.571354215612,256,0.9992059009914829,1.0215631237476077,1,4.571808342655882e-06
16,0.0004977144806023143,0.00012738210323318605,1,8,True,d256,262,2,2.8056151571255206,256,0.9995817088067148,0.999577821239844,2,8.600386500427892e-07
16,0.0001759904579028461,0.0,1,8,True,d256,262,6,8806081.255972916,256,0.9997499803890126,1.0323708534048166,3,3.589563110430433e-06
16,0.0010607853424033748,0.0,1,8,True,d256,262,7,19.583243598170245,256,0.9991236368230727,1.0081939126231891,4,3.1659584652594285e-05
16,0.00012630672720385962,0.0,2,8,True,d256,262,12,176.8722167346847,256,0.9998394569200174,1.0208800710136805,0,2.4782167995156158e-05
16,0.0008157283876526148,0.0,2,8,True,d256,262,9,5153.736791921426,256,0.9992239951128876,1.0297393215093413,1,2.8793597890004545e-05
16,0.0014809183803922562,0.0,2,8,True,d256,262,5,199.17763482869464,256,0.999107792980176,1.02396367023092,2,7.075247948009357e-06
16,0.00010576565342879297,0.0,2,8,True,d256,262,3,4282.665218694252,256,0.9999060948471358,1.0313983033252412,3,4.886230689882847e-06
16,0.0004842215377750951,0.0,2,8,True,d256,262,5,33372.26404899155,256,0.9996462385979107,1.0386822070316402,4,1.2686896217084324e-05
16,0.00019924236310209266,0.0,3,8,True,d256,262,19,45.06394806432167,256,0.999767636474469,1.0136705857296713,0,1.9107750445168223e-06
16,0.00027663138610920006,0.0,3,8,True,d256,262,11,24845.978953621026,256,0.999894868792955,1.0305874462466424,1,1.0575268296577566e-05
16,5.497577611435056e-05,0.0,3,8,True,d256,262,10,998.1544189178207,256,0.9997495105630954,1.0170031394033978,2,3.772527855919629e-06
16,0.00047134864357611554,0.0,3,8,True,d256,262,11,13037.113529158343,256,0.9999012973546575,1.0267271873498596,3,6.174088825350827e-06
16,4.133965479653175e-05,0.0,3,8,True,d256,262,8,628949351598722.2,256,0.9997740779262073,1.0916767488558086,4,3.2948934750968533e-06
16,9.907619838839572e-05,0.0,4,8,True,d256,262,10,1811775.3526595999,256,0.9996820880044645,1.0339071252410332,0,3.4396303417445995e-05
16,0.0006252241380124242,0.0,4,8,True,d256,262,16,87227628.7424727,256,0.9992540556466655,1.0434299670585179,1,4.5593257497703114e-05
