b_own,b_transfer,case,finite,n_unstable,ratio_transfer,rho_own,rho_transfer,seed,teacher_mse
0.00235124883576019,0.002436556215089098,1,True,1,2.0889335179186554,0.9565462169953675,0.9801228045544631,0,5.6433043153000406e-05
1.2468112452248839e-05,0.0,1,True,4,6.531302274559453e+68,0.9496893893399672,1.4629982883350947,1,0.00010663237780902071
0.012010738199906236,0.01190090221999584,1,True,3,1.4271031462932848,0.9716363090751137,0.9538803709109601,2,1.542762239864865e-05
0.0007823922759645939,0.0008107525346441785,1,True,5,6.268619025343541,0.9485618109131295,0.9694303883399739,3,5.500854957341657e-05
6.867639116386591e-07,0.0,1,True,10,5.409100594435147e+136,0.963753043759213,2.1784306489823457,4,0.02378210388086933
8.928228569897159e-06,0.0,2,True,6,1.2347571255059338e+58,0.9894160649577322,1.3897217156476611,0,3.42639877747419e-05
8.19117705792901e-06,0.0,2,True,7,3.053974585459364e+22,0.9810466685042165,1.1254308577478795,1,0.00016464512408825212
7.528240782175089e-06,0.0,2,True,13,3.2448471261821253e+67,0.9849425647809716,1.4807635690017686,2,0.09062156076001694
0.0001736330083035993,0.0,2,True,7,27.894334416030393,0.9893548429412324,1.0104702887843582,3,4.660206257571272e-05
0.0009672315807289124,0.0,2,True,6,12.035737938858537,0.99041616088537,1.0146934963021328,4,5.091230987435031e-05
1.3404039096823966e-05,0.0,3,True,10,1.3602351949284788e+147,0.9850922472687274,2.2958777421568834,0,0.0005733772866070157
3.905185492469735e-05,0.0,3,True,11,2.0548261156083773e+21,0.9774668945595004,1.1236358441585381,1,2.882132659262076e-05
1.769655918292795e-05,0.0,3,True,7,3048.0617133602063,0.9530062026386045,1.0096445656824953,2,1.3376508589093392e-05
2.3344261822478715e-05,0.0,3,True,7,6.363433473919899e+24,0.9916203016699592,1.1412523663486196,3,9.695019335592632e-05
0.011144272646713235,0.008842517682414505,3,True,4,1.5812764020436125,0.9724625570953773,0.9841847532713706,4,2.622293240148532e-05
0.006283737613401932,0.0,4,True,3,4889.829059101926,0.985414692782458,1.024474486221706,0,7.801489931557858e-06
0.0006851156017423628,0.0,4,True,5,800.8261239708453,0.9773051324989631,1.0163873328835464,1,1.7155626312437623e-05
0.00011332043645365328,0.0,4,True,6,11086.177811814843,0.9535525737472912,1.0202525075949582,2,0.00033009459773404354
0.0004181862519667075,0.0,4,True,5,16384.716508065205,0.969077556500042,1.0215143551672465,3,4.281670444142077e-05
0.000368934753221925,0.0,4,True,6,340003.92913722474,0.980662070741785,1.0309795389161451,4,2.261197954031205e-06
0.009376346917065195,0.0,5,True,6,7.598045767862162,0.995503042650086,1.0126994122392863,0,6.37446638188289e-05
0.00014158061510480903,0.0,5,True,7,2123138891608105.5,0.9738900271611095,1.0884572411372415,1,0.00011998817310720818
0.0007309462696786018,0.0,5,True,6,18282951.07049981,0.9917086822766634,1.0488253426510472,2,0.00028533881740182667
0.00014602562421249583,0.0,5,True,8,16872708.81134832,0.9783422776176355,1.0445442450421123,3,3.746884173935998e-05
0.0038105920143374434,0.0,5,True,4,10.765883638011886,0.9863573558795614,1.014439877946618,4,1.872900037276429e-05
0.0002741507598510979,0.00013232164772650936,7,True,4,97.59063475774234,0.9751988341741642,0.9911286815928323,0,4.9857391422437865e-06
0.00011584565596014058,0.0,7,True,4,5379.609964366601,0.9905429155575834,1.0098988729550364,1,0.00011808995882941844
1.425107205828761e-06,0.0,7,True,7,1.8180050960361627e+34,0.9943303467008708,1.1880012482799482,2,9.174726551828242e-05
6.787810937386165e-06,0.0,7,True,6,5.1637694345026e+30,0.9651617633288749,1.172427748689455,3,6.193161734951764e-05
0.0019083917301419835,0.002141604519363202,7,True,5,2.009568910823875,0.9801624356380133,0.9886099079463777,4,1.587629926744524e-05
