A_argmax_step,A_max_abs,A_max_rel,B_conv_state_invariance,C_max_abs_200,C_max_abs_200_NO_C0,C_max_abs_post100,C_max_rel_200,D_step_s0_sensitivity,c0_x_norm,case,seed
87,2.576272528642676e-13,1.2781875586168166e-10,0.0,2.6432189770275727e-12,102.30703887816351,2.6432189770275727e-12,1.0526680591148991e-12,4.60940944040438,0.967647779998035,1,0
39,6.561418075534675e-14,2.048382468148979e-11,0.0,6.480149750132114e-12,649.154596396171,6.480149750132114e-12,1.1690789663386567e-10,3.887431673897319,0.8304743809994476,1,1
72,5.417888360170764e-14,6.711296928498283e-12,0.0,1.6120438317557273e-12,8.99753183019935,1.6120438317557273e-12,4.017291786170484e-11,3.3203050396398917,0.5456803675303752,1,2
52,1.3700152123874432e-13,2.259390757569976e-12,0.0,1.8080754671245813e-09,27014.880081577405,1.8080754671245813e-09,1.252949546483571e-13,4.00300161682275,0.9835932806627131,1,3
79,1.1235457009206584e-13,1.3665434350197392e-11,0.0,4.973799150320701e-14,4.061937798054036,4.973799150320701e-14,1.7177045519248745e-11,3.0309481760238404,0.8743121247274018,1,4
99,1.0658141036401503e-12,2.0698760169155422e-11,0.0,5.115907697472721e-13,44.70615817910528,5.115907697472721e-13,1.402190508851859e-13,7.369988007026296,1.0817805356478825,2,0
89,9.769962616701378e-14,2.4396290122928867e-11,0.0,6.821210263296962e-13,124.31647300178591,6.821210263296962e-13,3.970330164691506e-14,2.7940780334953454,0.8669300357795028,2,1
59,4.636291350834654e-13,7.900406031395577e-12,0.0,0.00101470947265625,78859543836.59238,0.00101470947265625,1.0346314128686449e-13,5.926629887942029,0.7536169728183963,2,2
99,2.6201263381153694e-13,2.7065497253202188e-11,0.0,7.815970093361102e-13,283.6073824059823,7.815970093361102e-13,2.9321119973908435e-13,5.918935963024193,1.0826132458744608,2,3
99,1.886490963443066e-12,5.785011942909552e-13,0.0,5.258016244624741e-13,35.320037173898115,5.258016244624741e-13,1.2887840715233858e-12,8.690856674432258,0.9409372928031752,2,4
66,7.815970093361102e-14,7.871004212501937e-11,0.0,3.299582829185965e-13,11.475551875038565,3.299582829185965e-13,4.525098238069193e-12,3.1934430407792305,1.076008115843292,3,0
99,3.8191672047105385e-13,1.9108683313603006e-11,0.0,7.034373084024992e-13,33.80518065089292,7.034373084024992e-13,1.86171454394524e-12,6.1560372990191565,0.4895383425397372,3,1
89,3.106404022901188e-13,4.288230200903606e-11,0.0,8.526512829121202e-13,38.72404881543592,8.526512829121202e-13,2.5818698921365276e-12,5.432986755383902,1.3253998314653437,3,2
88,3.681499549657019e-13,6.453819948239814e-11,0.0,1.8189894035458565e-12,313.8961303681696,1.8189894035458565e-12,2.199958352273965e-12,7.177388464122159,0.7596841841960433,3,3
80,3.3217872896784684e-13,4.041914928629957e-11,0.0,6.139089236967266e-12,1538.8672502470695,6.139089236967266e-12,1.2586827164090562e-11,12.083100125892038,1.117675823163906,3,4
99,3.206324095117452e-13,3.122714006336426e-12,0.0,9.685754776000977e-08,88923091.07831222,9.685754776000977e-08,5.435157728555628e-12,3.2073745761100048,0.7054550968409102,4,0
99,2.2737367544323206e-13,1.4489704484005129e-12,0.0,7.958078640513122e-13,293.73847426942376,7.958078640513122e-13,1.4808895565725373e-13,3.3276517043618234,1.2608529548626948,4,1
99,1.3962164757685969e-12,1.1992951098381364e-12,0.0,2.6716406864579767e-12,118.28244640406609,2.6716406864579767e-12,1.7224049698510061e-12,2.8925443189966114,0.7938358442966182,4,2
99,7.229772336359019e-13,4.858470665847744e-13,0.0,4.547473508864641e-13,309.4293967995574,4.547473508864641e-13,5.6935363270134775e-12,4.416368879770371,0.5653190612484343,4,3
99,3.1175062531474396e-13,4.039963006310821e-12,0.0,1.723066134218243e-12,247.82971592838726,1.723066134218243e-12,2.7258557590702554e-11,4.1013260419793625,0.827162914323106,4,4
99,5.861977570020827e-13,1.3592840239538134e-12,0.0,1.7053025658242404e-12,246.0134125641369,1.7053025658242404e-12,1.8700109737779946e-11,4.189289944685967,0.5390262186637811,5,0
99,7.460698725481052e-13,3.6112299124536744e-12,0.0,9.947598300641403e-13,232.97146258112645,9.947598300641403e-13,3.822778488212162e-13,3.9053111325275016,0.8637881976630049,5,1
