case,cost,cost_ratio_to_oracle,final_norm,finite,init_norm,max_abs_u,max_action,max_norm,oracle,oracle_lqr_cost,saturation_frac,seed
1,12003.452730519344,648.7160596029107,82.43496326639776,True,6.989096561487128,48.858615950170034,50.0,138.83422378903413,M3,18.503399989614632,0.02735,0
1,5981.822262822659,323.282330067991,50.95129606258885,True,6.989096561487128,49.17297324075843,50.0,98.81918574860164,M3,18.503399989614632,0.013183333333333333,1
1,1756.7845122592912,94.9438758955283,27.95104376573962,True,6.989096561487128,49.215353889624566,50.0,79.22955648123508,M3,18.503399989614632,0.00015,2
2,97571987.58122814,131977.57143569947,11010.702396936455,True,6.692783665537256,43.05734011540297,50.0,29771.800479443213,M3,739.3073422991876,0.0,0
2,41329790.52665261,55903.39519437237,6894.985984735466,True,6.692783665537256,47.60302855019101,50.0,22405.780450681395,M3,739.3073422991876,8.333333333333333e-05,1
2,6005065.294444023,8122.556007314553,2514.7618058521184,True,6.692783665537256,49.99999932883673,50.0,8300.267738453183,M3,739.3073422991876,0.17551666666666665,2
3,17801.860975037485,282.11454507720816,116.96932423236541,True,6.9578749943897575,49.73599975435358,50.0,372.7519047741776,M3,63.101535477958194,0.009033333333333334,0
3,125050.24607970082,1981.730636703472,364.7954994977972,True,6.9578749943897575,49.22029358009083,50.0,641.016658421028,M3,63.101535477958194,0.00365,1
3,19579.339701248147,310.2830945863013,129.90341711279828,True,6.9578749943897575,49.65261194684501,50.0,309.3164564632019,M3,63.101535477958194,0.010516666666666667,2
4,24553848.64251343,486116.8576504723,5286.241114718794,True,6.916377401178031,49.987729023414566,50.0,11504.364325714203,M3,50.5101772466573,0.026033333333333332,0
4,4368526.723153538,86488.04976115268,2092.846406702748,True,6.916377401178031,45.23788068967257,50.0,6761.823271783796,M3,50.5101772466573,0.0,1
4,6159308.894542052,121941.93784876626,2562.1155683671373,True,6.916377401178031,46.887857856681165,50.0,6676.301924429667,M3,50.5101772466573,0.0,2
7,14253.089807626333,494.4249692145337,83.51396286598832,True,6.927963927533026,40.586612239206715,50.0,455.8881759482944,M3,28.82760923314502,0.0,0
7,3036.441308040995,105.33101387227757,39.72750564361731,True,6.927963927533026,49.989871383110405,50.0,154.02213763808078,M3,28.82760923314502,0.0029666666666666665,1
7,47225.55024327066,1638.20557790038,173.2444255497714,True,6.927963927533026,38.88509073611097,50.0,565.2684765216566,M3,28.82760923314502,0.0,2
5,258865000.98170108,753343.0598732259,15547.63880437102,True,6.822555499661363,173.6494107644599,200.0,63213.3557362396,M3,343.62167088293535,0.0,0
5,160374485.5454402,466718.193684811,12976.22048891958,True,6.822555499661363,164.66375610680376,200.0,44363.221864399224,M3,343.62167088293535,0.0,1
5,54051862.710498855,157300.5060234201,6702.01737517232,True,6.822555499661363,162.36095717777644,200.0,39777.82124571618,M3,343.62167088293535,0.0,2
1,2877.245599034681,155.49821117468073,34.03966100971875,True,6.989096561487128,31.851410262947933,50.0,79.94774018536538,M6,18.503399989614632,0.0,0
1,1255.6397643701778,67.8599481757368,20.28058777899078,True,6.989096561487128,35.99619265057058,50.0,67.54736616650148,M6,18.503399989614632,0.0,1
1,3217.957513399432,173.9116873226309,37.497840813502364,True,6.989096561487128,49.406136282262175,50.0,74.96560046911213,M6,18.503399989614632,0.0005833333333333334,2
2,48375097.36705893,65433.00005193536,7908.393011692687,True,6.692783665537256,44.32101515944902,50.0,21917.140462253697,M6,739.3073422991876,0.0,0
2,50489595.39130332,68293.10694289152,7783.063874956665,True,6.692783665537256,47.8138735403359,50.0,24619.153241322365,M6,739.3073422991876,3.3333333333333335e-05,1
2,57354115.14314717,77578.17603269081,8504.816204123641,True,6.692783665537256,48.31960338906857,50.0,25199.935674005636,M6,739.3073422991876,0.0030166666666666666,2
3,10582.94855933111,167.7130117226356,83.79298502209318,True,6.9578749943897575,49.87269626574087,50.0,225.21938095483952,M6,63.101535477958194,0.03415,0
3,39295.86805033557,622.7402828265865,176.44770257784776,True,6.9578749943897575,49.71339570266976,50.0,414.716458518556,M6,63.101535477958194,0.0068,1
3,124645.92927472494,1975.3232362826516,356.5371856437804,True,6.9578749943897575,49.710271882458585,50.0,596.9687581558392,M6,63.101535477958194,0.027433333333333334,2
4,2726461.1001371755,53978.45045807297,1621.8522187984395,True,6.916377401178031,47.45921298009022,50.0,5035.08945864234,M6,50.5101772466573,0.0,1
4,9445351.223617185,186998.97205849274,3152.198925471357,True,6.916377401178031,48.201596974814905,50.0,8650.520802649131,M6,50.5101772466573,0.00035,2
4,1149144.4943818403,22750.751571712,1071.1992523179845,True,6.916377401178031,49.38039155483857,50.0,2860.34299913129,M6,50.5101772466573,0.0029666666666666665,3
7,24400.51131785008,846.4285442649608,124.89250799071823,True,6.927963927533026,43.42303487299715,50.0,412.7262273549792,M6,28.82760923314502,0.0,0
7,21179.963437156803,734.7110634760787,115.67388749857652,True,6.927963927533026,49.80234199218095,50.0,411.9508058265614,M6,28.82760923314502,0.0006666666666666666,1
7,12499.278387968741,433.5870618642038,82.34048603178344,True,6.927963927533026,46.08034657321337,50.0,365.77220249261126,M6,28.82760923314502,0.0,3
5,124287862.11045898,361699.71990154614,10582.54353177662,True,6.822555499661363,182.07272812155247,200.0,43971.32889613144,M6,343.62167088293535,0.0,0
5,2169184302.8531055,6312711.003585396,52859.442145703964,True,6.822555499661363,194.61898587966994,200.0,127982.03398561015,M6,343.62167088293535,0.0015,1
5,33632464.92038889,97876.4372863048,4928.799424400931,True,6.822555499661363,187.56455782988576,200.0,31555.048103624777,M6,343.62167088293535,0.0,2
