b,case,cost_ratio,finite,rho,seed,variant
0.0,1,114.03070313103527,True,1.0115445840785224,0,M3_b320
0.0,1,32.3037897585732,True,1.010111866587453,1,M3_b320
0.0,1,54.998908364921306,True,1.0098496251406057,2,M3_b320
0.0,1,1249.7170599838341,True,1.0186530147152106,3,M3_b320
0.0,1,32.14874868469472,True,1.0109169778677183,4,M3_b320
0.0,2,151048.1972820227,True,1.03222196151938,0,M3_b320
0.0,2,144.72020573258848,True,1.0182109465622935,1,M3_b320
0.0,2,379.31464020931344,True,1.0222795998790783,2,M3_b320
0.0,2,179.67649760369457,True,1.019516200372612,3,M3_b320
0.0,2,32537.960885882043,True,1.0314295038824517,4,M3_b320
0.0,3,829.1022113483384,True,1.0229587041732293,0,M3_b320
0.0,3,74.91166638937726,True,1.012233502296469,1,M3_b320
0.0,3,437.1076413950661,True,1.0175863897313608,2,M3_b320
0.0,3,77.64481147435866,True,1.012711138367004,3,M3_b320
0.0,3,505.906556772757,True,1.0168941229444353,4,M3_b320
0.0,4,83.09591796534711,True,1.014145165826522,0,M3_b320
0.0,4,34.50052751831369,True,1.0102480944263648,1,M3_b320
0.0,4,44.106926778049,True,1.0127765299023914,2,M3_b320
0.0,4,105.11269811899906,True,1.0165360401827883,3,M3_b320
0.0,4,283.27418981372296,True,1.0147647819821106,4,M3_b320
0.0,5,1464.6115478999027,True,1.0212815379407085,0,M3_b320
0.0,5,684.3662936296186,True,1.0160378883290997,1,M3_b320
0.0,5,156.08009906176562,True,1.0165220216934592,2,M3_b320
0.0,5,101.28745733435147,True,1.015339133986814,3,M3_b320
0.0,5,1696.3253013541105,True,1.0204101422455298,4,M3_b320
0.0,7,1076.3357043161539,True,1.0179298312290475,0,M3_b320
0.0,7,1246.945996318267,True,1.0174990001135351,1,M3_b320
0.0,7,94.13720303076661,True,1.0147570641861168,2,M3_b320
0.0,7,14172.826463458474,True,1.0277332744592793,3,M3_b320
0.0,7,88.84532188158565,True,1.0123317880951896,4,M3_b320
