axx_rel_err,backend,case,coupling_ratio,epochs,equilibrium_drift,git_sha,lockfile_sha,machine,n_traj,n_unstable,seed,teacher_mse,variant
0.0018245944294438756,gpu,1,6.385592398511393,40000,0.000855341608209395,640d517,aeaac02b0546,f4d33a60e397,320,48,0,7.791258511113727e-05,M3_b320
0.0008575132750844207,gpu,1,5.026914378292742,40000,0.0002094082498668823,640d517,aeaac02b0546,f4d33a60e397,320,34,1,3.3737128725220824e-06,M3_b320
0.002539369523802198,gpu,1,4.048214315507621,40000,0.0008532059324803102,640d517,aeaac02b0546,f4d33a60e397,320,21,2,5.812192499191606e-06,M3_b320
0.0013255512552054222,gpu,1,7.967523622933026,40000,0.00024582328741461353,640d517,aeaac02b0546,f4d33a60e397,320,51,3,1.5568494181597714e-06,M3_b320
0.0006005411823242475,gpu,1,6.7256119325369434,40000,0.0002860438138685375,640d517,aeaac02b0546,f4d33a60e397,320,38,4,9.2205633254009e-06,M3_b320
0.004712928586697044,gpu,2,5.909099430354344,40000,0.0007686908234994005,640d517,aeaac02b0546,f4d33a60e397,320,40,0,9.340636669038616e-06,M3_b320
0.014471007527340984,gpu,2,7.4522267650494305,40000,0.0021134580446404492,640d517,aeaac02b0546,f4d33a60e397,320,39,1,0.0002780076038001976,M3_b320
0.008093493385645559,gpu,2,9.802629008084892,40000,0.0007668502006592811,640d517,aeaac02b0546,f4d33a60e397,320,40,2,0.00029525902291961865,M3_b320
0.004544997994711218,gpu,2,5.046095632923321,40000,0.0012326928055875724,640d517,aeaac02b0546,f4d33a60e397,320,51,3,2.6208801905008234e-05,M3_b320
0.008438320020753523,gpu,2,6.835920461753323,40000,0.00231645137247705,640d517,aeaac02b0546,f4d33a60e397,320,41,4,6.7206188432072185e-06,M3_b320
0.002300743352508446,gpu,3,5.98160298698424,40000,0.00026867178852823604,640d517,aeaac02b0546,f4d33a60e397,320,56,0,1.6677110942850917e-05,M3_b320
0.0012601717976443842,gpu,3,6.566396188683375,40000,0.0012026976688572554,640d517,aeaac02b0546,f4d33a60e397,320,37,1,1.576846947989387e-05,M3_b320
0.001548979069339908,gpu,3,5.1292210253262125,40000,0.0003037412913001325,640d517,aeaac02b0546,f4d33a60e397,320,45,2,9.828485947476465e-06,M3_b320
0.001920725618208247,gpu,3,7.15848659799747,40000,0.0004550938400690257,640d517,aeaac02b0546,f4d33a60e397,320,42,3,7.3259499791407995e-06,M3_b320
0.0007710356338193874,gpu,3,14.189537872948542,40000,0.0001588522759167184,640d517,aeaac02b0546,f4d33a60e397,320,53,4,8.744793682002542e-07,M3_b320
0.010185582822307937,gpu,4,6.995577149298612,40000,0.0014876880531432758,640d517,aeaac02b0546,f4d33a60e397,320,51,0,2.021066461269765e-05,M3_b320
0.008394953527440316,gpu,4,6.006988464188898,40000,0.0013680114707416817,640d517,aeaac02b0546,f4d33a60e397,320,37,1,4.860341794653953e-05,M3_b320
0.00843744838198604,gpu,4,6.969773370145255,40000,0.0011369637262897848,640d517,aeaac02b0546,f4d33a60e397,320,34,2,1.5411169245516285e-05,M3_b320
0.009336548665354818,gpu,4,8.874928760664215,40000,0.0023446656474201484,640d517,aeaac02b0546,f4d33a60e397,320,39,3,3.535673460423539e-05,M3_b320
0.01070057239051868,gpu,4,6.895000932703025,40000,0.0007706137788124809,640d517,aeaac02b0546,f4d33a60e397,320,40,4,1.4666873511888957e-05,M3_b320
0.017049377208130583,gpu,5,10.77552393805817,40000,0.0031142341540976773,640d517,aeaac02b0546,f4d33a60e397,320,48,0,4.757540775310891e-05,M3_b320
0.011880160243287396,gpu,5,10.334413354292339,40000,0.0012901413405722818,640d517,aeaac02b0546,f4d33a60e397,320,45,1,0.00010848411189858687,M3_b320
0.00876790907694271,gpu,5,4.8468465986562075,40000,0.0006677798491465083,640d517,aeaac02b0546,f4d33a60e397,320,31,2,9.382919461706592e-06,M3_b320
0.011691198520736287,gpu,5,8.668140087633475,40000,0.002590842093399832,640d517,aeaac02b0546,f4d33a60e397,320,49,3,8.323724902743377e-05,M3_b320
0.008461042207473405,gpu,5,7.705527916708583,40000,0.0005219455031080435,640d517,aeaac02b0546,f4d33a60e397,320,42,4,9.795838957008592e-05,M3_b320
0.0015525596109609077,gpu,7,7.491041532003842,40000,0.0003509443600710181,640d517,aeaac02b0546,f4d33a60e397,320,32,0,7.134875630897066e-06,M3_b320
0.0011725151176246297,gpu,7,8.57864159684663,40000,0.00016452548459480916,640d517,aeaac02b0546,f4d33a60e397,320,39,1,2.710575469553755e-06,M3_b320
0.0009517848464512898,gpu,7,6.223965968694718,40000,0.00015875757310680196,640d517,aeaac02b0546,f4d33a60e397,320,37,2,1.3963178125797347e-06,M3_b320
0.0021211146695117,gpu,7,5.330548546375721,40000,0.0005167750505100551,640d517,aeaac02b0546,f4d33a60e397,320,35,3,1.3886111828699772e-05,M3_b320
0.0008239388229859184,gpu,7,7.863416311941968,40000,0.000166830637584806,640d517,aeaac02b0546,f4d33a60e397,320,43,4,3.1667475288001634e-06,M3_b320
